C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='A'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
181 |TYC 3973-1534-1                    |SB*|22 09 02.8324465032 +54 27 05.709268836|     ~   |11.4     |10.9     |     ~   |     ~   |A              |   2|   0
182 |HD 211903                          |*  |22 19 05.9873242536 +56 17 30.805445616|     ~   |9.10     |8.90     |     ~   |     ~   |A              |   8|   0
183 |HD 212070                          |*  |22 20 20.7126998040 +56 06 41.623929648|     ~   |9.39     |9.26     |     ~   |     ~   |A              |   8|   0
184 |HD 212711                          |*  |22 25 06.5378987952 +56 15 11.782334988|     ~   |9.49     |9.26     |     ~   |     ~   |A              |   8|   0
185 |HD 240034                          |*  |22 42 58.4708623512 +57 18 27.039241332|     ~   |10.54    |10.26    |     ~   |     ~   |A              |   5|   0
186 |HD 215268                          |*  |22 42 53.9374466976 +56 40 05.690417808|     ~   |9.03     |8.70     |     ~   |     ~   |A              |   7|   0
187 |HD 215372                          |*  |22 43 40.1811767736 +55 20 30.165942120|     ~   |9.38     |9.27     |     ~   |     ~   |A              |   9|   0
188 |HD 214329                          |*  |22 36 11.3903603832 +55 06 09.597977748|     ~   |9.24     |8.94     |     ~   |     ~   |A              |   5|   0
189 |HD 217861                          |SB*|23 02 54.8776829904 +55 31 14.361915324|     ~   |9.20     |8.86     |     ~   |     ~   |A              |   5|   0
190 |HD 216869                          |SB*|22 55 35.5490513544 +56 53 19.133878884|     ~   |9.09     |8.92     |     ~   |     ~   |A              |   5|   0
191 |HD 218092                          |*  |23 04 32.2489841520 +56 21 18.129330648|     ~   |8.92     |8.69     |     ~   |     ~   |A              |   5|   0
192 |HD 217508                          |*  |23 00 20.0131783944 +56 03 01.340447796|     ~   |9.11     |8.97     |     ~   |     ~   |A              |   9|   0
193 |HD 218892                          |*  |23 10 55.0826639712 +58 06 30.043083780|     ~   |9.37     |9.14     |     ~   |     ~   |A              |   6|   0
194 |HD 570                             |** |00 10 24.6864055272 +58 31 25.858192800|     ~   |9.06     |8.93     |8.77     |     ~   |A              |  14|   0
195 |HD 583                             |PM*|00 10 24.0911978976 +58 29 22.134288408|     ~   |8.952    |8.814    |8.499    |     ~   |A              |  23|   0
196 |HD 236495                          |*  |00 40 36.3923546088 +58 26 19.559738544|     ~   |10.38    |10.02    |     ~   |     ~   |A              |   5|   0
197 |TYC 3667-776-1                     |*  |00 40 35.5556487576 +58 26 46.936746528|     ~   |10.96    |10.57    |     ~   |     ~   |A              |   3|   0
198 |TYC 3672-782-1                     |*  |00 57 45.2114106696 +55 25 33.042031104|     ~   |10.98    |10.64    |     ~   |     ~   |A              |   1|   0
199 |HD 5564                            |*  |00 58 18.0957408096 +56 59 18.421134072|     ~   |9.13     |9.00     |     ~   |     ~   |A              |   4|   0
200 |HD 8137                            |*  |01 21 58.0081912056 +54 39 11.796099300|     ~   |9.23     |9.21     |     ~   |     ~   |A              |   3|   0
201 |HD 7612                            |*  |01 17 14.4664777104 +57 05 55.389818868|     ~   |8.51     |8.47     |     ~   |     ~   |A              |   3|   0
202 |HD 7789                            |*  |01 18 38.8625571720 +55 12 42.516069156|     ~   |9.37     |9.25     |     ~   |     ~   |A              |   5|   0
203 |HD 7810                            |*  |01 18 57.1156336344 +55 33 24.285192588|     ~   |9.17     |9.10     |     ~   |     ~   |A              |   8|   0
204 |HD 8493                            |*  |01 25 05.9736972672 +54 23 26.582994672|     ~   |9.55     |9.30     |     ~   |     ~   |A              |   8|   0
205 |HD 9267                            |Pu*|01 32 27.1560182904 +54 28 59.949117948|     ~   |9.09     |9.05     |     ~   |     ~   |A              |  10|   0
206 |HD 9285                            |*  |01 32 38.9520815904 +54 44 49.131190140|     ~   |9.82     |9.62     |     ~   |     ~   |A              |   2|   0
207 |HD 11282                           |*  |01 52 12.1025342112 +53 25 27.892506036|     ~   |10.19    |9.80     |     ~   |     ~   |A              |   3|   0
208 |HD 13012                           |*  |02 09 02.0791174632 +54 02 02.885237052|     ~   |9.44     |9.40     |     ~   |     ~   |A              |   6|   0
209 |HD 14054                           |*  |02 18 13.7353081152 +53 26 42.842388084|     ~   |8.91     |8.80     |     ~   |     ~   |A              |   4|   0
210 |HD 14063                           |Pu*|02 18 16.5569766552 +53 29 09.008637648|     ~   |8.66     |8.64     |     ~   |     ~   |A              |  11|   0
211 |HD 14620                           |*  |02 23 18.3295888608 +51 17 08.241209232|     ~   |9.46     |9.40     |     ~   |     ~   |A              |   3|   0
212 |HD 13912                           |*  |02 17 09.8919487992 +53 22 50.008598328|     ~   |9.55     |9.30     |     ~   |     ~   |A              |   3|   0
213 |TYC 3308-368-1                     |dS*|02 44 52.0729646688 +51 01 57.613877796|     ~   |11.94    |11.58    |     ~   |     ~   |A              |   2|   0
214 |HD 19625                           |*  |03 11 18.0096676416 +47 13 30.977761548|     ~   |9.51     |9.42     |     ~   |     ~   |A              |   7|   0
215 |HD 19173                           |*  |03 06 51.0646808592 +47 17 22.743050604|     ~   |9.57     |9.46     |     ~   |     ~   |A              |   3|   0
216 |HD 22003                           |*  |03 34 25.1454633936 +41 56 58.349636628|     ~   |9.69     |9.55     |     ~   |     ~   |A              |   3|   0
217 |HD 275859                          |*  |03 49 49.6449382608 +40 19 24.204288180|     ~   |11.14    |10.80    |     ~   |     ~   |A              |   2|   0
218 |HD 227255                          |*  |20 02 10.1979242856 +41 21 25.251647688|     ~   |11.28    |11.22    |     ~   |     ~   |A              |   3|   0
219 |HD 194133                          |*  |20 22 09.0713116392 +44 11 28.121471844|     ~   |9.16     |9.05     |     ~   |     ~   |A              |  10|   0
220 |HD 192202                          |*  |20 11 55.0230757440 +43 53 00.964241808|     ~   |11.04    |10.81    |     ~   |     ~   |A              |   3|   0
221 |HD 192242                          |*  |20 12 05.1773058408 +44 01 52.245128172|     ~   |11.43    |11.17    |     ~   |     ~   |A              |   1|   0
222 |BD+44 3448                         |*  |20 23 41.6691696936 +44 35 53.903061780|     ~   |10.73    |10.32    |     ~   |     ~   |A              |   2|   0
223 |BD+44 3450                         |*  |20 23 43.5901274016 +44 35 01.211107128|     ~   |11.11    |10.94    |     ~   |     ~   |A              |   3|   0
224 |TYC 3576-964-1                     |*  |20 23 38.1460352952 +46 56 53.976309540|     ~   |11.21    |11.12    |     ~   |     ~   |A              |   4|   0
225 |HD 192891                          |*  |20 15 26.7325404576 +46 03 41.717236356|     ~   |9.16     |9.12     |     ~   |     ~   |A              |   3|   0
226 |HD 193140                          |*  |20 16 49.0839171408 +45 27 57.927563892|     ~   |9.19     |9.20     |     ~   |     ~   |A              |   4|   0
227 |HD 194091                          |*  |20 21 55.2014957112 +44 57 15.367075920|     ~   |9.06     |8.91     |     ~   |     ~   |A              |   3|   0
228 |HD 192358                          |*  |20 12 36.0523194912 +45 34 40.841356944|     ~   |10.96    |10.78    |     ~   |     ~   |A              |   2|   0
229 |HD 197073                          |*  |20 39 30.2406596448 +48 12 13.041447804|     ~   |8.85     |8.79     |     ~   |     ~   |A              |   4|   0
230 |HD 199477                          |*  |20 55 37.6844279568 +49 52 04.846024848|     ~   |9.20     |9.02     |     ~   |     ~   |A              |  15|   0
231 |HD 201583                          |*  |21 08 25.3311911568 +53 38 54.022672716|     ~   |9.45     |9.33     |     ~   |     ~   |A              |   3|   0
232 |HD 204101                          |*  |21 24 38.6906604816 +52 29 41.235685764|     ~   |9.27     |9.20     |     ~   |     ~   |A              |   5|   0
233 |HD 206054                          |** |21 37 34.6930117669 +55 45 48.579622872|     ~   |9.423    |9.198    |9.350    |     ~   |A              |  12|   0
234 |HD 206055                          |*  |21 37 35.5591429536 +55 46 29.326203300|     ~   |9.30     |9.01     |     ~   |     ~   |A              |  10|   0
235 |BD+54 2616                         |*  |21 45 57.6443967792 +55 31 57.236466684|     ~   |11.64    |10.09    |     ~   |     ~   |A              |   1|   0
236 |BD+53 2684C                        |*  |21 40 40.0614102048 +54 19 45.050624184|     ~   |11.1     |10.8     |     ~   |     ~   |A              |   1|   0
237 |HD 209480                          |*  |22 02 05.3038328784 +58 02 57.588205380|     ~   |7.53     |7.56     |     ~   |     ~   |A              |   8|   0
238 |BD+56 2688                         |*  |22 02 59.0059313760 +56 53 02.414204052|     ~   |11.38    |11.00    |     ~   |     ~   |A              |   1|   0
239 |BD+56 2711                         |*  |22 08 44.4302987400 +56 42 15.554265336|     ~   |11.11    |10.66    |     ~   |     ~   |A              |   1|   0
240 |HD 211136                          |*  |22 13 40.4551617360 +56 36 19.134837252|     ~   |9.65     |9.49     |     ~   |     ~   |A              |   5|   0
241 |HD 216412                          |*  |22 51 39.2884238184 +58 52 42.986393616|     ~   |9.42     |9.08     |     ~   |     ~   |A              |   9|   0
242 |HD 215922                          |EB*|22 47 30.966072 +58 32 47.47632        |     ~   |9.361    |9.199    |9.315    |     ~   |A              |  10|   0
243 |NGC 7380 6                         |Pu*|22 47 36.4536367752 +58 11 15.188240724|     ~   |10.71    |10.354   |     ~   |9.831    |A              |   7|   0
244 |HD 240261                          |Pe*|23 19 37.6710546144 +60 35 30.547246056|10.75    |10.30    |9.51     |     ~   |     ~   |A              |  10|   0
245 |HD 218780                          |*  |23 09 50.5845851400 +59 17 17.963643552|     ~   |8.22     |8.11     |     ~   |     ~   |A              |  13|   0
246 |TYC 4010-173-1                     |*  |23 11 33.2513398896 +59 42 48.558987828|     ~   |11.64    |11.17    |     ~   |     ~   |A              |   0|   0
247 |TYC 3997-2299-1                    |*  |23 06 15.3683727552 +58 34 27.028015500|     ~   |11.58    |11.47    |     ~   |     ~   |A              |   1|   0
248 |HD 223472                          |** |23 49 38.104680 +60 52 34.89132        |     ~   |9.97     |9.52     |9.499    |     ~   |A              |   3|   0
249 |HD 223471                          |*  |23 49 37.5186028800 +60 52 23.664131220|     ~   |9.48     |9.12     |     ~   |     ~   |A              |   4|   0
250 |HD 223200                          |*  |23 47 13.2083350416 +60 18 52.826906628|8.49     |8.82     |8.50     |     ~   |     ~   |A              |  17|   0
251 |HD 2136                            |*  |00 26 03.7470602352 +59 06 18.037659312|     ~   |9.03     |8.95     |     ~   |     ~   |A              |   5|   0
252 |HD 2387                            |*  |00 28 11.8819717992 +59 05 31.786577376|     ~   |8.99     |8.87     |     ~   |     ~   |A              |  12|   0
253 |EM* GGR 183                        |Em*|00 24 59.2701928656 +59 19 31.417430160|     ~   |12.76    |12.36    |     ~   |     ~   |A              |   4|   0
254 |HD 4474                            |*  |00 47 37.7128902000 +59 18 13.414571964|     ~   |9.45     |9.25     |     ~   |     ~   |A              |   3|   0
255 |HD 4911                            |** |00 52 00.3070 +59 34 23.263            |     ~   |9.64     |9.52     |     ~   |     ~   |A              |   5|   0
256 |HD 6900                            |*  |01 10 38.2154456520 +58 06 33.545678796|     ~   |9.07     |8.70     |     ~   |     ~   |A              |   4|   0
257 |HD 11494                           |Pu*|01 54 35.3141335920 +56 00 22.502532852|     ~   |9.91     |9.82     |     ~   |     ~   |A              |   3|   0
258 |HD 13636                           |*  |02 14 43.8442643208 +54 26 18.257283276|     ~   |9.45     |9.42     |     ~   |     ~   |A              |   4|   0
259 |HD 14303                           |*  |02 20 31.1658444240 +56 03 14.631841368|     ~   |10.31    |10.27    |     ~   |     ~   |A              |   4|   0
260 |HD 15092                           |*  |02 27 37.9015022424 +53 36 51.781178736|     ~   |9.62     |9.52     |     ~   |     ~   |A              |   4|   0
261 |HD 16207                           |*  |02 38 04.7529707112 +55 14 47.648487984|     ~   |10.15    |10.00    |     ~   |     ~   |A              |   8|   0
262 |HD 15396                           |*  |02 30 35.2089238968 +54 41 20.279420160|     ~   |10.03    |9.93     |     ~   |     ~   |A              |   5|   0
263 |HD 14530                           |*  |02 22 41.3201041608 +54 11 25.006806996|     ~   |9.74     |9.76     |     ~   |     ~   |A              |   3|   0
264 |HD 15431                           |*  |02 30 50.8249426752 +53 51 39.489124176|     ~   |9.99     |9.85     |     ~   |     ~   |A              |   4|   0
265 |TYC 3700-293-1                     |*  |02 47 46.9196 +52 41 11.942            |     ~   |11.17    |11.08    |     ~   |     ~   |A              |   1|   0
266 |BD+52 596                          |*  |02 34 11.7052129080 +52 46 50.465591544|     ~   |10.22    |10.01    |     ~   |     ~   |A              |   2|   0
267 |HD 20314                           |*  |03 17 53.7918379272 +47 38 24.306017640|     ~   |9.30     |9.21     |     ~   |     ~   |A              |   5|   0
268 |HD 275965                          |*  |04 00 20.8220442384 +41 58 56.224253280|     ~   |10.90    |10.53    |     ~   |     ~   |A              |   2|   0
269 |HD 188630                          |*  |19 54 20.0307564168 +43 21 23.355124452|     ~   |10.78    |10.52    |     ~   |     ~   |A              |   2|   0
270 |HD 188524                          |dS*|19 53 42.7160145360 +44 35 42.672878736|     ~   |10.84    |10.58    |     ~   |     ~   |A              |  11|   0
271 |HD 190883                          |*  |20 05 13.2995644896 +45 40 49.276748388|     ~   |11.44    |11.08    |     ~   |     ~   |A              |   2|   0
272 |HD 191894                          |*  |20 10 07.9882583208 +47 12 20.040247080|     ~   |10.97    |10.62    |     ~   |     ~   |A              |   2|   0
273 |HD 192933                          |*  |20 15 30.2255542992 +47 39 23.504940576|     ~   |8.62     |8.32     |     ~   |     ~   |A              |   8|   0
274 |HD 191196                          |*  |20 06 40.5944626656 +46 56 48.660740772|     ~   |11.04    |10.92    |     ~   |     ~   |A              |   2|   0
275 |HD 191808                          |*  |20 09 47.6400211608 +46 55 24.563511120|     ~   |10.87    |10.76    |     ~   |     ~   |A              |   2|   0
276 |HD 190698                          |*  |20 04 09.8990726448 +46 44 30.481151928|     ~   |9.69     |9.68     |     ~   |     ~   |A              |   8|   0
277 |HD 192076                          |*  |20 11 13.3822025352 +46 14 38.701978296|     ~   |11.00    |10.60    |     ~   |     ~   |A              |   2|   0
278 |HD 192277                          |** |20 12 14.5045 +45 36 18.432            |     ~   |10.62    |10.28    |     ~   |     ~   |A              |   3|   0
279 |HD 192943                          |*  |20 15 27.1436315088 +48 31 46.242738048|     ~   |9.14     |9.11     |     ~   |     ~   |A              |   5|   0
280 |Cl Trumpler 37 52                  |*  |21 13 17.6687 +57 06 26.144            |     ~   |12.80    |13.23    |     ~   |     ~   |A              |   2|   0
281 |Cl Trumpler 37 991                 |*  |21 32 48.9965425272 +58 30 13.464777636|     ~   |13.0     |     ~   |     ~   |     ~   |A              |   1|   0
282 |Cl Trumpler 37 1526                |*  |21 34 57.9784697856 +59 28 27.626121012|     ~   |12.32    |12.05    |     ~   |     ~   |A              |   2|   0
283 |Cl Trumpler 37 1038                |*  |21 42 03.8206204296 +58 24 08.497435716|     ~   |12.91    |12.06    |     ~   |     ~   |A              |   2|   0
284 |Cl Trumpler 37 752                 |*  |21 42 53.9853065520 +57 43 47.470405368|     ~   |12.43    |11.74    |     ~   |     ~   |A              |   2|   0
285 |Cl Trumpler 37 1016                |*  |21 37 38.0891740008 +58 29 41.931815424|     ~   |12.99    |12.12    |12.66    |     ~   |A              |   1|   0
286 |Cl Trumpler 37 1019                |*  |21 38 17.2113524712 +58 30 53.101277820|     ~   |13.1     |     ~   |     ~   |     ~   |A              |   1|   0
287 |HD 210219                          |*  |22 07 02.5470105984 +60 37 42.074420016|     ~   |8.93     |8.67     |     ~   |     ~   |A              |   3|   0
288 |BD+59 2484                         |*  |22 11 53.5103967456 +60 42 47.223066852|     ~   |11.25    |10.92    |     ~   |     ~   |A              |   1|   0
289 |HD 209810                          |*  |22 04 17.1256839480 +59 49 49.272823416|     ~   |7.90     |7.84     |     ~   |     ~   |A              |  10|   0
290 |BD+61 2344                         |*  |22 46 02.8891639104 +62 37 05.242374552|     ~   |9.93     |9.60     |     ~   |     ~   |A              |  12|   0
291 |HD 219326                          |*  |23 14 00.8900890392 +62 12 52.800928776|     ~   |8.45     |8.35     |     ~   |     ~   |A              |   5|   0
292 |HD 218724                          |*  |23 09 20.1852595728 +61 39 22.952499300|     ~   |8.07     |8.06     |     ~   |     ~   |A              |  17|   0
293 |BD+62 2227                         |*  |23 26 18.9620291040 +63 00 15.518800764|     ~   |11.63    |11.04    |     ~   |     ~   |A              |   1|   0
294 |HD 220315                          |*  |23 22 10.3871668464 +62 32 53.325061836|     ~   |8.83     |8.77     |     ~   |     ~   |A              |   5|   0
295 |HD 222640                          |Em*|23 42 05.2970574480 +62 57 20.218024728|     ~   |9.40     |9.08     |     ~   |     ~   |A              |   9|   0
296 |HD 2484                            |*  |00 29 08.6426728608 +63 28 47.218984752|     ~   |9.50     |9.16     |     ~   |     ~   |A              |   3|   0
297 |HD 3453                            |Pu*|00 38 09.8959680888 +62 51 11.235883824|     ~   |9.57     |9.45     |     ~   |     ~   |A              |   5|   0
298 |HD 6973                            |*  |01 11 33.2955105360 +63 31 50.378216052|     ~   |9.76     |9.46     |     ~   |     ~   |A              |   4|   0
299 |V* BU Cas                          |EB*|01 28 40.9956579984 +61 07 55.240821300|     ~   |11.92    |11.54    |     ~   |     ~   |A              |  19|   0
300 |TYC 3683-1317-1                    |*  |01 41 41.2857688032 +59 59 22.495761708|     ~   |11.0     |10.5     |     ~   |     ~   |A              |   2|   0
301 |EM* AS 23                          |Em*|01 31 04.0835005680 +62 38 12.563616912|     ~   |11.86    |11.47    |     ~   |     ~   |A              |   5|   0
302 |EM* GGA 118                        |Em*|01 51 58.3029698736 +60 36 16.563936708|     ~   |     ~   |12.51    |12.42    |     ~   |A              |   3|   0
303 |BD+56 532                          |*  |02 19 23.9409261096 +57 00 15.911540208|     ~   |10.937   |10.439   |10.228   |9.348    |A              |   7|   0
304 |EM* AS 60                          |Em*|02 29 40.9009522008 +56 18 40.162271148|     ~   |11.01    |10.64    |     ~   |     ~   |A              |   7|   0
305 |AG+57 312                          |*  |02 25 21.1705281072 +57 25 48.252209232|     ~   |11.55    |11.65    |     ~   |     ~   |A              |   2|   0
306 |EM* GGA 171                        |Em*|02 27 57.9932644992 +56 42 04.506828156|     ~   |11.28    |10.89    |     ~   |     ~   |A              |   6|   0
307 |BD+57 609                          |*  |02 40 47.2349290344 +57 41 39.927984180|     ~   |10.61    |10.41    |     ~   |     ~   |A              |   2|   0
308 |HD 17444                           |** |02 50 06.6670144920 +56 40 11.072034228|     ~   |9.52     |9.15     |     ~   |     ~   |A              |   4|   0
309 |HD 22813                           |*  |03 42 08.0862259272 +49 03 43.647224904|     ~   |9.80     |9.63     |     ~   |     ~   |A              |   3|   0
310 |HD 22927                           |*  |03 42 59.4471971784 +48 57 26.869302972|     ~   |10.01    |9.74     |     ~   |     ~   |A              |   5|   0
311 |HD 23372                           |*  |03 46 48.5016729312 +48 45 53.740997604|     ~   |9.57     |9.24     |     ~   |     ~   |A              |   2|   0
312 |HD 23934                           |*  |03 51 03.5325680856 +48 07 18.947392068|     ~   |9.44     |9.28     |     ~   |     ~   |A              |   7|   0
313 |HD 24130                           |Pu*|03 52 38.2097053728 +47 38 17.461358484|     ~   |9.65     |9.38     |     ~   |     ~   |A              |   2|   0
314 |HD 23789                           |*  |03 49 54.3347289096 +46 57 57.583849356|     ~   |9.84     |9.63     |     ~   |     ~   |A              |   5|   0
315 |HD 25216                           |*  |04 02 18.4818496680 +45 01 42.216892284|     ~   |10.84    |10.39    |     ~   |     ~   |A              |   2|   0
316 |HD 25719                           |*  |04 06 45.7364078664 +44 40 51.286523628|     ~   |10.84    |10.48    |     ~   |     ~   |A              |   2|   0
317 |HD 25264                           |*  |04 02 42.2193185424 +44 18 26.782806780|     ~   |10.88    |10.47    |     ~   |     ~   |A              |   2|   0
318 |HD 191961                          |*  |20 10 05.1218729400 +51 21 30.414783960|     ~   |8.66     |8.35     |     ~   |     ~   |A              |   4|   0
319 |HD 197390                          |Pu*|20 40 47.1468879936 +56 28 29.293488732|     ~   |9.01     |8.76     |     ~   |     ~   |A              |   3|   0
320 |LS III +56 4                       |*  |20 58 20.5556125632 +56 15 39.351944592|     ~   |10.89    |10.31    |     ~   |     ~   |A              |   5|   0
321 |HD 199330                          |*  |20 53 52.4744570400 +57 57 54.881057016|     ~   |9.54     |9.46     |     ~   |     ~   |A              |   3|   0
322 |TYC 3960-877-1                     |*  |20 59 28.0576852344 +57 17 27.916559448|     ~   |12.31    |11.59    |     ~   |     ~   |A              |   1|   0
323 |HD 203575                          |*  |21 20 35.1566078976 +60 26 59.624348316|     ~   |8.91     |8.85     |     ~   |     ~   |A              |   4|   0
324 |Cl Trumpler 37 1417                |*  |21 10 53.0286380544 +59 22 21.644590332|     ~   |12.27    |12.26    |     ~   |     ~   |A              |   2|   0
325 |Cl Trumpler 37 1394                |*  |21 06 52.7280948216 +59 13 18.637952844|     ~   |12.8     |     ~   |     ~   |     ~   |A              |   1|   0
326 |Cl Trumpler 37 1610                |*  |21 05 29.6603580720 +60 10 11.187256872|     ~   |12.89    |12.02    |     ~   |     ~   |A              |   2|   0
327 |Cl Trumpler 37 1390                |*  |21 06 23.4160839528 +59 35 02.877386784|     ~   |12.95    |12.19    |     ~   |     ~   |A              |   2|   0
328 |Cl Trumpler 37 1450                |*  |21 18 35.5323700176 +59 25 47.638759512|     ~   |13.0     |     ~   |     ~   |     ~   |A              |   1|   0
329 |Cl Trumpler 37 1716                |*  |21 24 22.7234982504 +60 02 55.013072676|     ~   |13.0     |     ~   |     ~   |     ~   |A              |   1|   0
330 |Cl Trumpler 37 1214                |*  |21 22 04.8167859264 +59 08 53.954356956|     ~   |13.1     |     ~   |     ~   |     ~   |A              |   1|   0
331 |Cl Trumpler 37 1366                |*  |21 01 48.4163080752 +59 35 40.694640324|     ~   |12.85    |12.26    |     ~   |     ~   |A              |   1|   0
332 |HD 205453                          |*  |21 32 55.2425605392 +62 02 23.326712340|     ~   |9.98     |9.70     |     ~   |     ~   |A              |   2|   0
333 |BD+64 1640                         |*  |22 15 42.3438279816 +65 00 17.284918320|     ~   |10.79    |9.57     |     ~   |     ~   |A              |   1|   0
334 |HD 218695                          |*  |23 09 01.4188071240 +65 11 34.906870284|     ~   |8.81     |8.71     |     ~   |     ~   |A              |   8|   0
335 |HD 220574                          |*  |23 23 59.4917878512 +66 44 18.118545324|     ~   |9.18     |8.86     |     ~   |     ~   |A              |  13|   0
336 |TYC 4289-950-1                     |*  |23 53 41.9849229000 +64 50 06.982697436|     ~   |12.36    |11.63    |     ~   |     ~   |A              |   1|   0
337 |HD 222303                          |*  |23 38 53.5106827176 +66 29 33.307111860|     ~   |9.73     |9.16     |     ~   |     ~   |A              |  13|   0
338 |HD 552                             |** |00 10 10.7970 +67 17 29.966            |     ~   |9.49     |9.21     |     ~   |     ~   |A              |   4|   0
339 |HD 637                             |*  |00 10 53.2615918680 +67 15 24.463382472|     ~   |9.64     |9.22     |     ~   |     ~   |A              |   5|   0
340 |TYC 4026-119-1                     |*  |00 14 11.4872424336 +66 19 24.354345648|     ~   |11.36    |10.63    |     ~   |     ~   |A              |   1|   0
341 |HD 5535                            |*  |00 58 20.7917997720 +66 03 09.460243044|     ~   |9.90     |9.65     |     ~   |     ~   |A              |   5|   0
342 |BD+65 128                          |*  |01 05 55.9878668112 +65 53 38.825388816|     ~   |9.49     |9.34     |     ~   |     ~   |A              |  13|   0
343 |HD 5081                            |*  |00 53 44.0815829952 +64 52 12.816512148|     ~   |9.94     |9.78     |     ~   |     ~   |A              |   4|   0
344 |HD 5341                            |*  |00 56 25.7046616200 +65 42 29.672817984|     ~   |10.03    |9.75     |     ~   |     ~   |A              |   5|   0
345 |HD 6128                            |*  |01 03 39.9348646728 +64 18 05.747128812|     ~   |9.89     |9.57     |     ~   |     ~   |A              |   4|   0
346 |HD 8666                            |*  |01 27 18.3387528216 +65 46 22.073687256|     ~   |9.34     |9.18     |     ~   |     ~   |A              |   9|   0
347 |BD+63 165                          |*  |01 17 38.0476704360 +63 46 12.354676896|     ~   |10.90    |10.38    |     ~   |     ~   |A              |   2|   0
348 |HD 7009                            |*  |01 11 56.0464535616 +63 44 06.683693784|     ~   |9.82     |9.39     |     ~   |     ~   |A              |   5|   0
349 |EM* AS 34                          |Em*|01 38 17.6390799576 +62 42 09.220708044|     ~   |11.12    |10.73    |     ~   |     ~   |A              |   5|   0
350 |EM* AS 38                          |Em*|01 44 13.9600967352 +62 47 27.435732720|     ~   |10.83    |10.49    |     ~   |     ~   |A              |   5|   0
351 |BD+60 516                          |*  |02 35 39.6724714440 +60 43 11.738333640|     ~   |10.44    |10.09    |     ~   |     ~   |A              |   8|   0
352 |BD+57 612                          |Em*|02 41 28.1240603880 +58 37 37.914533616|     ~   |10.86    |10.6     |     ~   |     ~   |A              |   8|   0
353 |BD+51 781                          |*  |03 49 21.1664 +52 14 06.774            |     ~   |11.07    |10.39    |10.317   |     ~   |A              |   3|   0
354 |HD 25091                           |*  |04 01 20.4105999528 +47 11 14.446602276|     ~   |11.02    |10.56    |     ~   |     ~   |A              |   2|   0
355 |HD 26078                           |SB*|04 09 51.3640824864 +47 30 26.119361304|     ~   |9.35     |8.95     |     ~   |     ~   |A              |   4|   0
356 |HD 25380                           |** |04 04 06.399552 +46 58 41.57004        |     ~   |11.021   |10.688   |10.750   |     ~   |A              |   2|   0
357 |HD 26180                           |*  |04 10 37.7420631912 +46 16 16.977699156|     ~   |11.05    |10.76    |     ~   |     ~   |A              |   2|   0
358 |HD 26309                           |*  |04 11 34.5949999152 +45 02 52.922174712|     ~   |11.01    |10.55    |     ~   |     ~   |A              |   2|   0
359 |HD 26333                           |*  |04 11 45.8635009848 +44 55 19.292798100|     ~   |11.24    |10.93    |     ~   |     ~   |A              |   2|   0
360 |HD 26233                           |** |04 11 02.3585616096 +44 07 59.036560644|     ~   |11.062   |10.712   |10.710   |     ~   |A              |   3|   0
361 |HD 26435                           |*  |04 12 48.2750692128 +43 39 33.562576620|     ~   |10.92    |10.47    |     ~   |     ~   |A              |   4|   0
362 |HD 276237                          |*  |04 23 57.7394953632 +42 46 05.815898400|     ~   |11.10    |10.73    |     ~   |     ~   |A              |   2|   0
363 |HD 276326                          |*  |04 27 34.8261358800 +42 57 02.598368040|     ~   |10.54    |9.98     |     ~   |     ~   |A              |   2|   0
364 |HD 187918                          |*  |19 50 13.0825562904 +48 55 39.401454252|     ~   |9.45     |9.32     |     ~   |     ~   |A              |   3|   0
365 |HD 187593                          |*  |19 48 18.4979767632 +51 38 29.897419596|     ~   |9.52     |9.41     |     ~   |     ~   |A              |   2|   0
366 |HD 192221                          |*  |20 11 16.3655178264 +54 26 43.154470356|     ~   |9.11     |8.99     |     ~   |     ~   |A              |   3|   0
367 |HD 191490                          |*  |20 07 31.3574613792 +55 19 34.755502728|     ~   |8.93     |8.83     |     ~   |     ~   |A              |   4|   0
368 |HD 199921                          |*  |20 57 29.5082201592 +59 46 47.408305908|     ~   |9.53     |9.34     |     ~   |     ~   |A              |   8|   0
369 |BD+58 2153                         |SB*|20 39 38.9675843928 +59 06 39.950542116|     ~   |10.87    |10.27    |     ~   |     ~   |A              |   2|   0
370 |BD+62 1901                         |SB*|21 09 03.0582035136 +62 58 49.331403372|     ~   |9.91     |9.51     |     ~   |     ~   |A              |   3|   0
371 |V* LO Cep                          |Ir*|21 19 43.0162241256 +61 42 26.627520384|     ~   |     ~   |     ~   |     ~   |     ~   |A              |   6|   0
372 |V* V434 Cep                        |SB*|21 39 49.7191255248 +65 44 00.723616980|     ~   |9.30     |9.09     |     ~   |     ~   |A              |  12|   0
373 |HD 206097                          |*  |21 37 08.8156372320 +63 58 53.807735892|     ~   |9.06     |9.00     |     ~   |     ~   |A              |   3|   0
