C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='A'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
43  |HD 215225                          |*  |22 42 57.7651828920 +47 08 08.670945696|     ~   |10.15    |9.87     |     ~   |     ~   |A              |   8|   0
44  |HD 214280                          |*  |22 36 18.9396988824 +46 02 43.064648340|     ~   |10.95    |10.58    |     ~   |     ~   |A              |  13|   0
45  |HD 216066                          |*  |22 48 59.9650299816 +46 47 15.567414936|     ~   |10.90    |10.61    |     ~   |     ~   |A              |   8|   0
46  |HD 216395                          |*  |22 51 50.9044668384 +47 22 17.570805816|     ~   |10.76    |10.46    |     ~   |     ~   |A              |   3|   0
47  |HD 219951                          |*  |23 19 32.7214242456 +49 23 49.009546392|     ~   |10.12    |10.06    |     ~   |     ~   |A              |   8|   0
48  |TYC 3644-137-1                     |*  |23 24 53.0296516224 +49 48 27.221999256|     ~   |11.87    |11.56    |     ~   |     ~   |A              |   1|   0
49  |BD+48 4006                         |*  |23 21 02.1033000984 +49 29 12.740675316|     ~   |11.41    |11.36    |     ~   |     ~   |A              |   1|   0
50  |HD 223014                          |*  |23 45 44.8063461240 +48 56 27.337713324|     ~   |9.72     |9.36     |     ~   |     ~   |A              |   4|   0
51  |HD 223081                          |*  |23 46 21.0291126216 +49 27 01.118742012|     ~   |10.20    |10.04    |     ~   |     ~   |A              |   2|   0
52  |HD 3098                            |*  |00 34 39.3259468920 +50 13 24.431233116|     ~   |8.87     |8.85     |     ~   |     ~   |A              |   4|   0
53  |HD 3873                            |*  |00 41 40.7280528720 +47 26 35.457493812|     ~   |9.31     |9.09     |     ~   |     ~   |A              |   4|   0
54  |HD 7696                            |*  |01 17 35.7401850192 +46 23 01.079001744|     ~   |10.92    |10.64    |     ~   |     ~   |A              |   3|   0
55  |HD 8668                            |*  |01 26 26.1751787208 +48 20 27.121725816|     ~   |9.60     |9.48     |     ~   |     ~   |A              |   3|   0
56  |HD 8708                            |*  |01 26 48.0066852096 +48 23 26.591252496|     ~   |9.49     |9.44     |     ~   |     ~   |A              |   3|   0
57  |HD 9332                            |*  |01 32 48.1061222232 +46 25 01.208217108|     ~   |10.78    |10.46    |     ~   |     ~   |A              |   3|   0
58  |HD 9738                            |*  |01 36 18.9218344992 +46 53 50.244095616|     ~   |10.67    |10.34    |     ~   |     ~   |A              |   2|   0
59  |HD 9725                            |*  |01 36 19.6067400360 +46 36 27.394416468|     ~   |10.76    |10.22    |     ~   |     ~   |A              |   3|   0
60  |HD 15080                           |*  |02 27 06.0906915120 +43 45 32.738775588|     ~   |9.13     |9.15     |     ~   |     ~   |A              |   9|   0
61  |HD 16138                           |*  |02 36 50.0536818480 +41 16 01.463453508|     ~   |9.86     |9.75     |     ~   |     ~   |A              |   5|   0
62  |LAWDS NGC 1039 41                  |*  |02 42 33.9731786784 +42 37 13.005283728|     ~   |15.978   |15.846   |     ~   |     ~   |A              |   4|   1
63  |HD 17746                           |*  |02 52 07.9957422552 +40 40 16.438163124|     ~   |9.59     |9.41     |     ~   |     ~   |A              |   3|   0
64  |BD+38 4134B                        |*  |20 31 51.2001392664 +39 20 18.767773284|     ~   |11.28    |10.89    |     ~   |     ~   |A              |   4|   0
65  |HD 197895                          |EB*|20 45 13.4990528544 +39 03 23.907507120|     ~   |9.45     |9.44     |     ~   |     ~   |A              |   4|   0
66  |BD+41 3961                         |*  |21 00 29.3466746088 +41 35 02.580564624|     ~   |10.29    |10.02    |     ~   |     ~   |A              |   2|   0
67  |BD+43 3823B                        |*  |21 09 54.0186937776 +44 21 22.367124072|     ~   |11.21    |10.89    |     ~   |     ~   |A              |   2|   0
68  |HD 203518                          |*  |21 21 16.1046883680 +45 43 33.994421184|     ~   |9.01     |9.03     |     ~   |     ~   |A              |   6|   0
69  |HD 202681                          |*  |21 16 07.0063270488 +44 48 36.781706844|     ~   |9.02     |8.95     |     ~   |     ~   |A              |   3|   0
70  |HD 203095                          |*  |21 18 40.9100219088 +44 14 20.268642840|     ~   |9.19     |9.19     |     ~   |     ~   |A              |   9|   0
71  |BD+45 3688                         |*  |21 49 21.4231023312 +46 25 18.395715864|     ~   |10.03    |9.88     |     ~   |     ~   |A              |   1|   0
72  |BD+46 3545                         |*  |22 02 20.7908908248 +47 35 39.381487404|     ~   |11.42    |10.17    |     ~   |     ~   |A              |   1|   0
73  |ADS 15951 P                        |*  |22 26 57.6176059296 +49 42 43.870798440|     ~   |8.2      |14.4     |     ~   |     ~   |A              |   0|   0
74  |[R57] 351                          |*  |22 26 12.1278283440 +50 50 25.538716680|     ~   |     ~   |12       |     ~   |     ~   |A              |   1|   0
75  |HD 214444                          |*  |22 37 16.0673500968 +51 00 55.611489168|     ~   |8.71     |8.73     |     ~   |     ~   |A              |  12|   0
76  |HD 217439                          |*  |23 00 00.6551268576 +52 23 24.419987772|     ~   |9.01     |8.89     |     ~   |     ~   |A              |   4|   0
77  |HD 218094                          |*  |23 04 36.1144579632 +52 26 37.269177252|8.930    |8.970    |8.860    |     ~   |     ~   |A              |  10|   0
78  |HD 218998                          |Pu*|23 11 57.2326836336 +51 42 19.601740728|     ~   |9.65     |9.39     |     ~   |     ~   |A              |   5|   0
79  |TYC 3651-241-1                     |*  |23 50 57.4995194640 +51 24 28.844014428|     ~   |10.37    |10.32    |     ~   |     ~   |A              |   2|   0
80  |HD 262                             |Pu*|00 07 32.6872277424 +52 39 31.825642464|     ~   |9.13     |9.06     |     ~   |     ~   |A              |   5|   0
81  |HD 224814                          |*  |00 00 54.0883127208 +53 15 49.201698744|     ~   |9.27     |9.20     |     ~   |     ~   |A              |   8|   0
82  |HD 224920                          |Pu*|00 01 45.8375463024 +52 46 20.293312008|     ~   |9.35     |9.31     |     ~   |     ~   |A              |   3|   0
83  |HD 7506                            |** |01 16 06.36120 +50 03 49.8456          |     ~   |     ~   |     ~   |     ~   |     ~   |A              |   3|   0
84  |BD+49 418                          |*  |01 37 06.3336306240 +49 56 21.542719560|     ~   |11.97    |10.75    |     ~   |     ~   |A              |   1|   0
85  |HD 9456                            |*  |01 33 57.4032003240 +49 41 34.163147832|     ~   |9.66     |9.44     |     ~   |     ~   |A              |   3|   0
86  |HD 11826                           |** |01 57 20.9979342480 +48 11 56.303002572|     ~   |9.31     |9.06     |     ~   |     ~   |A              |   9|   0
87  |HD 13293                           |*  |02 11 10.7457125605 +46 12 46.023829541|     ~   |9.35     |9.19     |     ~   |     ~   |A              |   3|   0
