C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='G'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
173 |Cl Trumpler 37 1725                |*  |21 25 02.7161870784 +60 01 45.307556436|     ~   |12.9     |     ~   |     ~   |     ~   |G              |   1|   0
174 |Cl Trumpler 37 895                 |*  |21 15 32.1583997928 +58 13 47.967201120|     ~   |12.22    |11.24    |     ~   |     ~   |G              |   2|   0
175 |Cl Trumpler 37 1162                |SB*|21 12 57.8872628496 +59 00 05.887576656|     ~   |13.0     |     ~   |     ~   |     ~   |G              |   1|   0
176 |Cl Trumpler 37 1478                |*  |21 24 35.9284470168 +59 28 17.302263924|     ~   |13.11    |11.74    |     ~   |     ~   |G              |   2|   0
177 |Cl Trumpler 37 1723                |*  |21 24 49.8032546712 +60 04 22.445723892|     ~   |12.67    |11.35    |     ~   |     ~   |G              |   2|   0
178 |Cl Trumpler 37 928                 |*  |21 19 07.2389058240 +58 18 35.939030940|     ~   |13.1     |     ~   |     ~   |     ~   |G              |   1|   0
179 |Cl Trumpler 37 1998                |*  |21 34 44.7244526856 +60 16 46.126550748|     ~   |12.93    |11.38    |     ~   |     ~   |G              |   2|   0
180 |Cl Trumpler 37 1766                |*  |21 31 33.6354760320 +59 56 39.703884324|     ~   |12.60    |11.58    |     ~   |     ~   |G              |   2|   0
181 |BD+65 1854                         |*  |23 10 45.2482388760 +66 39 13.815799308|     ~   |11.97    |11.08    |     ~   |     ~   |G              |   1|   0
182 |HD 220                             |*  |00 07 04.7179771416 +67 16 27.304321224|     ~   |9.15     |8.69     |     ~   |     ~   |G              |   9|   0
183 |HD 4441                            |PM*|00 47 40.9036617384 +66 41 06.419739444|     ~   |9.45     |8.90     |     ~   |     ~   |G              |   3|   0
184 |HD 7316                            |*  |01 14 44.6672119872 +64 04 15.896951400|     ~   |9.98     |9.48     |     ~   |     ~   |G              |   2|   0
185 |TYC 3710-603-1                     |*  |03 17 25.3158378984 +56 35 41.102859984|     ~   |12.06    |11.31    |     ~   |     ~   |G              |   1|   0
186 |HD 25428                           |PM*|04 04 37.1255520360 +48 46 58.912643388|     ~   |9.77     |9.17     |     ~   |     ~   |G              |   3|   0
187 |HD 25485                           |*  |04 05 05.6165728296 +48 52 20.048059560|     ~   |9.68     |9.12     |     ~   |     ~   |G              |   2|   0
188 |HD 25845                           |*  |04 07 53.8238046720 +46 47 32.384215068|     ~   |11.01    |10.37    |     ~   |     ~   |G              |   2|   0
189 |HD 25916                           |*  |04 08 22.7698817976 +46 41 33.753054588|     ~   |11.03    |10.27    |     ~   |     ~   |G              |   2|   0
190 |HD 235058                          |*  |19 58 29.3419518576 +52 06 20.497191804|     ~   |10.12    |9.78     |     ~   |     ~   |G              |   3|   0
191 |HD 235034                          |*  |19 53 52.7673391272 +50 53 20.631788520|     ~   |11.02    |10.43    |     ~   |     ~   |G              |   2|   0
192 |BD+50 2963                         |*  |20 03 00.1421285328 +51 09 56.136630888|     ~   |11.24    |10.51    |     ~   |     ~   |G              |   2|   0
193 |4C 51.40                           |Rad|19 58 29.4 +51 50 34                   |     ~   |     ~   |19.9     |     ~   |     ~   |G              |   8|   1
194 |BD+62 1886                         |*  |21 03 08.7443877360 +62 47 21.771609468|     ~   |12.06    |10.11    |     ~   |     ~   |G              |   1|   0
195 |Cl Trumpler 37 1818                |*  |21 01 34.2391542288 +60 22 22.510248024|     ~   |13.28    |12.08    |     ~   |     ~   |G              |   2|   0
196 |BD+62 1898                         |*  |21 08 18.6136107216 +62 46 12.965359944|     ~   |10.70    |9.46     |     ~   |     ~   |G              |   1|   0
197 |BD+62 1902                         |EB*|21 09 07.7298412872 +62 53 20.058077724|     ~   |10.64    |9.91     |9.569    |9.21     |G              |   5|   0
198 |BD+65 1597                         |*  |21 31 00.5599469928 +65 45 53.284861980|     ~   |10.38    |9.75     |     ~   |     ~   |G              |   1|   0
199 |BD+65 1600                         |*  |21 32 44.9384166312 +65 47 09.161169900|     ~   |10.24    |9.65     |     ~   |     ~   |G              |   1|   0
200 |HD 208133                          |*  |21 51 37.3720978296 +65 45 08.529383952|     ~   |     ~   |7.3      |     ~   |     ~   |G              |  24|   0
201 |BD+64 1601                         |** |21 53 04.5040 +64 57 49.207            |     ~   |11.15    |10.10    |     ~   |     ~   |G              |   2|   0
202 |BD+66 1506                         |*  |22 23 58.7599406592 +67 26 29.009200560|     ~   |9.74     |9.43     |     ~   |     ~   |G              |   3|   0
203 |TYC 4292-892-1                     |PM*|23 26 05.1280505376 +67 26 33.915328692|     ~   |12.15    |11.66    |     ~   |     ~   |G              |   1|   0
204 |HD 219169                          |*  |23 12 43.3007022360 +67 25 33.845394648|     ~   |9.39     |8.91     |     ~   |     ~   |G              |  10|   0
205 |HD 1949                            |*  |00 24 20.7319402008 +67 56 34.507665780|     ~   |9.74     |9.15     |     ~   |     ~   |G              |  21|   0
206 |BD+67 148                          |*  |01 42 14.2227209232 +68 09 53.950637700|     ~   |11.18    |9.68     |     ~   |     ~   |G              |   1|   0
207 |BD+65 186                          |*  |01 38 22.8690008880 +66 02 11.646702852|     ~   |11.31    |9.94     |     ~   |     ~   |G              |   1|   0
208 |HD 26227                           |PM*|04 11 25.9557428328 +50 00 58.059600300|     ~   |9.65     |9.04     |     ~   |     ~   |G              |   4|   0
209 |BD+45 945                          |*  |04 31 44.3037929616 +45 39 40.723451028|     ~   |10.17    |8.96     |     ~   |     ~   |G              |   2|   0
210 |TYC 3543-2763-1                    |*  |19 20 42.1971603960 +45 48 14.147962668|     ~   |11.49    |10.93    |     ~   |     ~   |G              |   2|   1
211 |2E 1932.3+4956                     |*  |19 33 40.9 +50 02 58                   |     ~   |     ~   |9.5      |     ~   |     ~   |G              |   2|   0
212 |TYC 3944-1470-1                    |*  |20 03 48.7149894744 +56 16 37.283223720|     ~   |11.32    |10.97    |     ~   |     ~   |G              |   1|   0
213 |HD 239354                          |*  |20 12 58.9266593352 +60 17 20.482250028|     ~   |10.28    |9.45     |     ~   |     ~   |G              |   2|   0
214 |BD+64 1459                         |*  |20 40 27.5306744712 +64 39 47.193128316|     ~   |11.02    |10.44    |     ~   |     ~   |G              |   1|   0
215 |HD 196603                          |PM*|20 34 59.3506946016 +63 28 31.147500720|     ~   |9.76     |9.16     |     ~   |     ~   |G              |   6|   0
216 |BD+62 1866                         |*  |20 52 29.1227658216 +63 10 33.245871492|     ~   |11.19    |10.48    |     ~   |     ~   |G              |   2|   0
217 |BD+61 2038                         |*  |20 36 30.8877421416 +62 27 12.482028612|     ~   |10.87    |9.32     |     ~   |     ~   |G              |   1|   0
218 |BD+65 1569                         |*  |21 17 52.0107482400 +65 42 16.204132800|     ~   |10.36    |9.80     |     ~   |     ~   |G              |   1|   0
219 |BD+71 1155                         |*  |22 37 37.7326884432 +72 01 57.042856776|     ~   |12.12    |11.52    |     ~   |     ~   |G              |   1|   0
220 |BD+70 1261                         |*  |22 41 06.7722052536 +71 22 12.135428364|     ~   |11.29    |10.64    |     ~   |     ~   |G              |   1|   0
221 |TYC 4467-447-1                     |*  |22 20 14.0570108064 +70 37 36.276584448|     ~   |11.72    |11.13    |     ~   |     ~   |G              |   3|   0
222 |BD+71 35                           |*  |00 44 22.0255762128 +72 20 21.108013836|     ~   |9.89     |9.32     |     ~   |     ~   |G              |   1|   0
223 |BD+71 30                           |*  |00 42 05.1894681936 +72 16 03.353473272|     ~   |10.12    |9.54     |     ~   |     ~   |G              |   2|   0
224 |1RXS J004821.1+711622              |*  |00 48 21.1 +71 16 22                   |     ~   |11.89    |11.30    |     ~   |     ~   |G              |   2|   0
225 |HD 12300                           |** |02 03 45.2400708733 +70 12 53.576521513|     ~   |9.25     |8.73     |     ~   |     ~   |G              |   7|   0
226 |TYC 4059-1160-1                    |PM*|02 43 06.228 +66 33 57.66              |     ~   |12.24    |11.62    |11.25    |     ~   |G              |   1|   0
227 |TYC 4060-193-1                     |*  |02 53 30.7231788816 +66 07 35.209457184|     ~   |12.73    |12.02    |     ~   |     ~   |G              |   1|   0
228 |BD+62 540                          |*  |03 17 54.1765958880 +63 13 39.813222396|     ~   |10.65    |10.23    |     ~   |     ~   |G              |   2|   0
229 |BD+62 549B                         |*  |03 22 07.4803205904 +62 44 19.388120820|     ~   |10.36    |9.97     |     ~   |     ~   |G              |  12|   0
230 |BD+61 579                          |*  |03 26 37.4213068320 +62 15 40.596235164|     ~   |10.74    |10.08    |     ~   |     ~   |G              |   4|   0
231 |BD+58 643                          |*  |03 44 00.2773375176 +59 21 35.903727036|     ~   |11.45    |10.44    |     ~   |     ~   |G              |   1|   0
232 |BD+55 847                          |PM*|04 07 55.2392123664 +55 23 47.456361852|     ~   |11.28    |10.54    |     ~   |     ~   |G              |   2|   0
233 |HD 28831                           |PM*|04 34 53.2127416488 +48 01 18.977195496|     ~   |9.61     |9.00     |     ~   |     ~   |G              |   2|   0
234 |HD 29080                           |*  |04 37 01.0991963088 +47 45 29.604078972|     ~   |9.66     |9.11     |     ~   |     ~   |G              |  12|   0
235 |BD+45 2812                         |*  |18 59 58.8308496120 +45 40 35.772067920|     ~   |11.82    |10.31    |     ~   |     ~   |G              |   2|   0
236 |HD 179040                          |*  |19 08 42.2025338280 +48 14 23.358813792|     ~   |9.36     |8.41     |     ~   |     ~   |G              |   7|   0
237 |BD+47 2776                         |*  |19 11 56.3674036032 +47 57 20.343656628|     ~   |10.85    |9.71     |     ~   |     ~   |G              |   3|   0
238 |HD 191276                          |** |20 05 13.4844 +63 45 42.509            |     ~   |9.95     |9.52     |     ~   |     ~   |G              |   5|   0
239 |HD 192220                          |*  |20 10 07.4479243200 +63 34 04.017441396|     ~   |9.56     |8.95     |     ~   |     ~   |G              |   3|   0
240 |HD 189749                          |PM*|19 57 53.9682299808 +62 57 50.519263212|     ~   |     ~   |     ~   |8.0      |     ~   |G              |  16|   0
241 |HD 197769                          |*  |20 41 54.0547602192 +66 55 15.336318828|     ~   |10.77    |9.08     |     ~   |     ~   |G              |   4|   0
242 |HD 198022                          |*  |20 43 48.4719273408 +66 34 52.401872568|     ~   |9.80     |9.23     |     ~   |     ~   |G              |  14|   0
243 |HD 197974                          |PM*|20 43 25.7810712480 +66 12 38.748704148|     ~   |9.41     |8.96     |     ~   |     ~   |G              |   4|   0
244 |BD+68 1167                         |*  |20 54 58.0084492464 +68 51 10.151174952|     ~   |11.24    |10.78    |     ~   |     ~   |G              |   3|   0
245 |BD+69 1167                         |SB*|21 24 28.7269341120 +69 53 36.257056080|     ~   |10.72    |10.02    |     ~   |     ~   |G              |   2|   0
246 |BD+71 1091a                        |PM*|21 49 18.0058001376 +71 45 13.902378480|     ~   |11.70    |10.86    |     ~   |     ~   |G              |   1|   0
247 |BD+71 1176                         |SB*|22 59 17.5380591240 +72 40 50.793043872|     ~   |11.20    |9.98     |     ~   |     ~   |G              |   1|   0
248 |HD 650                             |** |00 11 04.522392 +75 31 36.95016        |     ~   |     ~   |     ~   |9.51     |     ~   |G              |   3|   0
249 |BD+70 191                          |*  |02 35 49.2252371064 +70 45 03.739753044|     ~   |10.43    |10.02    |     ~   |     ~   |G              |   1|   0
250 |HD 15762                           |*  |02 35 39.7773214824 +69 51 43.952204088|     ~   |9.58     |9.13     |     ~   |     ~   |G              |   2|   0
251 |HD 21237                           |*  |03 29 19.2233782968 +64 24 54.913863276|     ~   |10.06    |9.48     |     ~   |     ~   |G              |   8|   0
252 |HD 21768                           |*  |03 34 13.5747418680 +64 16 15.024268632|     ~   |9.45     |8.49     |     ~   |     ~   |G              |   3|   0
253 |BD+63 450                          |*  |03 49 55.2338870544 +64 02 54.234514428|     ~   |11.23    |9.75     |     ~   |     ~   |G              |   1|   0
254 |HD 31266                           |*  |04 56 30.6096592152 +46 27 03.725782128|     ~   |9.11     |8.65     |     ~   |     ~   |G              |  12|   0
255 |HD 176936                          |*  |19 00 19.3804989648 +46 48 26.409298932|     ~   |9.22     |8.77     |     ~   |     ~   |G              |   3|   0
256 |HD 175901                          |*  |18 55 30.8701960440 +44 10 35.286256956|     ~   |9.11     |8.62     |     ~   |     ~   |G              |   2|   0
257 |BD+60 1975                         |*  |19 36 00.7774632168 +61 17 02.854876308|     ~   |10.43    |10.05    |     ~   |     ~   |G              |   1|   0
258 |BD+61 1915                         |PM*|19 48 29.4123860808 +62 05 46.161755772|     ~   |10.02    |9.44     |     ~   |     ~   |G              |   5|   0
259 |HD 190186                          |*  |19 59 39.2095471320 +65 12 50.518428084|     ~   |9.89     |9.33     |     ~   |     ~   |G              |  11|   0
260 |HD 189977                          |*  |19 58 02.0602224432 +67 51 39.453576876|     ~   |9.92     |9.39     |     ~   |     ~   |G              |   4|   0
261 |HD 195403                          |*  |20 26 50.9198004168 +67 33 59.447750760|     ~   |9.74     |9.22     |     ~   |     ~   |G              |   3|   0
262 |TYC 4447-1592-1                    |PM*|20 43 18.5891055384 +69 20 15.638700804|     ~   |11.36    |10.80    |     ~   |     ~   |G              |   1|   0
263 |AG+76 872                          |*  |21 58 16.0292894712 +76 26 35.370079188|     ~   |12.9     |11.8     |     ~   |     ~   |G              |   1|   0
264 |BD+76 860                          |*  |22 25 38.4060075192 +77 31 02.726404176|     ~   |10.76    |10.33    |     ~   |     ~   |G              |   2|   0
265 |TYC 4605-2622-1                    |*  |22 46 08.7000487680 +77 46 58.690303536|     ~   |11.34    |9.97     |     ~   |     ~   |G              |   1|   0
266 |BD+77 887                          |*  |23 04 43.6419507888 +77 58 12.493993584|     ~   |10.49    |9.72     |     ~   |     ~   |G              |   2|   0
267 |BD+77 890                          |*  |23 05 01.9533628584 +77 55 32.934083088|     ~   |10.33    |9.87     |     ~   |     ~   |G              |   2|   0
268 |HD 220962                          |*  |23 26 47.3436149808 +76 52 28.337991312|     ~   |9.49     |8.87     |     ~   |     ~   |G              |   2|   0
269 |TYC 4602-2011-1                    |*  |23 35 26.1717909312 +76 37 40.067040000|     ~   |10.40    |9.80     |     ~   |     ~   |G              |   2|   0
270 |HD 221945                          |SB*|23 35 24.3889996992 +76 39 11.248904736|     ~   |9.53     |8.96     |     ~   |     ~   |G              |   8|   0
271 |TYC 4601-110-1                     |*  |23 12 52.3655699424 +76 32 46.211959536|     ~   |11.31    |10.71    |     ~   |     ~   |G              |   1|   1
272 |BD+75 40                           |*  |00 46 43.4521448808 +75 53 04.442414604|     ~   |11.08    |10.48    |     ~   |     ~   |G              |   1|   0
273 |BD+75 70                           |*  |01 38 55.9934256624 +76 15 35.785192212|     ~   |10.83    |9.78     |     ~   |     ~   |G              |   1|   0
274 |HIP 16332                          |SB*|03 30 32.1723634872 +71 11 31.502853276|     ~   |11.24    |10.52    |     ~   |     ~   |G              |   9|   0
275 |TYC 4074-945-1                     |*  |03 37 40.5177247896 +67 19 02.576913672|     ~   |11.69    |11.05    |     ~   |     ~   |G              |   4|   0
276 |BD+63 468                          |*  |04 01 29.0754563064 +63 54 41.433573168|     ~   |10.67    |10.01    |     ~   |     ~   |G              |   2|   0
277 |BD+60 798                          |*  |04 21 14.4440814240 +61 08 18.170923596|     ~   |10.42    |9.85     |     ~   |     ~   |G              |   1|   0
278 |BD+57 805                          |*  |04 30 48.5638441920 +58 13 18.553515744|     ~   |11.66    |11.20    |     ~   |     ~   |G              |   1|   0
279 |BD+56 940                          |*  |04 35 31.8547002720 +56 57 00.881732664|     ~   |11.00    |9.84     |     ~   |     ~   |G              |   2|   0
280 |BD+53 2173                         |*  |19 02 39.3370472448 +53 42 06.129227484|     ~   |10.97    |9.74     |     ~   |     ~   |G              |   1|   0
281 |BD+62 1696                         |*  |19 13 17.3882322624 +63 11 55.298240556|     ~   |10.91    |10.35    |     ~   |     ~   |G              |   2|   0
282 |BD+67 1203                         |*  |19 46 58.5373517616 +67 32 34.652718528|     ~   |11.96    |10.85    |     ~   |     ~   |G              |   1|   0
283 |BD+65 1376                         |*  |19 37 07.0779182808 +65 55 25.596780996|     ~   |11.57    |10.14    |     ~   |     ~   |G              |   1|   0
284 |HD 191633                          |PM*|20 04 46.0623098140 +72 59 47.961242455|     ~   |9.21     |8.54     |8.1      |     ~   |G              |  21|   0
285 |BD+75 741                          |*  |20 27 06.5881140384 +75 45 02.536608240|     ~   |12.11    |10.16    |     ~   |     ~   |G              |   1|   0
286 |BD+76 835B                         |PM*|21 17 25.8464056608 +76 58 15.231152820|     ~   |10.97    |10.18    |     ~   |     ~   |G              |   4|   1
287 |TYC 4586-281-1                     |*  |20 45 11.8601148768 +75 16 17.813492220|     ~   |12.07    |11.33    |     ~   |     ~   |G              |   1|   0
288 |TYC 4607-1633-1                    |*  |21 44 58.0947301128 +79 23 13.893349560|     ~   |11.20    |10.64    |     ~   |     ~   |G              |   1|   0
289 |HD 205775                          |PM*|21 31 55.1612459064 +77 11 59.315604072|     ~   |10.22    |9.66     |     ~   |     ~   |G              |   3|   0
290 |TYC 4609-669-1                     |*  |23 19 59.2676086968 +79 43 33.013788348|     ~   |10.85    |10.28    |     ~   |     ~   |G              |   1|   0
291 |TYC 4500-204-1                     |*  |00 13 15.7243892976 +79 47 21.516484596|     ~   |11.22    |10.60    |     ~   |     ~   |G              |   1|   0
292 |BD+78 35                           |*  |01 18 37.2620570544 +79 40 02.872131060|     ~   |11.36    |10.66    |     ~   |     ~   |G              |   1|   0
293 |HD 22562                           |*  |03 43 54.9720685872 +73 45 33.163148952|     ~   |10.68    |10.20    |     ~   |     ~   |G              |   3|   0
294 |BD+70 289A                         |*  |04 20 56.2631095056 +70 23 13.534536552|     ~   |10.80    |10.19    |     ~   |     ~   |G              |   6|   0
295 |BD+70 289B                         |*  |04 20 54.4916984184 +70 23 17.586711780|     ~   |10.79    |10.30    |     ~   |     ~   |G              |   5|   0
296 |TYC 4077-683-1                     |*  |04 21 23.5451185464 +67 00 34.572034080|     ~   |12.07    |10.79    |     ~   |     ~   |G              |   2|   0
297 |TYC 4090-1600-1                    |*  |04 40 01.2892001040 +66 12 46.605112128|     ~   |12.10    |11.65    |     ~   |     ~   |G              |   2|   0
298 |BD+65 422                          |*  |04 40 19.8905353632 +66 10 22.311557184|     ~   |12.31    |11.63    |     ~   |     ~   |G              |   2|   0
299 |HD 238948                          |*  |18 51 14.3148617160 +56 36 35.470309752|     ~   |10.75    |9.78     |     ~   |     ~   |G              |   2|   0
300 |TYC 4220-324-1                     |*  |19 07 41.5430726400 +63 07 49.831129380|     ~   |11.58    |11.06    |     ~   |     ~   |G              |   1|   0
301 |BD+62 1681                         |*  |19 06 38.2466380512 +62 39 08.312493204|     ~   |11.24    |10.18    |     ~   |     ~   |G              |   1|   0
302 |BD+67 1107                         |*  |18 59 57.5644463736 +67 59 46.374821016|     ~   |11.24    |10.35    |     ~   |     ~   |G              |   3|   0
303 |2E 1916.5+6735                     |*  |19 16 31.9 +67 41 15                   |     ~   |     ~   |10.87    |     ~   |     ~   |G              |   3|   0
304 |HD 194296                          |*  |20 17 56.7918543240 +75 33 43.046238060|     ~   |10.55    |10.01    |     ~   |     ~   |G              |   2|   0
305 |HD 192300                          |*  |20 06 17.5317014448 +76 41 56.305323708|     ~   |10.57    |9.82     |     ~   |     ~   |G              |   2|   0
306 |HD 187999                          |PM*|19 45 31.1262414792 +75 21 54.167379984|     ~   |10.57    |10.01    |     ~   |     ~   |G              |   3|   0
307 |TYC 4593-2160-1                    |*  |20 23 05.2553774376 +79 19 05.006375076|     ~   |11.48    |10.25    |     ~   |     ~   |G              |   1|   0
308 |HD 192908                          |*  |20 09 31.0337748360 +76 51 24.951397104|     ~   |10.41    |10.04    |     ~   |     ~   |G              |   2|   0
309 |BD+76 788                          |*  |20 14 04.5186483000 +77 21 42.843649068|     ~   |11.66    |10.68    |     ~   |     ~   |G              |   1|   0
310 |BD+83 650                          |SB*|23 22 15.1433789472 +84 06 55.509046668|     ~   |11.03    |10.58    |     ~   |     ~   |G              |   1|   0
311 |BD+83 654                          |*  |23 26 48.4580949528 +84 05 18.841823520|     ~   |11.14    |10.67    |     ~   |     ~   |G              |   1|   0
312 |TYC 4613-623-1                     |*  |22 41 14.8156533648 +82 16 41.929770540|     ~   |12.15    |11.88    |     ~   |     ~   |G              |   1|   0
313 |TYC 4615-3834-1                    |PM*|01 35 18.0787248984 +83 21 12.631404996|     ~   |10.82    |10.14    |     ~   |     ~   |G              |   3|   0
314 |BD+74 171B                         |*  |03 46 20.2058385672 +75 22 30.769526604|     ~   |10.85    |9.61     |     ~   |     ~   |G              |   3|   0
315 |HD 26944                           |*  |04 22 35.1309009792 +74 06 16.880447592|     ~   |10.53    |10.09    |     ~   |     ~   |G              |   3|   0
316 |HD 26195                           |*  |04 15 49.2070961928 +74 24 59.419329624|     ~   |10.86    |10.29    |     ~   |     ~   |G              |   3|   0
317 |HD 29190                           |*  |04 41 59.0826389640 +71 21 24.800520888|     ~   |9.44     |8.94     |     ~   |     ~   |G              |   4|   0
318 |HD 29340                           |Pu*|04 43 23.6521555224 +71 11 38.238077652|     ~   |9.54     |9.20     |     ~   |     ~   |G              |  16|   0
319 |TYC 4091-476-1                     |*  |04 55 24.8681213352 +66 41 29.284861416|     ~   |11.00    |10.39    |     ~   |     ~   |G              |   2|   0
320 |HD 233089                          |*  |05 14 51.1796697816 +53 13 43.754767212|     ~   |9.90     |9.47     |     ~   |     ~   |G              |   2|   0
321 |BD+48 1272                         |*  |05 27 51.3800702808 +48 11 26.846189484|     ~   |11.57    |11.03    |     ~   |     ~   |G              |   1|   0
322 |BD+69 993a                         |SB*|18 33 50.4849691464 +70 02 32.654891544|     ~   |11.13    |10.52    |     ~   |     ~   |G              |   6|   0
323 |BD+69 993                          |PM*|18 33 49.0317813528 +70 02 40.130158848|     ~   |10.91    |10.54    |     ~   |     ~   |G              |   6|   0
324 |BD+69 1008                         |SB*|18 52 44.8465824576 +69 52 00.030679140|     ~   |11.23    |10.46    |     ~   |     ~   |G              |   3|   0
325 |HD 183885                          |PM*|19 22 42.6847214640 +77 08 48.347251260|     ~   |10.57    |10.04    |     ~   |     ~   |G              |   3|   0
326 |TYC 4592-431-1                     |*  |19 52 42.0451853832 +79 53 57.977387880|     ~   |11.02    |10.56    |     ~   |     ~   |G              |   1|   0
327 |HD 184656                          |PM*|19 21 28.7167312464 +81 44 34.734087240|     ~   |9.29     |8.61     |     ~   |     ~   |G              |   4|   0
328 |BD+84 466                          |*  |20 18 40.6757994552 +84 59 36.296282652|     ~   |11.56    |10.48    |     ~   |     ~   |G              |   1|   0
329 |BD+84 485                          |*  |21 15 09.0516640416 +84 38 33.715797144|     ~   |11.02    |9.89     |     ~   |     ~   |G              |   1|   0
330 |AG+84 462                          |** |21 21 08.491008 +84 36 04.01724        |     ~   |11.802   |11.176   |11.075   |     ~   |G              |   1|   0
331 |TYC 4649-2516-1                    |*  |20 16 39.0808716432 +83 46 10.107640884|     ~   |11.92    |11.58    |     ~   |     ~   |G              |   1|   0
332 |BD+84 541                          |SB*|23 54 24.7429035312 +84 58 17.336778780|     ~   |11.39    |10.71    |     ~   |     ~   |G              |   1|   0
333 |HD 16079                           |PM*|02 46 00.6612692640 +82 50 12.047053668|     ~   |9.81     |9.54     |     ~   |     ~   |G              |   2|   0
334 |HD 20110                           |PM*|03 29 51.2385939480 +84 02 19.302088740|     ~   |8.84     |8.38     |     ~   |     ~   |G              |  23|   0
335 |HD 237390                          |*  |05 26 50.0182056816 +57 48 29.717083944|     ~   |10.36    |9.84     |     ~   |     ~   |G              |   3|   0
336 |BD+56 1026                         |** |05 26 05.9085142488 +57 05 37.734960012|     ~   |11.33    |10.83    |     ~   |     ~   |G              |   1|   0
337 |BD+57 895                          |*  |05 36 50.5920407544 +57 41 15.418191840|     ~   |11.83    |11.18    |     ~   |     ~   |G              |   0|   0
338 |HD 37535                           |*  |05 42 19.3540632456 +53 30 55.781314164|     ~   |9.46     |9.01     |     ~   |     ~   |G              |  13|   0
339 |HD 165279                          |*  |18 02 58.8264527328 +45 26 14.305013124|     ~   |9.60     |9.22     |     ~   |     ~   |G              |   3|   0
340 |HD 165371                          |PM*|18 03 22.4278504248 +45 58 31.770950556|     ~   |9.20     |8.63     |     ~   |     ~   |G              |  10|   0
341 |TYC 3915-1879-1                    |*  |18 09 20.0318465832 +59 45 13.445358588|     ~   |11.47    |11.07    |     ~   |     ~   |G              |   1|   0
342 |RX J1805.1+6353                    |*  |18 05 07.104 +63 53 26.02              |     ~   |     ~   |     ~   |     ~   |     ~   |G              |   2|   0
343 |BD+64 1255                         |*  |18 15 31.0542155112 +64 50 11.660787960|     ~   |11.17    |10.60    |     ~   |     ~   |G              |   4|   0
344 |BD+75 653                          |*  |18 00 58.9025984928 +75 28 32.811927456|     ~   |11.92    |11.17    |     ~   |     ~   |G              |   1|   0
345 |TYC 4578-456-1                     |*  |18 09 09.3696311592 +79 41 29.766705576|     ~   |11.41    |10.94    |     ~   |     ~   |G              |   1|   0
346 |HD 31432                           |** |05 34 50.412 +86 50 43.65              |     ~   |9.9      |8.9      |     ~   |     ~   |G              |   2|   0
347 |BD+81 163                          |*  |04 54 08.1830 +81 25 23.767            |     ~   |11.09    |10.58    |     ~   |     ~   |G              |   0|   0
348 |HD 34712                           |PM*|05 34 37.4938069944 +81 41 53.244416004|     ~   |     ~   |     ~   |8.3      |     ~   |G              |  18|   0
349 |TYC 4524-1989-1                    |*  |05 55 15.8373156360 +75 59 01.199957352|     ~   |11.79    |11.25    |     ~   |     ~   |G              |   1|   0
350 |TYC 4344-496-1                     |*  |05 40 50.0232009336 +68 48 27.357235956|     ~   |12.66    |11.74    |     ~   |     ~   |G              |   1|   0
351 |TYC 4106-493-1                     |*  |05 49 22.7924759784 +66 30 43.564284972|     ~   |11.32    |10.83    |     ~   |     ~   |G              |   1|   0
352 |HD 38721                           |SB*|05 50 14.1813142368 +47 19 40.118752380|     ~   |9.52     |9.04     |     ~   |     ~   |G              |   3|   0
353 |BD+46 1071                         |** |05 56 55.3927 +46 40 47.297            |     ~   |10.33    |9.80     |     ~   |     ~   |G              |   2|   0
354 |BD+46 1072                         |PM*|05 56 55.1105431896 +46 40 13.129040640|     ~   |10.57    |10.17    |     ~   |     ~   |G              |   1|   0
355 |BD+45 1197                         |*  |05 56 01.3913791176 +45 11 54.476418876|     ~   |10.40    |9.28     |     ~   |     ~   |G              |   1|   0
356 |BD+60 1772                         |*  |17 40 28.8385550760 +60 04 27.105723228|     ~   |11.24    |10.54    |     ~   |     ~   |G              |   1|   0
357 |BD+64 1235                         |*  |17 58 01.4624535552 +64 09 34.579926108|     ~   |11.07    |10.11    |     ~   |     ~   |G              |   4|   0
358 |TYC 4203-258-1                     |*  |17 40 22.4049820776 +63 04 17.433075540|     ~   |11.35    |10.81    |     ~   |     ~   |G              |   1|   0
359 |TYC 4428-1547-1                    |*  |17 39 35.4155118168 +68 12 18.336131316|     ~   |10.90    |10.46    |     ~   |     ~   |G              |   1|   0
360 |TYC 4428-1234-1                    |*  |17 41 29.7392354352 +67 34 56.562014568|     ~   |11.43    |10.81    |     ~   |     ~   |G              |   1|   0
361 |TYC 4432-843-1                     |*  |17 58 17.9964046344 +70 34 52.161930732|     ~   |11.61    |10.42    |     ~   |     ~   |G              |   1|   0
362 |TYC 4569-1500-1                    |*  |17 25 27.1291265232 +75 45 42.837402996|     ~   |11.99    |10.70    |     ~   |     ~   |G              |   1|   0
363 |TYC 4569-535-1                     |*  |17 44 25.3908438768 +75 21 11.943774972|     ~   |12.01    |11.03    |     ~   |     ~   |G              |   2|   0
