,ID,Spectral Class,Ra,Dec,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(H),flux(K)
52,BD+60  1851,K,18 48 48.6130,+60 28 35.786,--,10.12,9.11,--,--,8.833454,7.374,6.915,--
53,HD  51998,F,07 03 56.7206,+63 47 17.096,--,9.84,9.53,--,--,9.519541,8.973,8.884,8.837
54,HD  25216,A,04 02 18.4818,+45 01 42.216,--,10.84,10.39,--,--,10.400625,9.626,9.473,9.401
55,SBSS 1422+589B,G,14 23 56.8290,+58 45 16.135,--,16.88,16.48,16.23,--,16.393301,15.41,15.33,15.0
56,HD 284487,A,04 31 31.0463,+22 13 15.059,--,11.92,11.66,--,--,11.361183,10.416,10.273,10.208
57,LS   I +64   47,B,00 49 11.2657,+65 07 31.423,--,12.61,12.04,12.03,--,11.888615,10.816,10.61,10.592
58,IRAS 17365-3023,O,17 39 46.9728,-30 24 48.564,--,--,--,--,--,--,--,--,10.165
59,IRAS 17183-3614,O,17 21 38.5685,-36 17 42.543,--,--,--,--,--,18.481243,9.272,6.372,4.839
60,HD 284833,A,04 47 47.9869,+19 22 59.918,14.528,12.25,11.76,--,--,11.581467,10.602,10.47,10.402
61,BD+79    31,K,01 10 40.5942,+80 20 37.435,--,11.07,9.54,--,--,8.894197,6.667,5.859,5.676
62,BD-20  2531,F,08 26 36.1708,-20 44 38.844,--,10.64,10.26,--,--,10.16225,9.451,9.313,9.268
63,IRAS 17253-2824,O,17 28 30.6854,-28 26 54.875,--,--,--,--,--,18.985474,10.724,8.305,6.665
64,HD  27265,A,04 21 17.0559,+55 11 16.664,--,9.85,9.36,--,--,9.164598,8.207,8.026,7.979
65,HD 286258,F,05 00 38.2153,+15 50 12.606,--,11.88,11.31,--,--,11.141732,9.962,9.62,9.534
66,HD 279501,A,04 11 07.1968,+36 29 33.976,--,11.8,11.6,--,--,11.555399,10.888,10.784,10.724
67,V* XZ CrB,M,15 50 34.3112,+34 25 29.684,--,11.14,9.56,--,--,8.352699,5.354,4.733,4.261
68,OH 358.478-02.916,O,17 53 35.8267,-31 44 19.633,--,--,--,--,--,--,--,--,11.763
69,HD 207131,G,21 45 11.3536,+54 30 32.908,--,9.31,8.88,--,--,8.805899,8.055,7.903,7.863
70,BD+84   265,K,12 08 49.4130,+83 19 00.191,--,12.23,10.59,--,--,9.772993,7.203,6.37,6.093
71,BD+42  4364,K,22 21 52.0714,+42 49 33.298,--,10.86,9.42,--,--,8.888814,6.82,6.138,5.954
72,IRAS 17296-3155,O,17 32 52.4536,-31 57 15.770,--,--,--,--,--,15.966638,8.416,6.391,5.061
73,BD+60   956,K,06 24 22.6344,+60 48 51.020,--,11.04,9.79,--,--,9.398007,7.772,7.217,7.085
74,BD+77   890,G,23 05 01.9533,+77 55 32.934,--,10.33,9.87,--,--,9.752674,8.957,8.809,8.727
75,AG+63  369,M,05 30 17.7587,+63 03 19.555,--,10.93,9.16,--,--,7.571114,4.297,3.359,2.913
76,BD-16   697,M,03 45 17.5429,-16 29 21.010,--,11.06,9.84,--,--,9.540755,7.918,7.403,7.249
77,HD 235915,K,22 39 41.3632,+51 16 59.085,--,11.17,10.19,--,--,9.824635,8.129,7.562,7.411
78,V* V347 Sct,M,18 57 45.6785,-08 00 47.215,--,--,--,--,--,13.728158,8.212,7.288,6.776
79,[SOM2002]  2418,M,09 42 42.925,+47 00 53.59,--,--,--,--,--,--,--,--,--
80,OH 342.01+00.25,O,16 53 04.8816,-43 32 47.335,--,--,--,--,--,19.509148,8.344,5.354,3.38
81,BD+65  1884,K,23 24 28.8601,+66 30 55.851,--,12.13,9.57,--,--,8.057407,4.809,3.736,3.23
82,HD 317908,M,17 36 48.6250,-30 37 20.633,--,11.79,10.17,--,--,9.204639,6.474,5.576,5.281
83,BD+44  1148,B,05 15 57.0464,+44 51 37.912,--,10.55,10.49,--,--,10.480234,10.279,10.341,10.306
84,HD  94011,G,10 52 04.2473,+58 22 11.445,--,--,--,8.7,--,8.918229,7.858,7.555,7.521
85,HD  46298,F,06 33 28.5134,+20 52 09.750,--,9.58,9.29,--,--,9.329146,8.99,8.988,8.972
86,IRAS 17255-3220,O,17 28 50.2783,-32 22 33.610,--,--,--,--,--,--,12.67,9.616,7.73
87,BD+39   518,M,02 18 50.0077,+40 23 46.794,--,11.41,10.11,--,--,9.73805,7.782,7.066,7.022
88,[D75b] Star 16,M,02 38 33.4524,+61 54 31.257,--,15.6,--,--,--,11.511384,7.937,6.857,6.45
89,OH 141.7+03.5,O,03 33 30.6174,+60 20 08.858,--,--,--,--,--,19.668083,13.611,10.105,7.559
90,HD 144512,A,16 02 32.5539,+62 48 40.512,--,10.33,10.14,--,--,10.140816,9.854,9.825,9.798
91,BD+06   634,K,04 08 15.2895,+07 03 17.353,--,12.28,11.3,10.97,--,10.91429,9.712,9.35,9.271
92,HD  49694,G,06 53 55.3488,+62 16 15.584,--,9.68,9.31,--,--,9.188821,8.463,8.288,8.234
93,V* NS Her,M,17 31 41.4865,+21 49 55.127,--,13.31,11.83,--,--,10.324235,7.27,6.368,6.077
94,SBSS 1006+578,G,10 10 21.8734,+57 37 48.451,--,16.43,15.81,15.63,--,15.666855,14.674,14.36,14.25
95,HD  79594,G,09 19 32.9314,+71 05 39.126,--,9.68,9.27,--,--,9.225387,8.541,8.374,8.34
96,EM* UHA   85,K,20 56 38.2661,+44 49 25.232,--,15.0,14.0,--,--,12.865302,10.384,9.694,9.516
97,HD 165371,G,18 03 22.4278,+45 58 31.770,--,9.2,8.63,--,--,8.516123,7.561,7.377,7.332
98,IRAS 17338-3718,O,17 37 14.0073,-37 19 57.790,--,--,--,--,--,18.401981,11.143,--,--
99,IRAS 17521-3058,O,17 55 25.2842,-30 59 10.500,--,--,--,--,--,--,--,12.104,9.221
100,BD+81   774,K,22 21 51.8412,+82 17 26.696,--,12.04,10.9,--,--,10.521462,8.79,8.266,8.127
101,V* V1743 Oph,M,17 16 30.4876,-17 23 32.774,--,--,--,--,--,14.324824,8.967,7.982,7.428
102,IRAS 16418-3957,O,16 45 17.7924,-40 02 54.622,--,--,--,--,--,13.13531,7.153,5.994,5.242
103,HD 160604,A,17 31 17.2097,+77 06 04.190,--,8.9,8.85,--,--,8.860269,8.731,8.744,8.723
104,IRAS 17194-3911,O,17 22 52.6593,-39 13 58.492,--,--,--,--,--,14.125265,6.82,5.232,4.35
105,IRAS 16546-4057,O,16 58 09.4286,-41 02 16.519,--,--,--,--,--,--,13.04,9.005,6.134
106,HD 283848,K,04 45 44.9493,+27 39 21.267,--,12.53,10.83,--,--,10.155843,7.766,7.082,6.871
107,OH 342.974+02.901,O,16 45 26.9929,-41 06 06.798,--,--,--,--,--,19.20096,--,--,--
108,LS   I +60   65,B,00 00 48.4603,+61 02 49.419,11.56,11.96,11.51,--,--,11.352696,10.442,10.363,10.283
109,BD+45   832,B,03 52 54.8943,+46 05 22.586,--,9.76,9.6,--,--,9.551481,9.23,9.155,9.186
110,V* V1422 Oph,M,17 07 58.6602,-19 37 06.485,--,--,--,--,--,11.698653,7.919,6.92,6.545
111,LS   I +63   92,B,00 41 05.7589,+63 25 19.183,--,12.19,11.59,--,--,11.23226,9.686,9.433,9.304
112,CHSS  601,F,09 16 31.2811,+28 53 49.093,--,--,14.12,--,--,14.041809,13.328,13.126,13.171
113,HD 281942,G,04 21 03.1552,+33 39 58.296,--,12.33,11.12,--,--,11.246074,10.015,9.739,9.621
114,BD+71  1176,G,22 59 17.5380,+72 40 50.793,--,11.2,9.98,--,--,9.457373,7.581,6.951,6.795
115,IRAS 17276-2846,O,17 30 48.3382,-28 49 01.771,--,--,--,--,--,16.523005,10.893,--,--
116,CHSS    2,F,10 31 03.5347,+29 24 39.608,--,--,13.17,--,--,13.021784,12.081,11.766,11.762
117,OH 000.178-00.055,O,17 46 15.3456,-28 48 47.725,--,--,--,--,--,--,--,--,15.047
118,IRAS 23518-2124,M,23 54 25.7422,-21 07 55.322,--,--,--,12.64,9.41,10.976108,6.902,5.988,5.616
119,HD   6240,F,01 04 13.3053,+52 52 02.064,--,9.32,8.99,--,--,8.932656,8.299,8.215,8.123
120,CHSS  597,F,09 14 51.0764,+29 24 27.337,--,--,14.84,--,--,14.717591,13.761,13.567,13.462
121,BD+65   865A,G,12 03 59.0052,+64 29 09.402,--,11.37,10.75,--,--,10.589162,9.596,9.305,9.248
122,TYC 3998-1367-1,K,23 17 00.3954,+52 47 24.157,--,11.59,10.63,--,--,10.356461,8.663,8.09,7.971
123,IRAS 17071-4122,O,17 10 35.7636,-41 25 56.856,--,--,--,--,--,--,--,--,--
124,LS III +45   58,B,21 11 39.4802,+45 30 12.987,--,10.84,10.76,--,--,10.729795,10.413,10.449,10.428
125,Cl Trumpler   37   899,F,21 16 04.3899,+58 13 26.434,--,12.84,12.28,--,--,12.147738,11.17,10.951,10.897
126,HD  22765,A,03 40 40.2877,+29 27 16.758,--,9.54,9.28,--,--,9.277795,8.83,8.815,8.713
127,HD 189844,K,19 59 50.7135,+50 34 08.051,--,9.85,8.25,--,--,7.503179,5.086,4.521,4.24
128,HD 155000,K,17 05 25.0397,+58 42 41.749,--,10.13,8.81,--,--,8.430778,6.568,5.935,5.78
129,BD+56  2758,B,22 20 40.0113,+57 06 43.124,--,10.85,10.22,--,--,10.048048,8.679,8.469,8.336
130,IRAS 17221-3636,O,17 25 33.8069,-36 39 25.606,--,--,--,--,--,15.987955,8.288,6.254,5.237
131,IRAS 04248+2612,M,04 27 57.3239,+26 19 18.033,--,--,--,--,--,20.973566,13.235,11.795,11.026
132,LS III +57   45,B,22 23 33.1780,+57 44 07.693,--,12.9,--,--,--,12.41733,11.428,11.3,11.235
133,BD+69   821,K,15 52 30.8723,+69 28 44.104,--,11.98,10.45,--,--,9.670064,7.299,6.512,6.298
134,LS   I +56   76,B,02 52 09.4696,+56 46 48.659,13.08,13.24,12.55,12.35,--,12.212538,10.922,10.733,10.668
135,HD 284489,A,04 29 56.0912,+22 16 46.471,--,12.04,12.31,--,--,11.739432,10.944,10.807,10.777
136,BD+40  2894,G,15 30 17.3671,+39 41 44.407,--,9.09,8.62,--,--,8.52877,7.745,7.569,7.539
137,HD  50691,A,06 56 50.9603,+50 00 28.197,--,9.48,9.44,--,--,9.496213,9.42,9.449,9.455
138,IRAS 17283-3712,O,17 31 43.6847,-37 14 49.593,--,--,--,--,--,14.783108,8.088,6.47,5.641
139,HD 276682,K,04 40 02.4400,+42 03 45.258,--,12.36,10.84,--,--,10.320374,8.277,7.639,7.478
140,BD+60  2624,K,23 49 22.1609,+60 56 15.900,--,11.73,9.66,--,--,8.697657,5.84,5.021,4.642
141,BD+40  2935,G,15 52 35.5569,+40 27 24.301,--,11.77,11.38,--,--,11.256243,10.299,10.068,10.007
142,HD 147663,G,16 21 07.3813,+46 42 07.599,--,10.06,9.09,--,--,8.886408,7.46,6.94,6.877
143,TYC 4556-847-1,K,12 26 31.3753,+80 41 23.285,--,11.97,10.87,--,--,10.569441,8.953,8.509,8.357
144,OH 351.14+00.08,O,17 22 28.0759,-36 20 15.939,--,--,--,--,--,--,--,13.895,12.132
145,BTC40 J1202-2014,M,12 02 44.6,-20 14 02,--,--,--,--,--,--,--,--,--
146,HD 233029,A,04 52 29.0813,+51 21 37.413,--,11.31,9.64,--,--,8.828735,6.326,5.454,5.24
147,AG+51  721,G,08 57 05.5752,+51 22 57.062,--,12.663,12.052,11.966,--,11.941983,10.982,10.691,10.623
148,CHSS  692,F,09 47 16.8603,+29 42 59.475,--,--,16.27,--,--,16.139536,15.319,14.966,14.931
149,HD 314460,M,18 25 00.7375,-21 39 28.769,--,10.0,--,--,--,12.414689,11.248,10.964,10.914
150,GSC 04143-00922,G,09 58 12.0063,+65 29 50.118,--,13.58,12.91,--,--,12.818463,11.688,11.35,11.262
151,LS III +51   17,B,21 30 36.4773,+51 36 29.315,--,12.6,12.13,--,--,11.500964,10.189,10.007,9.926
152,HD 115423,K,13 11 30.6529,+82 39 34.950,--,10.73,9.75,--,--,9.595422,8.216,7.808,7.696
153,CHSS  697,F,09 48 54.0742,+29 27 00.497,--,--,13.5,--,--,13.383786,12.573,12.338,12.267
154,BD+05  4316,M,19 51 52.8560,+06 18 45.485,--,12.2,10.79,--,--,9.991591,7.446,6.615,6.375
155,HD  78606,G,09 11 08.8174,+51 18 21.132,--,9.89,9.31,--,--,9.186744,8.223,7.965,7.876
156,HD  89482,F,10 20 35.9830,+45 42 45.865,--,9.69,9.37,--,--,9.35158,--,--,--
157,OH 356.46-00.38,O,17 38 27.5375,-32 08 57.162,--,--,--,--,--,20.703945,--,13.355,--
158,TYC 3632-571-1,G,22 31 43.5470,+52 00 37.003,--,11.78,10.35,--,--,9.602325,7.291,6.519,6.309
159,IRAS 17130-3604,O,17 16 26.6509,-36 07 34.723,--,--,--,--,--,13.646039,6.901,5.392,4.474
160,BD+56  1036,A,05 34 18.3059,+56 17 36.121,--,10.62,10.15,--,--,10.198559,9.437,9.325,9.297
161,IRAS 17397-3555,O,17 43 04.7911,-35 57 05.868,--,--,--,--,--,--,12.126,9.982,8.458
162,UM  59,F,00 41 06.0942,+06 09 42.661,--,17.0,--,--,--,21.268803,13.645,13.148,12.705
163,Cl Bochum   15    21,O,07 38 33.4909,-33 23 38.689,--,13.59,13.36,--,--,13.323923,12.851,12.774,12.74
164,BD-17   747,K,03 52 31.2086,-16 54 58.863,--,11.066,10.09,--,--,9.761506,8.239,7.718,7.6
165,BD+42  4141,B,21 34 59.4511,+43 26 43.822,--,10.41,10.16,--,--,10.075784,9.514,9.484,9.434
166,BD+54   639,B,03 08 37.1992,+55 22 50.531,--,10.21,9.85,--,--,9.710228,8.964,8.895,8.853
167,IRAS 16280-4154,O,16 31 32.0935,-42 01 19.890,--,--,--,--,--,18.583448,11.773,9.61,7.425
168,2MASSs J0253243+200659,M,02 53 24.37,+20 06 59.5,--,--,--,--,--,--,--,--,--
169,LS   V +48   25,B,05 06 47.4390,+48 29 59.364,--,12.48,12.05,12.05,--,11.925949,11.056,10.943,10.875
170,SBSS 1638+593,B,16 38 53.7844,+59 12 30.444,--,16.36,16.81,--,--,16.638325,16.47,--,--
171,TYC 4362-1418-1,F,06 41 02.6342,+69 43 41.394,--,12.09,11.74,--,--,11.524484,10.662,10.465,10.385
172,LS   V +56   33,B,02 21 21.4831,+56 53 54.761,--,10.86,10.794,--,10.5252,10.757693,10.307,10.323,10.29
173,IRAS 17241-3848,O,17 27 39.2110,-38 51 27.840,--,--,--,--,--,17.741877,10.678,8.871,7.579
174,HD 214860,F,22 40 43.1603,+29 59 32.528,--,9.94,9.54,--,--,9.483824,8.755,8.61,8.595
175,BD+64   737,F,09 29 58.7266,+64 13 00.043,--,10.61,10.13,--,--,10.010939,9.187,8.93,8.86
176,LBQS 0008+0100,F,00 10 54.8215,+01 16 48.745,--,17.8,--,17.7,--,18.126204,--,--,--
177,IRAS 17290-3807,O,17 32 31.0273,-38 09 30.105,--,--,--,--,--,16.610836,8.47,6.744,5.774
178,BD+45   319,K,01 20 43.4535,+46 20 36.250,--,10.5,9.3,--,--,8.981715,7.1,6.479,6.331
179,2MASSs J0253530+194517,M,02 53 53.09,+19 45 18.0,--,--,--,--,--,--,--,--,--
180,TYC 4188-523-1,K,15 56 13.7770,+65 45 14.510,--,11.24,10.58,--,--,10.409785,9.332,9.016,8.976
181,HD 276564,K,04 32 40.6074,+39 33 16.557,--,11.05,10.1,--,--,9.534228,7.507,6.986,6.785
182,HD 356383,M,19 58 58.9254,+12 02 24.777,--,11.89,10.28,--,--,9.773368,7.643,6.966,6.764
183,BD+64   681A,G,08 24 49.0879,+64 09 12.865,--,9.96,9.54,--,--,9.456197,8.719,8.561,8.532
184,Cl Trumpler   37   697,G,21 34 16.8047,+57 59 11.315,--,13.1,--,--,--,12.0604,10.939,10.621,10.537
185,HD 200040,K,20 57 20.1491,+66 45 07.232,--,9.23,8.36,--,--,8.151668,6.86,6.412,6.329
186,WEL M23,M,02 39 46.4314,-34 10 16.714,--,--,18.89,--,--,17.830881,15.234,14.607,14.315
187,HS 1353+4706,M,13 55 25.6,+46 51 51,--,--,--,--,--,--,--,--,--
188,LS III +58   47,B,22 39 20.7462,+59 08 04.748,--,12.47,11.85,--,--,11.159716,9.385,9.087,8.95
189,IRAS 17144-3915,O,17 17 52.1059,-39 18 57.222,--,--,--,--,--,--,10.335,7.865,6.443
190,BD+61  2244,K,22 04 30.6330,+62 06 00.304,--,10.97,10.1,--,--,9.882442,8.345,7.911,7.773
191,HD  74809,K,08 52 26.5989,+74 43 05.035,--,10.49,9.42,--,--,9.155137,7.635,7.17,7.006
192,BD+50  1769,K,10 47 59.2911,+49 55 52.054,--,11.7,11.34,--,--,10.907226,9.895,9.578,9.496
193,SBSS 0949+554,F,09 53 04.6466,+55 11 44.056,--,16.0,--,--,--,15.971012,14.997,14.675,14.408
194,G 242-59,K,00 30 55.5802,+73 22 14.892,--,--,--,10.093,--,10.024741,8.048,7.394,7.223
195,Cl* NGC  752    REB     248,F,01 59 13.4697,+36 59 29.425,--,12.32,12.15,--,--,11.632566,10.648,10.423,10.329
196,HD 175901,G,18 55 30.8701,+44 10 35.286,--,9.11,8.62,--,--,8.51003,7.636,7.453,7.404
197,HD   2619,B,00 30 28.3298,+65 16 19.764,8.44,8.78,8.33,--,--,8.136676,7.193,7.12,7.106
198,IRAS 17262-3801,O,17 29 41.4598,-38 03 37.652,--,--,--,--,--,16.088926,7.806,5.736,4.571
199,BD+67   448,G,06 47 31.5171,+66 54 04.666,--,10.62,10.09,--,--,9.980779,9.105,8.9,8.794
200,HD 276426,A,04 29 58.7182,+41 13 53.141,--,11.47,11.3,--,--,11.193303,10.489,10.355,10.27
201,SBSS 0937+583,G,09 40 41.8599,+58 09 49.207,--,17.3,--,16.42,--,16.699701,15.75,15.49,15.49
202,HS 1527+4513,G,15 28 41.9,+45 02 59,--,--,--,--,--,--,--,--,--
