,ID,Spectral Class,Ra,Dec,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(H),flux(K)
1208,IRAS 17169-4132,O,17 20 27.8749,-41 35 45.894,--,--,--,--,--,12.838599,6.218,4.99,4.275
1209,HD 282058,F,04 25 08.3057,+33 58 14.984,--,12.1,11.44,--,--,11.291253,10.167,9.925,9.839
1210,LS   I +60   97,B,00 17 13.6706,+60 52 27.051,12.26,12.59,12.08,12.05,--,11.979246,10.978,10.839,10.761
1211,SBSS 0948+550,F,09 51 42.2661,+54 50 20.960,--,17.0,--,--,--,16.927332,16.257,15.868,--
1212,IRAS 17141-3804,O,17 17 35.7888,-38 07 45.787,--,--,--,--,--,14.51895,6.934,5.088,4.098
1213,HD  85927,G,10 00 29.8130,+77 49 51.416,--,9.83,9.3,--,--,9.228582,8.381,8.148,8.115
1214,BD+64   290,B,02 07 01.3938,+65 18 24.130,--,11.6,11.22,--,--,10.916574,9.827,9.711,9.64
1215,HD 152950,G,16 54 13.7264,+47 28 11.513,--,9.88,9.46,--,--,9.432241,8.732,8.573,8.51
1216,TYC 4195-128-1,K,16 04 55.3684,+67 24 36.532,--,12.17,10.72,--,--,10.619021,9.065,8.563,8.406
1217,HD 353430,M,19 42 37.4481,+17 07 17.162,--,11.59,9.76,--,--,8.656967,5.742,4.899,4.61
1218,TYC 3883-1084-1,K,16 00 15.0390,+58 55 22.699,--,10.75,9.62,--,--,9.23481,7.146,6.525,6.257
1219,HD 149043,G,16 30 07.8430,+44 52 15.694,--,9.8,9.23,--,--,9.070407,8.038,7.764,7.69
1220,G 111-52,M,08 05 03.5616,+41 21 24.754,--,16.2,--,14.3,--,13.942378,11.034,10.545,10.265
1221,BD+58   643,G,03 44 00.2773,+59 21 35.903,--,11.45,10.44,--,--,10.077539,8.184,7.641,7.513
1222,LS   I +63  178,B,02 01 00.5012,+63 30 10.251,11.71,11.8,11.3,--,--,10.952293,9.341,9.052,8.925
1223,BD+52   669,B,03 13 47.7288,+53 23 05.527,13.289,10.79,10.02,--,--,9.556446,7.716,7.46,7.274
1224,CHSS  563,F,09 01 18.4092,+28 00 45.414,--,--,--,--,--,15.821286,14.688,14.625,14.495
1225,HD 280313,A,04 58 46.9552,+36 01 10.406,--,11.69,11.43,--,--,11.417976,10.543,10.451,10.364
1226,CHSS  646,F,09 29 51.8051,+29 07 42.101,--,--,12.46,--,--,12.37831,11.487,11.249,11.199
1227,Cl Trumpler   37  1404,K,21 08 17.6184,+59 18 15.297,--,12.31,10.74,--,--,10.134326,7.789,7.013,6.818
1228,HD 282644,A,04 56 46.6357,+29 33 47.937,--,10.0,--,--,--,11.932486,10.957,10.807,10.729
1229,IRAS 17350-3800,O,17 38 29.0946,-38 02 07.663,--,--,--,--,--,13.31253,6.89,5.58,4.8
1230,HD 217508,A,23 00 20.0131,+56 03 01.340,--,9.11,8.97,--,--,8.889555,8.396,8.321,8.333
1231,Cl Trumpler   37  1831,F,21 05 25.3517,+60 20 53.339,--,12.88,11.84,--,--,12.021318,10.907,10.585,10.562
1232,HD 278947,A,03 43 47.2297,+36 38 48.163,--,12.16,11.72,--,--,11.542182,10.532,10.406,10.297
1233,IRAS 17244-3707,O,17 27 53.2108,-37 09 39.927,--,--,--,--,--,--,13.92,10.184,--
1234,HD 192908,G,20 09 31.0337,+76 51 24.951,--,10.41,10.04,--,--,9.925306,9.286,9.127,9.075
1235,BD+45  3648,K,21 44 36.9042,+46 20 29.141,--,11.65,11.34,--,--,11.545804,10.88,10.774,10.701
1236,IRAS 17306-3611,O,17 34 02.6782,-36 13 13.755,--,--,--,--,--,17.484768,9.787,8.062,6.99
1237,CLS  62B,M,12 54 01.7800,+32 42 46.279,--,--,--,--,--,16.639286,14.546,13.877,13.71
1238,BD-21  3580,M,12 39 16.9496,-22 39 39.175,--,10.81,9.74,--,--,9.453544,7.871,7.333,7.228
1239,IRAS 17226-3813,O,17 26 07.2904,-38 16 30.252,--,--,--,--,--,--,12.124,9.361,7.434
1240,LP  995-86,F,03 48 22.6125,-39 08 37.013,--,13.61,13.15,--,--,13.000236,12.089,11.792,11.745
1241,BPS CS 22186-0034,A,04 23 50.0470,-33 27 27.854,14.26,14.3,13.93,--,--,14.095829,13.414,13.292,13.314
1242,IRAS 17290-3835,O,17 32 28.4437,-38 37 58.259,--,--,--,--,--,14.81084,6.915,5.433,4.503
1243,HD 276745,A,04 46 24.6684,+43 19 37.296,--,11.41,10.93,--,--,10.847212,9.848,9.654,9.576
1244,BD+44  2491,K,15 38 05.1205,+44 21 20.743,--,11.96,10.96,--,--,10.589419,8.831,8.175,8.012
1245,BD+69   839,K,16 13 14.0833,+69 14 29.931,--,--,--,10.4,--,10.714757,9.585,9.235,9.168
1246,HD  11826,A,01 57 20.9979,+48 11 56.303,--,9.31,9.06,--,--,9.024424,8.407,8.35,8.317
1247,Cl Trumpler   37   374,G,21 26 55.9558,+57 23 32.532,--,12.7,--,--,--,11.627959,10.55,10.258,10.182
1248,V* V1548 Sgr,M,18 04 47.9571,-30 14 10.649,--,17.4,--,--,--,13.66549,10.135,9.058,8.722
1249,IRAS 17423-3516,O,17 45 38.5820,-35 17 43.743,--,--,--,--,--,13.441195,7.616,6.357,5.609
1250,BD+48   713,K,02 38 33.2617,+48 44 48.295,--,11.13,9.64,--,--,9.08773,6.951,6.242,6.081
1251,IRAS 17420-3717,O,17 45 24.7201,-37 18 59.106,--,--,--,--,--,14.881393,9.393,8.087,7.049
1252,EM* GGA  280,B,04 06.3,+47 46,--,--,--,--,--,--,--,--,--
1253,HD  15396,A,02 30 35.2089,+54 41 20.279,--,10.03,9.93,--,--,9.899386,9.641,9.65,9.619
1254,HD 284088,A,05 02 56.0883,+25 33 38.987,--,11.81,11.19,--,--,10.80652,9.262,8.938,8.816
1255,KHA 129,M,06 41 44.2257,+09 25 02.435,19.03,18.35,16.81,15.74,14.5,15.722228,13.329,12.614,12.331
1256,IRAS 21197+5415,M,21 21 20.8067,+54 28 02.966,--,15.19,12.88,12.07,--,10.374945,6.353,5.319,4.879
1257,NSV  4204,F,08 42 13.6006,+18 29 12.746,--,12.0,11.79,--,--,11.563946,10.738,10.515,10.487
1258,BD+44  1952B,F,10 06 29.5585,+43 33 11.483,--,11.07,10.5,--,--,10.493195,9.778,9.6,9.554
1259,LS III +46   51,B,21 12 02.1995,+46 59 06.751,--,12.7,12.2,12.05,--,11.979514,10.905,10.797,10.741
1260,IRAS 17068-3719,O,17 10 14.6849,-37 23 16.946,--,--,--,--,--,15.035344,7.265,5.57,4.669
1261,HD 102730,G,11 49 50.6558,+54 46 31.977,--,9.63,9.26,8.8,--,9.158481,8.426,8.265,8.256
1262,BD+44  3448,A,20 23 41.6691,+44 35 53.903,--,10.73,10.32,--,--,10.282894,9.448,9.324,9.289
1263,IRAS 16526-3915,O,16 56 05.1469,-39 20 24.712,--,--,--,--,--,13.202636,6.98,5.465,4.68
1264,BD+47    40B,G,00 15 58.7266,+48 35 23.456,--,10.55,10.17,--,--,10.107202,9.382,9.256,9.159
1265,HD 233463,G,07 53 01.8758,+53 36 35.821,--,10.91,10.29,--,--,10.129761,9.181,8.899,8.833
1266,HD  85197,K,09 51 23.0022,+41 30 54.820,--,8.96,8.73,--,--,8.743876,8.388,8.364,8.383
1267,IRAS 21074+1812,O,21 09 46.6403,+18 24 49.391,--,--,--,--,--,11.14221,5.18,4.128,3.578
1268,HD  70822,F,08 27 37.6644,+62 35 13.646,--,9.6,9.15,--,--,9.055636,8.23,7.996,7.948
1269,IRAS 17151-3845,O,17 18 34.7920,-38 48 57.153,--,--,--,--,--,--,--,--,--
1270,OH 349.18+00.20,O,17 16 16.1222,-37 52 07.386,--,--,--,--,14.48,15.908485,11.668,10.429,8.787
1271,IRAS 17394-3739,O,17 42 51.9531,-37 40 23.496,--,--,--,--,--,11.28094,6.675,5.436,4.806
1272,LS   V +57   56,B,02 46 36.1052,+58 04 12.427,--,11.44,10.97,--,--,10.70078,9.547,9.424,9.295
1273,IRAS 16584-4255,O,17 02 06.0604,-42 59 26.628,--,--,--,--,--,--,--,--,14.14
1274,BPS CS 30494-0010,A,03 57 00.2112,-17 28 41.986,--,13.22,12.95,13.04,--,12.893857,12.44,12.367,12.303
1275,LS   I +63   89,B,00 39 31.8448,+63 41 01.312,--,11.24,10.61,--,--,10.582208,9.361,9.197,9.056
1276,HD 182936,K,19 25 10.5780,+43 39 33.811,--,9.78,8.44,--,--,8.014274,6.091,5.448,5.302
1277,V* RT Mic,O,20 37 22.9200,-30 10 26.175,--,--,--,--,--,12.197907,5.13,4.046,3.444
1278,HD  78414,A,09 10 24.1182,+54 41 12.804,--,9.63,9.48,--,--,9.5115,9.274,9.252,9.208
1279,IRAS 17255-2928,O,17 28 43.9082,-29 31 18.861,--,--,--,--,16.803,--,9.353,7.324,6.138
1280,HD  26681,G,04 11 50.9485,-35 54 03.660,--,10.97,10.36,--,--,10.091419,--,--,--
1281,LBQS 0010+0012,F,00 13 31.6246,+00 29 38.034,--,--,--,--,--,17.795732,16.778,16.195,--
1282,CHSS  727,F,10 06 32.9026,+29 20 52.746,--,--,14.29,--,--,14.188529,13.41,13.216,13.131
1283,IRAS 17175-4109,O,17 21 03.8819,-41 12 24.659,--,--,--,--,--,13.293839,6.736,5.339,4.617
1284,TYC 4525-466-1,G,06 34 51.9762,+76 14 07.586,--,11.96,10.45,--,--,9.797855,7.534,6.743,6.537
1285,BD+04   616,K,04 00 26.1392,+05 16 26.600,--,10.68,9.74,--,--,9.467071,7.925,7.454,7.333
1286,Cl Trumpler   37   578,F,21 10 10.0948,+57 54 46.345,--,13.1,--,--,--,12.148935,10.78,10.47,10.394
1287,IRAS 20549+5407,M,20 56 22.6479,+54 19 01.639,--,--,--,13.05,--,11.277539,7.13,5.913,5.518
1288,IRAS 04181+7244,M,04 23 57.4,+72 51 26,--,--,--,--,--,--,--,--,--
1289,LS III +64   14,B,23 11 59.8607,+64 59 42.349,--,11.13,10.82,--,--,10.588837,9.669,9.582,9.497
1290,BD+57   895,G,05 36 50.5920,+57 41 15.418,--,11.83,11.18,--,--,11.072874,9.883,9.596,9.522
1291,LS   V +47   20,B,04 52 31.8693,+48 02 31.927,--,11.0,10.49,--,--,10.268528,--,--,--
1292,HD 145402,G,15 55 28.8108,+82 42 16.164,--,9.41,8.84,--,--,8.686998,7.567,7.278,7.195
1293,BD+50   912,B,04 09 28.8402,+50 27 35.501,--,10.72,10.43,--,--,10.250479,9.59,9.474,9.404
1294,CSI+47-11450,G,11 47.5,+47 32,--,--,11.9,--,--,--,--,--,--
1295,Cl* NGC 6910    SIC     124,A,20 24 35.9467,+42 15 26.736,--,12.67,11.3,--,--,11.562391,10.255,9.851,9.765
1296,HD 203095,A,21 18 40.9100,+44 14 20.268,--,9.19,9.19,--,--,9.159623,9.14,9.114,9.16
1297,IRAS 17068-3837,O,17 10 18.5569,-38 40 45.744,--,--,--,--,--,16.259472,7.913,5.956,4.805
1298,HD 281574,G,04 07 46.9153,+31 58 13.677,--,10.0,--,--,--,12.232361,11.12,10.924,10.867
1299,BD+63   226,B,01 43 07.1117,+64 04 09.939,--,10.32,10.07,--,--,9.897759,9.225,9.147,9.153
1300,TYC 4074-945-1,G,03 37 40.5177,+67 19 02.576,--,11.69,11.05,--,--,10.81724,9.667,9.272,9.191
1301,OH 357.71-00.27,O,17 41 07.7256,-31 01 34.730,--,--,--,--,--,--,11.595,8.049,5.698
1302,HD  43606,F,06 18 23.4525,+30 15 11.070,--,9.27,8.91,--,--,8.801038,8.108,7.969,7.935
1303,LS III +46   47,B,21 10 14.0326,+46 45 07.316,--,12.4,--,--,--,11.688315,10.302,10.121,10.037
1304,HD 180755,M,19 12 41.2236,+67 35 13.771,--,10.69,9.06,--,--,8.03316,5.225,4.409,4.166
1305,LS   V +45    4,B,03 47 25.2371,+46 03 46.211,--,11.99,11.57,--,--,11.953527,11.304,11.228,11.185
1306,HD 278744,A,03 30 34.6481,+34 37 28.744,--,12.33,11.79,--,--,11.872725,11.116,10.989,10.964
1307,HD 184216,F,19 31 14.6300,+47 03 38.958,9.23,9.15,8.86,--,--,8.784936,8.182,8.001,7.989
1308,BD+51  1746,F,12 21 17.9677,+50 58 35.863,--,11.01,10.54,--,--,10.440621,9.653,9.453,9.404
1309,FBS 0933+614,B,09 37 38.6122,+61 11 48.230,--,--,15.9,--,--,16.536938,15.519,15.227,15.261
1310,LBQS 2250+0148,F,22 52 39.2814,+02 04 36.238,--,18.4,--,18.1,--,18.02558,--,--,--
1311,IRAS 17437-3409,O,17 47 02.7953,-34 10 07.262,--,--,--,--,--,17.049004,13.432,11.19,9.26
1312,IRAS 17508-3500,O,17 54 13.0234,-35 00 34.425,--,--,--,--,--,11.897358,6.387,5.198,4.528
1313,CHSS  573,F,09 04 57.4,+29 20 22,--,--,15.13,--,--,--,--,--,--
1314,IRAS 16558-3606,O,16 59 11.7548,-36 11 00.402,--,--,--,--,--,15.4744,8.07,6.319,5.235
1315,HD 275320,K,03 23 59.9929,+38 20 45.923,--,11.85,11.09,--,--,10.913269,9.611,9.248,9.136
1316,LS   I +58  122,B,03 22 38.0015,+59 00 03.307,12.25,12.33,11.51,--,--,11.264864,9.725,9.517,9.386
1317,BD+07   527,G,03 39 15.3538,+08 04 51.146,--,12.12,11.28,--,--,10.813363,9.266,8.779,8.669
1318,IRAS 04370+2559,M,04 40 08.0045,+26 05 25.434,--,--,--,--,--,18.710108,12.406,10.248,8.869
1319,HD  46634,A,06 38 46.3365,+62 38 17.304,--,9.69,9.39,--,--,9.384022,8.841,8.734,8.709
1320,HD 283842,A,04 50 11.6659,+27 40 38.162,--,11.71,11.2,--,--,11.055948,9.832,9.703,9.576
1321,CHSS  536,F,08 51 00.4985,+29 44 48.832,--,--,14.97,--,--,14.849809,13.987,13.698,13.704
1322,HD 193288,K,20 17 42.3771,+44 13 32.528,--,9.66,8.57,--,--,8.225622,6.562,6.047,5.882
1323,[MK97] 18,M,20 56 34.2936,+52 18 52.403,--,17.05,14.15,13.62,--,11.691057,7.408,6.184,5.666
1324,HD  26378,A,04 13 44.9608,+59 41 17.139,--,10.53,10.22,--,--,10.083114,9.374,9.205,9.154
1325,2MASSs J0256129+202915,M,02 56 12.94,+20 29 15.7,--,--,--,--,--,--,--,--,--
1326,HD 275662,G,03 37 55.5540,+38 25 22.054,--,11.71,11.42,--,--,11.343348,10.405,10.192,10.144
1327,EM* GGR   84,B,22 35 29.4645,+56 47 59.745,--,12.22,12.02,--,--,11.511673,10.216,9.985,9.703
1328,ATO J141.3154+29.0780,F,09 25 15.7058,+29 04 41.108,--,--,12.87,--,--,12.784842,12.039,11.89,11.85
1329,2MASS J07084504+6135180,M,07 08 45.05,+61 35 18.0,--,16.54,15.31,--,--,--,10.774,10.11,9.845
1330,2MASSs J0257597+200343,M,02 57 59.72,+20 03 43.5,--,--,--,--,--,--,--,--,--
1331,IRAS 16590-3608,O,17 02 21.9302,-36 13 08.906,--,--,--,--,--,18.833162,11.051,8.84,7.181
1332,CD-34   241,F,00 41 46.9202,-33 39 08.430,--,11.696,11.208,--,--,11.099415,10.253,9.996,9.961
1333,V* V1031 Cen,M,13 42 04.9619,-30 34 56.080,--,15.0,--,11.75,--,11.028414,7.464,6.619,6.186
1334,TYC 4604-326-1,K,22 39 17.1513,+77 44 16.856,--,11.64,10.02,--,--,9.290843,6.862,6.016,5.82
1335,IRAS 16388-3952,O,16 42 18.8794,-39 58 35.204,--,--,--,--,--,8.936931,3.867,2.64,2.13
1336,IRAS 17137-3713,O,17 17 07.9044,-37 16 38.863,--,--,--,--,--,--,11.842,9.047,7.289
1337,HD 145179,G,16 05 41.2880,+63 27 40.747,--,10.02,9.23,--,--,9.014277,7.635,7.149,7.092
1338,Cl Trumpler   37  1443,F,21 17 03.6122,+59 36 10.519,--,12.71,12.01,--,--,12.049386,10.831,10.64,10.532
1339,BD+49  3509,K,21 22 35.6570,+49 58 29.124,--,11.6,9.86,--,--,9.03507,6.452,5.637,5.398
1340,HD 284293,G,04 20 53.9163,+23 40 07.527,--,12.21,11.39,--,--,11.309776,10.166,9.911,9.844
1341,HD 279214,A,03 59 27.0101,+37 27 47.630,--,11.66,11.12,--,--,11.209756,10.193,10.03,9.959
1342,HD  28352,A,04 30 59.2646,+52 46 38.229,--,9.61,9.38,--,--,9.337108,8.747,8.706,8.65
1343,[RVT99] 9,A,09 58 53.9394,+65 35 18.430,--,17.01,16.17,--,--,15.888873,14.49,14.08,13.94
1344,HD 355824,M,19 48 18.2345,+12 50 12.206,--,12.27,10.43,--,--,9.48457,6.788,5.902,5.669
1345,LS   I +61  314,B,02 52 42.8250,+61 37 28.256,11.34,11.6,11.3,--,--,11.303278,10.577,10.554,10.487
1346,TYC 4578-456-1,G,18 09 09.3696,+79 41 29.766,--,11.41,10.94,--,--,10.753086,9.775,9.509,9.452
1347,TYC 4091-476-1,G,04 55 24.8681,+66 41 29.284,--,11.0,10.39,--,--,10.364984,9.499,9.237,9.169
1348,BD+62    66,B,00 23 20.3145,+62 52 51.469,--,10.6,10.5,--,--,10.470861,9.909,9.834,9.796
1349,BD-22  2726,M,09 48 38.1974,-23 02 40.502,--,11.3,10.17,--,--,9.666105,7.721,7.062,6.871
1350,HD 131426,G,14 52 10.4497,+43 40 33.716,--,11.21,10.4,--,--,10.2851,9.187,8.848,8.789
1351,HD  66799,G,08 08 25.6911,+59 52 11.905,--,9.74,9.29,--,--,9.228209,8.401,8.216,8.175
1352,[AUO2003] J232638.39+220555.3,M,23 26 38.39,+22 05 55.3,--,--,--,--,--,--,--,--,--
1353,SBSS 0957+553,F,10 00 43.4483,+55 06 56.502,--,17.0,--,--,--,16.549952,15.489,15.263,15.03
1354,HD 223970,A,23 54 01.4350,+55 26 25.247,--,9.01,8.91,--,--,8.858548,8.533,8.512,8.502
1355,LS III +45   12,B,20 37 19.8867,+46 00 42.662,--,11.07,10.48,--,--,10.282105,8.998,8.86,8.758
1356,HD 192319,F,20 12 23.8211,+45 12 53.686,--,10.06,9.78,--,--,9.781568,--,9.215,9.148
1357,TYC 3808-1573-1,G,09 05 33.9350,+56 47 20.034,--,12.27,11.41,--,--,11.356005,10.245,9.907,9.876
1358,BD-21  1784,M,07 10 23.1290,-22 04 27.738,--,11.13,9.32,--,--,8.597817,6.171,5.282,5.018
1359,HD  55846,G,07 18 28.7064,+61 01 33.432,--,9.88,9.38,--,--,9.262269,8.369,8.137,8.064
1360,BD+66  1506,G,22 23 58.7599,+67 26 29.009,--,9.74,9.43,--,--,9.397471,8.8,8.737,8.698
1361,HD 209179,A,21 59 55.6259,+54 04 26.365,--,9.0,8.97,--,--,8.972199,8.826,8.901,8.843
1362,HD 204088,A,21 23 01.7041,+67 04 50.499,--,9.1,8.85,--,--,8.832172,8.422,8.323,8.336
1363,1RXS J051451.8-372639,M,05 14 51.4754,-37 26 36.857,--,14.875,13.657,13.484,12.181,13.211836,11.115,10.482,10.337
1364,BD+70  1050,K,19 12 43.5971,+71 06 32.359,--,11.77,9.95,--,--,9.270062,6.897,6.058,5.864
1365,BD+58  1311,K,11 17 56.8216,+57 29 50.478,--,11.88,10.51,--,--,9.923492,7.712,6.883,6.693
1366,OH 359.986-00.061,O,17 45 49.4054,-28 58 49.440,--,--,--,--,--,--,--,12.19,10.635
1367,HD 196971,A,20 37 16.7788,+63 31 13.512,--,9.49,9.36,--,--,9.322486,8.976,8.93,8.924
1368,HD 296351,M,07 04 02.9461,-04 59 57.475,--,11.13,9.91,--,--,9.574994,7.837,7.201,7.044
1369,Cl Trumpler   37  1186,F,21 16 30.0580,+58 56 01.572,--,13.0,--,--,--,12.247034,11.06,10.831,10.743
1370,[MK97] 35,M,21 05 21.2943,+55 08 37.572,--,15.47,13.03,12.41,--,11.176305,7.552,6.421,6.057
1371,BD+52   822,B,04 26 31.9691,+52 48 23.206,--,10.59,10.18,--,--,9.967979,8.874,8.741,8.65
1372,SBSS 0756+508,G,08 00 03.8414,+50 42 27.052,--,17.0,--,--,--,16.655874,15.435,14.886,15.039
1373,IRAS 17294-3525,O,17 32 46.3613,-35 27 33.859,--,--,--,--,--,19.1531,10.655,8.106,6.509
1374,HD  82250,F,09 31 12.9880,+12 39 02.012,--,10.1,9.7,--,--,9.678734,9.042,8.904,8.856
1375,HD   7506,A,01 16 06.3612,+50 03 49.845,--,--,--,--,--,--,--,--,--
1376,LS III +49    3,B,20 39 37.3990,+49 43 21.952,--,12.28,12.32,--,--,11.926291,10.839,10.65,10.597
1377,HD  73314,F,08 38 11.3265,+11 57 58.256,--,9.96,9.45,9.4,--,9.6353,8.618,8.411,8.399
1378,V* LS Sct,M,18 52 42.6191,-09 51 44.427,--,--,--,--,--,12.205989,6.852,5.667,4.914
1379,SBSS 1006+599A,G,10 10 18.3830,+59 39 53.586,--,17.0,--,--,--,15.889386,14.901,14.532,14.401
1380,HD 277418,K,05 02 33.4421,+39 38 50.051,--,11.94,10.45,--,--,9.94305,7.842,7.253,7.096
1381,HD 148084,K,16 22 09.5430,+60 13 58.141,--,10.15,9.0,--,--,8.720412,7.175,6.649,6.526
1382,LS   I +57  103,B,02 54 24.9565,+58 01 59.717,11.92,12.0,11.8,--,--,11.158346,9.842,9.668,9.585
1383,BD+65  1600,G,21 32 44.9384,+65 47 09.161,--,10.24,9.65,--,--,9.472075,8.447,8.197,8.173
1384,HD 201345,O,21 07 55.4150,+33 23 49.228,--,7.611,7.764,--,--,7.729749,8.026,8.171,8.217
1385,TYC 1957-713-1,F,09 15 32.2462,+28 19 12.636,--,11.83,11.55,--,--,11.485809,10.806,10.647,10.587
1386,IRAS 17083-2949,O,17 11 32.4439,-29 53 25.688,--,--,--,--,--,--,12.403,10.071,8.191
1387,HD 273153,K,05 09 41.2149,-41 45 07.020,--,10.0,--,--,--,12.18844,11.406,11.203,11.198
1388,PN K  4-15,M,19 04 54.2636,+00 20 23.784,--,--,--,14.6,11.14,12.744073,8.645,7.51,7.032
1389,HD 279160,A,03 54 47.5226,+35 43 47.413,--,12.27,11.56,--,--,11.806299,10.902,10.749,10.647
1390,HD  24103,K,03 57 57.5173,+76 06 32.195,--,11.18,9.63,--,--,9.075003,6.833,6.109,5.895
1391,BD+66   893,F,15 11 15.4206,+65 29 31.695,--,10.65,10.35,--,--,10.358737,9.793,9.623,9.6
1392,EM* GGR  183,A,00 24 59.2701,+59 19 31.417,--,12.76,12.36,--,--,12.332024,11.371,11.157,10.955
1393,HD  24721,A,03 56 39.7598,+22 02 35.885,--,10.21,9.92,--,--,9.876413,9.168,9.01,8.952
1394,IRAS 17136-3505,O,17 16 58.7438,-35 08 54.711,--,--,--,--,--,18.547615,10.017,7.726,6.166
1395,HD  14054,A,02 18 13.7353,+53 26 42.842,--,8.91,8.8,--,--,8.782595,8.402,8.381,8.371
1396,BD+03   455,G,03 18 44.6274,+03 38 45.359,--,11.48,10.7,--,--,10.677641,--,--,--
1397,SBSS 1615+597,G,16 16 42.3787,+59 38 53.641,--,16.06,15.29,15.46,--,15.283785,14.292,13.95,13.88
1398,TYC 3543-2763-1,G,19 20 42.1971,+45 48 14.147,--,11.49,10.93,--,--,10.990208,10.238,10.054,10.027
1399,Cl* Melotte   25     LH     110,M,04 27 33.6659,+16 52 21.827,--,16.88,15.32,14.96,12.93,--,10.959,10.32,10.095
1400,HD 210730,A,22 11 03.3162,+52 10 53.268,--,9.21,9.13,--,--,9.10357,8.858,8.883,8.881
1401,HD 216862,A,22 55 53.8118,+45 04 58.603,--,10.33,10.3,--,--,10.197166,9.917,9.925,9.908
1402,HD  21548,A,03 37 45.3195,+79 18 13.093,--,9.15,8.91,--,--,8.893638,8.434,8.341,8.345
1403,BD+56  2902,B,22 55 44.1670,+57 43 10.499,--,10.74,9.9,--,--,9.556492,7.665,7.343,7.165
1404,IRAS 17232-3828,O,17 26 46.0468,-38 31 16.417,--,--,--,--,--,13.413551,7.393,5.937,5.068
1405,[NSC64] 4-11,M,19 08 11.2395,-11 21 45.585,--,--,--,10.93,9.32,10.399928,7.463,6.51,6.172
1406,HD 282412,A,04 46 19.4741,+32 16 55.401,--,11.24,10.55,--,--,10.174419,8.787,8.589,8.486
1407,BD+59   463,B,02 19 38.8870,+60 38 43.272,--,11.86,11.44,--,--,11.156426,10.093,9.931,9.909
1408,EM* GGR  201,B,00 43 15.4573,+59 52 19.983,--,--,12.3,--,--,12.078991,10.748,10.527,10.289
1409,CHSS  593,F,09 13 56.4392,+29 45 19.695,--,--,14.12,--,--,14.00673,13.221,12.931,12.866
1410,FDF  7253,M,01 06 13.40,-25 43 52.0,--,--,--,--,--,--,--,--,--
1411,HD  41631,K,06 04 36.0926,-36 42 33.866,--,10.18,8.61,--,--,8.026352,5.89,5.201,4.882
1412,HD  70563,F,08 24 52.4662,+49 42 47.417,--,9.68,9.36,--,--,9.370338,8.846,8.737,8.69
1413,TYC 3651-241-1,A,23 50 57.4995,+51 24 28.844,--,10.37,10.32,--,--,10.205393,9.999,9.972,9.931
1414,LS   I +67   19,B,01 27 58.9020,+67 16 49.409,--,11.07,10.4,--,--,10.21028,9.081,8.896,8.836
1415,IRAS 17160-3729,O,17 19 27.8413,-37 33 01.873,--,--,--,--,--,18.192993,9.31,6.75,5.343
1416,HD 317212,M,18 12 17.5872,-27 43 15.514,--,11.45,9.63,--,--,8.655972,--,--,--
1417,LBQS 0003+0229,F,00 05 41.8265,+02 46 05.598,--,--,--,--,--,17.684578,16.7,--,--
1418,HIP 104096,K,21 05 23.2918,+64 11 34.513,--,11.52,10.39,--,--,10.038358,8.024,7.489,7.33
1419,TYC 3308-368-1,A,02 44 52.0729,+51 01 57.613,--,11.94,11.58,--,--,11.400985,10.381,10.188,10.112
1420,FDF  3595,M,01 06 00.61,-25 45 35.5,--,24.37,--,--,--,--,--,--,--
1421,Cl Trumpler   37  1525,F,21 34 54.9147,+59 25 56.989,--,12.29,11.91,--,--,11.898273,10.788,10.544,10.44
1422,HD  29124,K,04 35 19.4613,+06 40 49.441,--,9.73,8.52,--,--,8.159613,6.381,5.824,5.688
1423,HD  85414,G,09 56 29.2342,+76 08 37.960,--,9.96,9.03,--,--,8.833104,7.456,7.009,6.92
1424,IRAS 17264-3543,O,17 29 49.9056,-35 46 02.242,--,--,--,--,--,19.87205,12.654,9.164,7.006
1425,HD 275077,G,03 14 52.9004,+40 30 23.721,--,11.77,11.26,--,--,11.203121,10.294,10.074,10.027
1426,IRAS 17373-3339,O,17 40 39.9486,-33 41 15.624,--,--,--,--,--,14.416887,10.603,9.687,9.356
1427,HD  33702,F,05 13 55.4747,+39 57 32.982,--,9.98,9.62,--,--,9.506956,--,--,--
1428,HD 287590,K,05 12 40.1790,+01 10 06.616,--,11.88,10.69,--,--,10.442129,8.58,7.868,7.718
1429,HD 285107,A,05 02 30.9261,+23 45 54.731,11.126,10.85,10.835,10.634,10.389,10.696403,10.045,9.993,9.942
1430,LS III +63    7,B,22 25 42.8492,+63 27 53.842,--,11.45,10.59,--,--,10.288886,8.513,8.365,8.191
1431,BD+40   490,G,02 21 27.4949,+40 42 48.343,--,11.94,10.91,--,--,10.710928,9.289,8.858,8.716
1432,V* V1058 Cyg,M,21 02 14.5384,+34 46 32.831,--,9.87,8.48,--,--,6.775481,3.537,2.682,2.262
1433,TYC 3700-1032-1,K,02 51 53.8786,+53 01 26.214,--,11.5,10.8,--,--,10.925589,9.651,9.336,9.249
1434,IRAS 17053-3915,O,17 08 48.2977,-39 19 19.544,--,--,--,--,--,16.819056,9.163,7.273,6.084
1435,BD+50   855,B,03 55 52.0252,+50 38 46.160,--,10.2,9.96,--,--,9.965561,9.397,9.363,9.314
1436,BD+51  2945,B,20 45 34.3334,+51 33 00.119,--,10.07,9.81,--,--,9.70841,--,--,--
