C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:14

sptype='B'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
183 |BD+48 3255                         |*  |20 57 56.6483089632 +49 08 59.810400384|     ~   |11.42    |10.25    |     ~   |     ~   |B              |   5|   0
184 |LS III +48 14                      |Em*|20 59 43.9927492680 +48 30 49.159716588|     ~   |12.18    |11.73    |     ~   |     ~   |B              |  10|   0
185 |BD+47 3210                         |*  |20 52 52.0854129312 +48 14 05.681459328|     ~   |10.57    |10.13    |     ~   |     ~   |B              |   3|   0
186 |BD+47 3203                         |*  |20 51 46.8733562784 +48 02 13.655420916|     ~   |10.28    |10.11    |     ~   |     ~   |B              |   2|   0
187 |LS III +46 37                      |Em*|20 59 46.0899950256 +47 03 31.000456152|     ~   |12.39    |11.98    |     ~   |     ~   |B              |   9|   0
188 |LS III +47 25                      |*  |21 03 19.6598840304 +47 28 04.046398536|11.55    |11.83    |11.31    |     ~   |     ~   |B              |   8|   0
189 |LS III +47 26                      |*  |21 04 15.7775118240 +47 51 26.760418992|12.24    |11.99    |10.82    |     ~   |     ~   |B              |   7|   0
190 |LS III +47 31                      |*  |21 10 12.6559436760 +47 52 57.626468292|12.88    |11.96    |11.80    |11.71    |     ~   |B              |   6|   0
191 |EM* AS 461                         |Em*|21 14 35.0403443136 +49 30 16.362787860|     ~   |12.07    |11.53    |     ~   |     ~   |B              |   9|   0
192 |LS III +48 31                      |*  |21 21 42.4535370168 +49 12 38.146012200|13.49    |12.66    |11.13    |     ~   |     ~   |B              |   5|   0
193 |LS III +48 21                      |*  |21 11 21.0317615232 +48 17 54.267014220|     ~   |11.92    |11.71    |     ~   |     ~   |B              |   5|   0
194 |LS III +51 10                      |*  |21 19 10.6962509712 +51 43 01.373944116|11.86    |11.9     |11.3     |     ~   |     ~   |B              |   5|   0
195 |EM* AS 463                         |Em*|21 23 33.4569960720 +50 21 15.828383736|     ~   |11.93    |11.27    |     ~   |     ~   |B              |   9|   0
196 |LS III +51 13                      |*  |21 27 48.9789786336 +51 16 42.426122088|     ~   |12.06    |11.85    |     ~   |     ~   |B              |   5|   0
197 |LS III +51 16                      |*  |21 30 27.3114734256 +51 38 04.794826704|     ~   |13.20    |12.64    |12.48    |     ~   |B              |  11|   0
198 |LS III +51 17                      |*  |21 30 36.4773029784 +51 36 29.315466324|     ~   |12.60    |12.13    |     ~   |     ~   |B              |  10|   0
199 |LS III +51 18                      |*  |21 32 25.9323145152 +51 14 35.157871608|12.04    |12.08    |11.59    |     ~   |     ~   |B              |   5|   0
200 |LS III +51 19                      |*  |21 33 39.5617345992 +51 15 04.489006212|12.73    |12.99    |12.20    |     ~   |     ~   |B              |   6|   0
201 |LS III +50 19                      |*  |21 30 59.5814949456 +51 08 21.353015616|     ~   |12.22    |12.18    |     ~   |     ~   |B              |   5|   0
202 |LS III +50 20                      |Em*|21 31 41.5455346848 +50 23 57.423338592|     ~   |12.06    |11.57    |     ~   |     ~   |B              |   7|   0
203 |LS III +50 21                      |*  |21 32 23.3503554744 +50 19 43.100279076|     ~   |12.80    |12.23    |12.22    |     ~   |B              |   4|   0
204 |LS III +50 23                      |*  |21 32 37.1298458496 +51 05 58.163771256|10.88    |11.03    |10.41    |     ~   |     ~   |B              |   6|   0
205 |LS III +51 9                       |*  |21 13 57.7137391056 +51 17 49.392664656|     ~   |12.00    |11.03    |     ~   |     ~   |B              |   6|   0
206 |LS III +50 14                      |*  |21 19 15.4380879048 +50 34 56.676023112|     ~   |13.13    |12.47    |     ~   |     ~   |B              |   6|   0
207 |LS III +50 15                      |*  |21 21 27.2170316256 +50 15 53.788050072|10.9     |10.56    |9.98     |     ~   |     ~   |B              |   5|   0
208 |LS III +49 20                      |*  |21 21 39.0837925488 +50 02 01.135580820|11.48    |11.70    |11.24    |11.04    |     ~   |B              |   8|   0
209 |LS III +52 4                       |*  |21 30 31.6414370328 +52 53 02.233006692|     ~   |12.20    |11.41    |     ~   |     ~   |B              |   6|   0
210 |LS III +52 8                       |*  |21 43 09.9689897376 +52 48 27.741941784|     ~   |11.70    |10.93    |     ~   |     ~   |B              |   6|   0
211 |LS III +51 23                      |*  |21 38 04.7323265208 +51 32 09.794405328|     ~   |12.4     |     ~   |     ~   |     ~   |B              |   4|   0
212 |LS III +51 26                      |Em*|21 44 43.4535114120 +52 08 21.794013492|     ~   |11.27    |10.74    |     ~   |     ~   |B              |   7|   0
213 |LS III +51 27                      |Em*|21 45 06.3558518088 +51 57 33.222443112|     ~   |12.01    |11.38    |     ~   |     ~   |B              |   8|   0
214 |LS III +51 21                      |*  |21 34 50.1849551088 +51 40 04.972015668|12.11    |12.20    |11.72    |     ~   |     ~   |B              |   4|   0
215 |LS III +54 6                       |Pu*|21 54 55.9762346664 +54 19 11.541764568|     ~   |12.30    |12.27    |     ~   |     ~   |B              |   5|   0
216 |LS III +54 7                       |Pu*|21 57 27.7595943552 +54 52 24.751932024|     ~   |11.99    |11.69    |     ~   |     ~   |B_             |   5|   0
217 |LS III +53 17                      |*  |21 48 09.4306408368 +53 20 37.584499740|     ~   |12.22    |11.57    |     ~   |     ~   |B              |   5|   0
218 |LS III +53 18                      |*  |21 51 20.3574024480 +53 16 23.638910304|     ~   |12.7     |     ~   |     ~   |     ~   |B              |   4|   0
219 |LS III +53 19                      |*  |21 51 26.7809710152 +53 28 49.984719240|     ~   |13.0     |     ~   |     ~   |     ~   |B              |   4|   0
220 |LS III +53 25                      |LP?|21 59 09.2693399352 +54 09 28.341493416|     ~   |12.33    |12.00    |     ~   |     ~   |B              |   7|   0
221 |LS III +53 28                      |*  |22 01 32.5535174928 +53 46 19.613121456|     ~   |11.28    |11.08    |     ~   |     ~   |B              |   5|   0
222 |LS III +53 29                      |*  |22 02 16.1542131576 +53 21 06.283254888|     ~   |11.30    |10.36    |     ~   |     ~   |B              |   5|   0
223 |LS III +52 10                      |*  |21 50 42.8459181336 +53 12 27.910265292|     ~   |11.50    |10.87    |     ~   |     ~   |B              |   5|   0
224 |LS III +52 11                      |*  |21 55 05.7596908824 +52 33 29.919210156|     ~   |12.2     |     ~   |     ~   |     ~   |B              |   5|   0
225 |LS III +52 12                      |*  |21 55 39.6788998800 +52 40 08.819242572|     ~   |12.32    |11.98    |     ~   |     ~   |B              |   5|   0
226 |LS III +52 21                      |*  |22 00 39.3656677032 +53 03 42.150869244|     ~   |12.5     |     ~   |     ~   |     ~   |B              |   4|   0
227 |LS III +55 20                      |*  |22 02 40.8398897400 +55 15 06.303278988|11.59    |11.6     |10.9     |     ~   |     ~   |BN0IV          |  11|   0
228 |EM* GGR 46                         |Em*|22 06 59.6064549624 +55 45 41.906143584|     ~   |12.6     |12.6     |     ~   |     ~   |B              |   8|   0
229 |EM* GGR 45                         |Em*|22 04 38.7782517912 +54 30 02.017546812|     ~   |12.40    |12.06    |     ~   |     ~   |B              |   8|   0
230 |LS III +54 17                      |*  |22 08 01.5054654528 +55 01 56.629281576|     ~   |12.52    |13.00    |     ~   |     ~   |B              |   6|   0
231 |LS III +54 19                      |*  |22 08 57.1727644176 +54 42 20.822084244|     ~   |12.09    |11.69    |     ~   |     ~   |B              |   5|   0
232 |LS III +54 23                      |*  |22 14 27.3304875744 +55 06 56.220296616|11.45    |11.06    |10.16    |     ~   |     ~   |B              |  11|   0
233 |LS III +54 25                      |*  |22 15 30.0619034808 +54 51 30.082878288|12.48    |12.15    |11.87    |     ~   |     ~   |B              |   8|   0
234 |LF 4 +54 429                       |*  |22 19 26.1758403672 +54 27 26.964626976|     ~   |12.6     |     ~   |     ~   |     ~   |B              |   5|   0
235 |EM* MWC 1054                       |Em*|22 07 46.0176108768 +53 37 53.072732568|     ~   |11.40    |11.21    |     ~   |     ~   |B              |   8|   0
236 |LS III +53 44                      |*  |22 11 10.6270357680 +54 13 08.602888620|     ~   |11.31    |11.14    |     ~   |     ~   |B              |   6|   0
237 |LS III +53 52                      |*  |22 13 48.3104843832 +54 00 00.656995392|     ~   |13.0     |     ~   |     ~   |     ~   |B              |   4|   0
238 |ALS 12241                          |*  |22 15 53.3623240193 +53 58 02.458893407|     ~   |12.8     |12.8     |     ~   |     ~   |B              |   8|   0
239 |LS III +53 63                      |*  |22 15 56.6354337840 +53 38 56.375454804|     ~   |11.85    |11.90    |     ~   |     ~   |B              |   7|   0
240 |LS III +53 65                      |*  |22 16 02.97 +54 00 12.2                |     ~   |12.5     |     ~   |     ~   |     ~   |B              |   4|   0
241 |TYC 3982-3793-1                    |*  |22 16 13.2682115352 +53 36 28.749840156|     ~   |11.5     |11.0     |     ~   |     ~   |B              |   1|   0
242 |BD+52 3147                         |SB*|22 13 36.7957376832 +53 37 13.603854468|     ~   |10.42    |10.37    |     ~   |     ~   |B              |  14|   0
243 |BD+52 3151                         |EB*|22 14 06.7398421416 +53 40 51.839231592|9.22     |9.76     |9.62     |     ~   |     ~   |B              |  12|   0
244 |LS III +53 27                      |*  |22 01 31.4542495296 +54 06 20.186414208|12.25    |12.47    |11.84    |     ~   |     ~   |B              |  10|   0
245 |LS III +53 40                      |*  |22 08 13.1548440480 +53 17 34.795360356|11.88    |12.34    |12.16    |     ~   |     ~   |B              |   6|   0
246 |TYC 3990-1425-1                    |Be*|22 25 22.4776972848 +56 42 38.371396212|     ~   |11.35    |10.81    |     ~   |     ~   |B              |  14|   0
247 |LS III +56 54                      |*  |22 26 26.0166633168 +56 25 47.253483804|11.29    |11.6     |11.3     |     ~   |     ~   |B              |  10|   0
248 |LS III +56 57                      |*  |22 27 34.1462327952 +56 44 55.478270652|     ~   |13.5     |     ~   |     ~   |     ~   |B              |   4|   0
249 |LS III +56 64                      |*  |22 30 20.6835057120 +56 30 26.776248264|     ~   |11.09    |10.74    |     ~   |     ~   |B              |   8|   0
250 |LS III +55 39                      |*  |22 19 47.9997444648 +56 13 39.930474972|11.71    |12.19    |11.74    |     ~   |     ~   |B              |  11|   0
251 |LF 4 +55 192                       |*  |22 20 30.4634744232 +55 48 12.261979512|12.56    |12.89    |12.54    |     ~   |     ~   |B              |   5|   0
252 |LF 4 +55 460                       |*  |22 28 10.8607447584 +56 02 45.003399036|     ~   |12.43    |12.37    |     ~   |     ~   |B              |   7|   0
253 |LS III +55 84                      |*  |22 28 52.2848310264 +55 23 02.949751032|     ~   |12.6     |     ~   |     ~   |     ~   |B              |   7|   0
254 |LS III +55 86                      |*  |22 29 51.1736072592 +55 24 21.196982916|12.07    |12.58    |12.23    |     ~   |     ~   |B              |  10|   0
255 |BD+55 2762                         |*  |22 30 59.8897760472 +55 47 35.446163640|     ~   |10.52    |10.15    |     ~   |     ~   |B              |   9|   0
256 |EM* GGR 78                         |Em*|22 30 34.5895967592 +54 59 34.374910776|     ~   |12.00    |12.11    |     ~   |     ~   |B              |  11|   0
257 |LS III +55 29                      |*  |22 15 50.2927170072 +55 34 56.201920644|9.99     |10.59    |10.28    |     ~   |     ~   |B              |  13|   0
258 |BD+55 2736                         |*  |22 22 52.670904 +55 52 12.80028        |9.51     |10.070   |9.641    |9.638    |     ~   |B              |  13|   0
259 |TYC 3990-2187-1                    |*  |22 19 11.4694031304 +56 23 16.751505984|     ~   |12.39    |12.49    |     ~   |     ~   |B              |   3|   0
260 |LS III +57 74                      |*  |22 45 23.7884673792 +57 23 24.694996056|     ~   |11.51    |11.27    |     ~   |     ~   |B              |   6|   0
261 |EM* GGR 84                         |Em*|22 35 29.4645385632 +56 47 59.745002784|     ~   |12.22    |12.02    |     ~   |     ~   |B              |  10|   0
262 |LS III +56 77                      |*  |22 35 47.6492110344 +56 43 54.726301776|     ~   |11.31    |10.92    |     ~   |     ~   |B              |   7|   0
263 |LS III +56 78                      |*  |22 36 31.1995147296 +57 06 04.914828036|     ~   |12.36    |12.02    |     ~   |     ~   |B              |   7|   0
264 |LS III +56 81                      |*  |22 40 21.9149588592 +56 59 22.823926476|     ~   |10.89    |10.53    |     ~   |     ~   |B              |   8|   0
265 |LS III +56 88                      |Pu*|22 45 02.0468917152 +56 33 09.203876640|     ~   |11.27    |11.20    |     ~   |     ~   |B              |   8|   0
266 |EM* MWC 1071                       |Em*|22 45 13.2843418920 +56 48 27.854951004|     ~   |10.72    |10.51    |     ~   |     ~   |B              |  11|   0
267 |LS III +56 92                      |*  |22 46 25.2061924056 +57 06 37.485134928|     ~   |11.77    |11.53    |     ~   |     ~   |B              |   9|   0
268 |LS III +56 95                      |Em*|22 46 49.1937879864 +56 18 56.811977568|     ~   |11.33    |10.94    |     ~   |     ~   |B              |  11|   0
269 |LS III +56 96                      |*  |22 46 57.6025224912 +56 40 23.387131704|     ~   |11.49    |11.20    |     ~   |     ~   |B              |   9|   0
270 |LS III +56 98                      |*  |22 47 23.2055424072 +57 11 45.175056324|     ~   |12.16    |11.63    |     ~   |     ~   |B              |   9|   0
271 |LS III +55 97                      |*  |22 40 43.2755023728 +56 09 55.173248532|     ~   |12.35    |11.87    |     ~   |     ~   |B              |   6|   0
272 |LS III +55 102                     |*  |22 46 07.8779189232 +55 40 52.234837428|     ~   |11.46    |11.13    |     ~   |     ~   |B              |   6|   0
273 |EM* AS 497                         |Em*|22 43 29.2757340912 +55 13 51.979779372|     ~   |10.89    |10.73    |     ~   |     ~   |B              |  10|   0
274 |LS III +56 68                      |Em*|22 31 25.6022580840 +56 54 58.561092972|     ~   |10.99    |10.67    |     ~   |     ~   |B              |   9|   0
275 |LS III +56 69                      |*  |22 32 17.4529806840 +56 44 00.129305328|     ~   |12.25    |12.04    |     ~   |     ~   |B              |   6|   0
276 |LS III +57 106                     |*  |22 57 13.5256334592 +57 59 51.570970476|11.03    |11.4     |10.9     |     ~   |     ~   |B              |   8|   0
277 |LS III +57 107                     |Em*|22 57 14.7747172272 +57 28 45.235043904|     ~   |11.46    |10.96    |     ~   |     ~   |B              |  11|   0
278 |LS III +57 108                     |*  |22 57 52.6884518928 +57 38 50.241872940|     ~   |11.78    |11.36    |     ~   |     ~   |B              |   7|   0
279 |LS III +57 109                     |*  |22 58 09.6951430944 +58 00 17.676657360|12.12    |12.48    |11.91    |     ~   |     ~   |B              |   8|   0
280 |LS III +57 110                     |*  |22 59 03.9027542712 +57 24 25.920680580|     ~   |11.80    |11.26    |     ~   |     ~   |B              |   7|   0
281 |LS III +57 115                     |*  |23 03 03.7299866736 +57 44 41.022473496|     ~   |11.99    |11.60    |     ~   |     ~   |B              |   6|   0
282 |BD+56 2883                         |*  |22 51 18.9808989384 +57 25 21.289276884|     ~   |10.31    |9.94     |     ~   |     ~   |B              |   7|   0
283 |LS III +56 104                     |*  |22 51 43.0970404344 +57 03 24.345198504|     ~   |11.97    |11.62    |     ~   |     ~   |B              |   8|   0
284 |EM* GGR 111                        |Em*|22 53 38.4798613680 +57 09 22.907027160|     ~   |11.51    |11.23    |     ~   |     ~   |B              |  10|   0
285 |BD+56 2902                         |*  |22 55 44.1670558728 +57 43 10.499324664|     ~   |10.74    |9.90     |     ~   |     ~   |B              |   6|   0
286 |LS III +56 112                     |*  |22 59 04.1460473688 +57 13 03.042240744|     ~   |12.07    |11.55    |     ~   |     ~   |B              |   7|   0
287 |LS III +56 113                     |*  |23 00 48.3355038168 +56 59 03.882150276|     ~   |11.66    |11.54    |     ~   |     ~   |B              |   8|   0
288 |LS III +56 120                     |*  |23 05 13.1808469104 +56 30 27.530161128|     ~   |12.25    |11.86    |     ~   |     ~   |B              |   7|   0
289 |LS III +56 121                     |*  |23 06 48.4706320200 +56 25 05.470276188|     ~   |12.80    |12.04    |     ~   |     ~   |B              |   5|   0
290 |LS III +56 123                     |*  |23 07 28.0804443072 +56 49 39.349945416|     ~   |12.13    |12.39    |     ~   |     ~   |B              |   5|   0
291 |EM* GGR 129                        |Em*|23 04 18.1356832656 +55 52 31.227810996|     ~   |11.93    |12.20    |     ~   |     ~   |B              |  11|   0
292 |LS III +54 79                      |*  |22 55 38.7749485536 +55 12 41.601972060|     ~   |11.61    |11.54    |     ~   |     ~   |B              |   6|   0
293 |LS III +57 77                      |*  |22 47 05.3809530024 +57 37 56.446894092|     ~   |10.91    |10.66    |     ~   |     ~   |B              |   5|   0
294 |LS III +56 101                     |*  |22 51 01.1629492896 +56 56 04.289685972|     ~   |11.61    |11.38    |     ~   |     ~   |B              |   6|   0
295 |LS III +56 103                     |*  |22 51 25.7268294288 +56 34 10.216244892|     ~   |11.44    |11.00    |     ~   |     ~   |B              |   7|   0
296 |EM* AS 500                         |** |22 56 50.852832 +57 29 13.52616        |11.26    |11.662   |11.054   |10.945   |     ~   |B              |  11|   0
297 |LS III +57 119                     |*  |23 12 24.0308908704 +57 56 24.761685732|     ~   |11.45    |10.48    |     ~   |     ~   |B              |   5|   0
298 |LS III +56 127                     |*  |23 11 40.0615987536 +57 15 34.365500100|     ~   |11.32    |10.92    |     ~   |     ~   |B              |   7|   0
299 |LS III +56 130                     |*  |23 16 04.8248848056 +57 15 18.084553380|     ~   |11.69    |10.96    |     ~   |     ~   |B              |   7|   0
300 |LS III +56 124                     |*  |23 07 46.6793766432 +56 57 16.066467396|     ~   |12.49    |11.98    |     ~   |     ~   |B              |   6|   0
301 |LS III +57 121                     |*  |23 40 06.5369041320 +58 13 20.411313780|     ~   |11.14    |10.71    |     ~   |     ~   |B              |   5|   0
302 |LS III +57 123                     |*  |23 45 27.2378303784 +58 07 01.705846080|     ~   |11.97    |11.69    |     ~   |     ~   |B              |   5|   0
303 |V* MQ Cas                          |Pu*|00 09 37.5583808088 +58 13 10.780822920|     ~   |     ~   |12.99    |     ~   |     ~   |B              |  16|   0
304 |LS I +56 6                         |*  |00 24 17.2491837168 +56 43 46.495441992|10.58    |11.04    |10.74    |     ~   |     ~   |B              |   5|   0
305 |EM* CDS 105                        |** |00 53 29.115192 +56 38 34.35828        |9.77     |10.62    |10.44    |10.55    |     ~   |B              |  12|   0
306 |LS I +54 4                         |EB*|02 00 40.4471349840 +54 28 45.240724308|     ~   |10.32    |10.38    |     ~   |     ~   |B              |   7|   0
307 |LS V +44 1                         |*  |03 28 20.8146352872 +45 08 01.138822764|     ~   |11.28    |10.10    |     ~   |     ~   |B              |   6|   0
308 |LS V +40 1                         |*  |03 44 26.1130537296 +40 58 08.760016272|     ~   |13.1     |     ~   |     ~   |     ~   |B              |   5|   0
309 |BD+42 3570                         |*  |20 02 56.3026875384 +43 15 33.389521056|     ~   |10.02    |9.99     |     ~   |     ~   |B              |   9|   0
310 |BD+44 3400                         |*  |20 14 43.2953811816 +44 33 07.437797820|     ~   |10.88    |9.77     |     ~   |     ~   |B              |   5|   0
311 |BD+44 3410                         |*  |20 15 51.0010545672 +44 26 39.557297472|     ~   |11.13    |10.34    |     ~   |     ~   |B              |   7|   0
312 |LS III +44 9                       |*  |20 19 18.4483848960 +44 14 24.255510792|     ~   |11.94    |11.37    |     ~   |     ~   |B              |   6|   0
313 |LS III +44 11                      |*  |20 22 01.6413368424 +44 44 34.636628580|     ~   |11.26    |10.09    |     ~   |     ~   |B              |   5|   0
314 |BD+42 3620                         |*  |20 10 28.1208434304 +43 21 12.569749092|     ~   |10.99    |10.60    |     ~   |     ~   |B              |   6|   0
315 |EM* VES 257                        |Em*|20 26 43.4594737992 +46 49 29.604421308|     ~   |13.08    |11.33    |     ~   |     ~   |B              |   7|   0
316 |LS III +44 14                      |*  |20 25 18.9712148784 +45 08 32.287032960|     ~   |11.49    |11.28    |     ~   |     ~   |B              |   5|   0
317 |LS III +48 3                       |*  |20 33 14.0864123784 +48 48 38.044135836|     ~   |10.97    |10.53    |     ~   |     ~   |B              |   6|   0
318 |LS III +47 6                       |*  |20 33 07.4687941512 +47 12 59.590167300|     ~   |10.93    |10.54    |     ~   |     ~   |B              |   7|   0
319 |LS III +47 7                       |*  |20 34 30.2222772480 +47 10 44.831087724|     ~   |12.4     |     ~   |     ~   |     ~   |B              |   4|   0
320 |LS III +47 8                       |*  |20 36 40.3369708728 +47 27 52.725336084|     ~   |11.42    |11.00    |     ~   |     ~   |B              |   6|   0
321 |BD+46 2986                         |*  |20 35 22.3768810080 +47 26 39.911528652|     ~   |10.74    |9.11     |     ~   |     ~   |B              |   1|   0
322 |LS III +47 12                      |*  |20 43 02.6288114880 +47 33 01.913131800|11.6     |11.4     |10.52    |     ~   |     ~   |B              |   9|   0
323 |LS III +50 6                       |** |20 44 53.55 +50 22 56.7                |     ~   |     ~   |     ~   |     ~   |     ~   |B_             |   4|   0
324 |LS III +50 8                       |*  |20 46 42.1953661488 +50 13 05.108587320|     ~   |11.24    |10.79    |     ~   |     ~   |B              |   5|   0
325 |LS III +49 3                       |*  |20 39 37.3990457448 +49 43 21.952986852|     ~   |12.28    |12.32    |     ~   |     ~   |B              |   4|   0
326 |LS III +49 4                       |*  |20 41 02.8185045960 +49 30 25.251157116|     ~   |10.93    |10.62    |     ~   |     ~   |B              |   5|   0
327 |LS III +49 7                       |*  |20 43 20.4737926008 +49 53 02.392983240|     ~   |11.43    |11.08    |     ~   |     ~   |B              |   5|   0
328 |BD+49 3387                         |*  |20 49 52.4162344128 +49 52 58.578720024|     ~   |10.94    |10.69    |     ~   |     ~   |B              |   7|   0
329 |EM* AS 449                         |Em*|20 55 21.0973459560 +49 35 59.298339696|     ~   |12.43    |11.54    |     ~   |     ~   |B              |   9|   0
330 |BD+48 3201                         |*  |20 44 26.1953867664 +49 09 41.389690428|     ~   |10.18    |9.66     |     ~   |     ~   |B              |   6|   0
331 |LS III +48 7                       |*  |20 49 23.8071374784 +48 20 53.208248676|     ~   |11.23    |10.99    |     ~   |     ~   |B              |   6|   0
332 |EM* AS 446                         |Em*|20 50 55.8626784000 +49 00 37.395748368|     ~   |11.38    |10.32    |     ~   |     ~   |B              |   9|   0
333 |BD+48 3227                         |*  |20 51 40.1066176152 +48 54 54.684766080|     ~   |10.43    |10.16    |     ~   |     ~   |B              |   3|   0
334 |BD+48 3229                         |*  |20 52 07.9288490904 +48 49 56.999796960|     ~   |10.53    |9.85     |     ~   |     ~   |B              |   6|   0
335 |LS III +49 2                       |*  |20 38 26.4213162576 +50 00 02.187872280|     ~   |12.70    |12.68    |     ~   |     ~   |B              |   4|   0
336 |BD+48 3258                         |*  |20 58 31.1795631336 +49 31 48.224893836|     ~   |10.76    |9.79     |     ~   |     ~   |B              |   6|   0
337 |LS III +51 8                       |*  |21 02 04.4173456488 +51 23 45.016262556|     ~   |12.18    |11.57    |     ~   |     ~   |B              |   6|   0
338 |EM* VES 364                        |Em*|21 07 34.7187164016 +51 05 26.374360272|     ~   |12.88    |12.00    |     ~   |     ~   |B              |  12|   0
339 |BD+54 2562                         |*  |21 32 05.5695942528 +55 14 46.248551484|     ~   |11.08    |9.90     |     ~   |     ~   |B              |   5|   0
340 |EM* AS 469                         |Em*|21 36 17.3625840528 +55 20 26.384125020|     ~   |12.15    |12.02    |     ~   |     ~   |B              |  11|   0
341 |LS III +54 2                       |*  |21 50 10.0506956568 +54 51 42.452838108|     ~   |12.36    |11.83    |     ~   |     ~   |B              |   5|   0
342 |LS III +55 11                      |*  |21 35 37.4289883896 +55 14 10.230790920|     ~   |11.23    |10.30    |     ~   |     ~   |B              |   5|   0
343 |LS III +57 19                      |Em*|22 00 37.0632517632 +58 08 27.130748064|     ~   |12.59    |11.19    |     ~   |     ~   |B              |   8|   0
344 |LS III +57 21                      |Em*|22 02 32.1110604312 +57 46 37.557689376|     ~   |12.13    |11.27    |     ~   |     ~   |B              |   8|   0
345 |LS III +57 22                      |*  |22 03 12.3513860424 +58 04 20.794692684|     ~   |12.56    |11.46    |     ~   |     ~   |B              |   6|   0
346 |LS III +56 19                      |*  |21 51 43.9147647168 +57 09 23.503238964|     ~   |13.62    |12.30    |     ~   |     ~   |B              |   5|   0
347 |LS III +56 20                      |*  |21 54 35.1859894632 +56 29 56.196686436|     ~   |12.29    |11.63    |     ~   |     ~   |B              |   6|   0
348 |LS III +56 22                      |*  |22 03 13.1017 +56 30 44.163            |     ~   |12.44    |12.35    |     ~   |     ~   |B              |   5|   0
349 |LS III +56 23                      |Em*|22 06 08.7724300488 +57 13 09.712369848|     ~   |12.32    |11.71    |     ~   |     ~   |B              |   8|   0
350 |LS III +56 28                      |*  |22 10 23.1779796648 +56 20 22.323021612|12.33    |12.63    |11.89    |     ~   |     ~   |B              |  10|   0
351 |LS III +56 50                      |*  |22 23 23.0593734360 +56 46 49.852232760|     ~   |13.0     |     ~   |     ~   |     ~   |B              |   4|   0
352 |LS III +58 17                      |*  |22 13 17.2794018120 +58 56 06.298146888|     ~   |11.94    |11.18    |     ~   |     ~   |B              |   6|   0
353 |LS III +58 21                      |*  |22 17 11.2873339176 +58 59 56.245874748|     ~   |12.65    |11.46    |     ~   |     ~   |B              |   5|   0
354 |LS III +58 22                      |*  |22 18 30.5415929496 +59 05 37.830644808|     ~   |12.51    |11.69    |     ~   |     ~   |B              |   6|   0
355 |LS III +58 24                      |*  |22 19 24.4290439104 +58 52 19.959704832|     ~   |12.95    |11.91    |     ~   |     ~   |B              |   6|   0
356 |LS III +58 28                      |*  |22 23 13.9005150312 +58 22 04.528915320|     ~   |12.23    |11.75    |     ~   |     ~   |B              |   6|   0
357 |BD+57 2517                         |*  |22 22 33.5987624016 +58 19 36.323967108|     ~   |11.16    |10.36    |     ~   |     ~   |B              |   6|   0
358 |BD+57 2472                         |*  |22 10 20.1417899136 +58 08 26.343772044|11.17    |10.8     |9.7      |     ~   |     ~   |B              |  11|   0
359 |TYC 3990-601-1                     |Y*?|22 18 06.5085825984 +57 32 36.346339572|     ~   |12.22    |11.42    |     ~   |     ~   |B              |  10|   0
360 |LS III +57 40                      |*  |22 18 57.2892078000 +58 05 07.460017440|     ~   |11.51    |10.84    |     ~   |     ~   |B              |   6|   0
361 |LS III +57 45                      |Pu*|22 23 33.1780554600 +57 44 07.693634904|     ~   |12.9     |     ~   |     ~   |     ~   |B              |   4|   0
362 |LS III +57 46                      |*  |22 23 33.1493721216 +58 14 02.447451636|     ~   |12.9     |     ~   |     ~   |     ~   |B              |   5|   0
363 |LS III +57 52                      |*  |22 24 57.3031235616 +57 17 32.806407300|     ~   |13.2     |     ~   |     ~   |     ~   |B              |   4|   0
364 |LS III +56 31                      |Y*?|22 11 39.5117090520 +56 58 40.821836844|     ~   |11.93    |11.55    |     ~   |     ~   |B              |   8|   0
365 |EM* GGR 54                         |Em*|22 15 02.0595923136 +56 46 15.171614580|     ~   |12.91    |12.11    |     ~   |     ~   |B              |   9|   0
366 |LS III +56 36                      |*  |22 15 14.4849328080 +56 46 14.658291588|12.95    |13.10    |12.44    |12.33    |     ~   |B              |   6|   0
367 |LS III +56 38                      |*  |22 18 39.4939007208 +56 56 31.849390104|     ~   |11.80    |11.03    |     ~   |     ~   |B              |   7|   0
368 |BD+56 2758                         |*  |22 20 40.0113571104 +57 06 43.124285448|     ~   |10.85    |10.22    |     ~   |     ~   |B              |   7|   0
369 |LS III +56 47                      |*  |22 21 38.9160031776 +57 07 26.411819448|     ~   |13.0     |     ~   |     ~   |     ~   |B              |   4|   0
370 |LS III +56 30                      |*  |22 11 30.9017242224 +56 48 52.390281240|     ~   |12.5     |     ~   |     ~   |     ~   |B              |   4|   0
371 |EM* GGR 60                         |Y*?|22 19 50.0805534336 +57 24 28.540934064|     ~   |11.84    |11.37    |     ~   |     ~   |B              |  11|   0
372 |EM* GGR 67                         |Em*|22 23 49.1529521256 +59 10 25.940983728|     ~   |13.27    |11.78    |     ~   |     ~   |B              |   8|   0
