C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:36

sptype='M'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
172 |IRAS 04181+7244                    |FIR|04 23 57.4 +72 51 26                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
173 |LP 1-169                           |PM*|01 10 02.2825028832 +86 56 23.301350520|     ~   |15.24    |13.88    |13.48    |     ~   |M              |   5|   0
174 |BD+83 68                           |*  |03 10 39.0656876712 +83 43 48.558430632|     ~   |11.16    |9.50     |     ~   |     ~   |M              |   2|   0
175 |FBS 0440+789                       |*  |04 48 19.2 +79 00 23                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
176 |WOH S 275                          |LP*|05 25 32.1485491152 -66 39 37.505073348|     ~   |     ~   |13.94    |12.97    |     ~   |M              |   3|   0
177 |AG+63 369                          |LP?|05 30 17.7587647224 +63 03 19.555640748|     ~   |10.93    |9.16     |     ~   |     ~   |M              |   1|   0
178 |G 259-30                           |PM*|18 27 31.1973694920 +78 04 00.879784284|     ~   |     ~   |     ~   |11.191   |     ~   |M              |  14|   0
179 |FBS 0516+748                       |*  |05 23 23.8 +74 55 03                   |     ~   |     ~   |15.1     |     ~   |     ~   |M              |   1|   0
180 |IRAS 05400+7114                    |FIR|05 45 54.5 +71 16 02                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
181 |1RXS J173804.9+650933              |*  |17 38 04.9 +65 09 33                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
182 |BD+86 238                          |** |15 48 10.4597085864 +85 48 50.221613412|     ~   |12.179   |10.505   |10.073   |     ~   |M              |   1|   0
183 |BD+84 373                          |*  |16 45 49.1532688272 +84 28 48.456929064|     ~   |11.63    |10.21    |     ~   |     ~   |M              |   1|   0
184 |TYC 4533-1534-1                    |*  |06 20 56.5140664704 +79 49 55.879086504|     ~   |11.83    |9.95     |     ~   |     ~   |M              |   1|   0
185 |IRAS 06046+7112                    |FIR|06 10 31.3 +71 12 18                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
186 |BD+65 508                          |*  |06 01 45.8429217768 +65 14 41.177666436|     ~   |10.82    |9.83     |     ~   |     ~   |M              |   2|   0
187 |[FS2003] 0916                      |PM*|17 45 31.8444497640 +51 24 15.862070556|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   3|   0
188 |[AUO2003] J171109.04+711229.5      |*  |17 11 09.04 +71 12 29.5                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
189 |BD+83 444                          |*  |15 12 36.7883603712 +82 56 24.797267952|     ~   |12.08    |10.80    |     ~   |     ~   |M              |   1|   0
190 |V* FF Cep                          |Mi*|08 26 50.5105713720 +85 07 02.088209172|     ~   |11.99    |10.56    |     ~   |     ~   |M              |   5|   0
191 |LP 34-134                          |PM*|07 04 17.9510955210 +71 51 46.080447243|     ~   |18.1     |     ~   |16.1     |     ~   |M              |  10|   0
192 |IRAS 06470+7146                    |FIR|06 52 56.4 +71 42 36                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
193 |V* KQ Aur                          |LP*|06 15 17.5698920208 +50 12 02.929984056|     ~   |11.36    |9.59     |     ~   |     ~   |M              |   2|   0
194 |AG+82 409                          |LP?|14 00 46.9247405520 +82 22 05.644585344|     ~   |12.26    |10.73    |     ~   |     ~   |M              |   1|   0
195 |BD+82 369                          |*  |12 34 50.1211446720 +81 29 31.111083096|     ~   |11.36    |9.68     |     ~   |     ~   |M              |   1|   0
196 |BD+83 315                          |*  |11 03 35.4273508944 +82 13 38.078901156|     ~   |11.88    |10.54    |     ~   |     ~   |M              |   1|   0
197 |BD+76 322                          |*  |08 28 56.1136694808 +76 18 28.215744768|     ~   |11.84    |10.61    |     ~   |     ~   |M              |   8|   0
198 |RX J0652.2+6246                    |*  |06 52 16.8 +62 47 10                   |     ~   |15.3     |     ~   |     ~   |     ~   |M              |   1|   0
199 |2MASS J07084504+6135180            |*  |07 08 45.05 +61 35 18.0                |     ~   |16.54    |15.31    |     ~   |     ~   |M              |   4|   0
200 |HD 238502                          |*  |15 44 22.2395380776 +58 47 33.746456436|     ~   |11.48    |9.79     |9.1      |     ~   |M              |  11|   0
201 |FBS 0438+695                       |*  |10 31 58.9 +69 16 19                   |     ~   |     ~   |12.2     |     ~   |     ~   |M              |   1|   0
202 |V* SY Lyn                          |LP*|07 49 29.3745463152 +53 07 52.587370560|     ~   |12.74    |10.77    |10.02    |     ~   |M              |   5|   0
203 |BD+46 2180                         |*  |16 28 51.7303833336 +45 57 23.635154124|     ~   |12.30    |10.75    |     ~   |     ~   |M              |   8|   0
204 |HS 1610+4515                       |*  |16 11 38.2193771760 +45 07 22.549980072|     ~   |18.7     |     ~   |     ~   |     ~   |M              |   1|   0
205 |HS 1540+4829                       |*  |15 41 51.9 +48 19 59                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
206 |BD+42 1793                         |*  |07 59 56.2293208392 +41 53 24.360772020|     ~   |11.25    |9.60     |     ~   |     ~   |M              |   1|   0
207 |G 111-52                           |PM*|08 05 03.5616754286 +41 21 24.754067551|     ~   |16.2     |     ~   |14.3     |     ~   |M              |  10|   0
208 |V* FO Boo                          |LP?|15 39 32.0579098104 +42 41 49.006136508|     ~   |9.20     |7.72     |     ~   |     ~   |Ma             |  11|   0
209 |HS 1516+4441                       |*  |15 18 02.956 +44 30 54.00              |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
210 |BD+44 2448                         |*  |15 18 43.3050681528 +44 02 38.521476816|     ~   |11.47    |10.00    |     ~   |     ~   |M              |   1|   0
211 |2MASS J13383336+5316427            |*  |13 38 33.37 +53 16 42.8                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
212 |HS 1353+4706                       |*  |13 55 25.6 +46 51 51                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   3|   0
213 |HS 1359+4918                       |*  |14 01 17.5233270144 +49 04 02.630203572|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
214 |V* CT CVn                          |LP*|13 47 10.9043703744 +47 43 44.841815220|     ~   |9.03     |7.69     |     ~   |     ~   |Ma             |  17|   0
215 |RX J1148.0+5116                    |*  |11 48 01.92 +51 16 29.6                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   5|   0
216 |[SOM2002] 2418                     |*  |09 42 42.925 +47 00 53.59              |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
217 |2MASS J09130919+4509162            |RG*|09 13 09.1920495648 +45 09 16.277318676|     ~   |12.81    |11.57    |11.1     |     ~   |M              |   3|   0
218 |2MASS J09034712+4149437            |RG*|09 03 47.1368408448 +41 49 43.616635104|     ~   |11.30    |9.95     |     ~   |     ~   |M              |   3|   0
219 |V* ZZ CVn                          |LP*|13 59 11.0978114904 +45 28 16.369927860|     ~   |11.20    |10.05    |     ~   |     ~   |M              |   5|   0
220 |V* CO CVn                          |LP*|13 30 12.6627818256 +45 44 06.873602568|     ~   |8.74     |7.22     |     ~   |     ~   |Ma             |  14|   0
221 |HS 1334+4650                       |*  |13 36 13.3 +46 35 01                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
222 |SN 1992W                           |*  |12 50 22.9567632936 +48 05 25.492418304|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   5|   2
223 |2MASS J11251806+4951579            |*  |11 25 18.0118606368 +49 51 57.435972876|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
224 |HS 1005+4532                       |*  |10 08 53.2297135896 +45 17 53.566050156|     ~   |19.0     |     ~   |     ~   |     ~   |M              |   1|   0
225 |HS 1246+4514                       |*  |12 48 32.1355060800 +44 58 12.205115976|     ~   |19.0     |     ~   |     ~   |     ~   |M              |   1|   0
226 |CLS 10                             |*  |09 15 25.0260911088 +37 50 30.525775836|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
227 |BD+02 494                          |*  |03 11 02.8696240272 +03 14 31.044097536|     ~   |12.39    |10.85    |     ~   |     ~   |M              |   1|   0
228 |WT 1337                            |PM*|03 10 00.8399816376 -08 39 40.728056328|     ~   |15.5     |     ~   |     ~   |     ~   |M              |   4|   0
229 |[BEM91] 29                         |LP*|03 09 54.4875818160 -27 31 25.384040184|     ~   |12.51    |11.55    |10.91    |     ~   |M              |   2|   0
230 |G 79-16                            |PM*|03 14 08.1218802864 +08 33 46.746511020|     ~   |14.53    |     ~   |12.717   |     ~   |M              |  15|   0
231 |[BEM91] 16                         |*  |03 11 43.9203629664 -11 45 16.376602788|     ~   |     ~   |     ~   |11.23    |     ~   |M              |   1|   0
232 |V* RY For                          |EB*|03 15 53.4878304546 -24 41 32.251105198|     ~   |11.45    |9.86     |     ~   |     ~   |M              |   6|   0
233 |BD+01 603                          |*  |03 29 13.0654592232 +02 13 13.122473376|     ~   |11.98    |11.02    |     ~   |     ~   |M              |   1|   0
234 |BD-22 618                          |*  |03 30 42.7647249240 -22 19 17.842145304|     ~   |11.27    |9.82     |     ~   |     ~   |M              |  10|   0
235 |[LBX2017] 780                      |PM*|03 32 42.0048424848 -27 57 02.843275860|     ~   |15.50    |14.78    |15.38    |14.53    |M              |  20|   0
236 |[PSZ2003] J034443.8+321351         |*  |03 44 43.8 +32 13 51                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
237 |Cl Melotte 22 259                  |*  |03 44 03.8787452544 +24 11 20.983124940|     ~   |13.51    |12.94    |12.77    |     ~   |M              |   6|   0
238 |BD+04 574                          |*  |03 41 17.5980834648 +04 37 59.955997440|     ~   |11.02    |9.21     |     ~   |     ~   |M              |   1|   0
239 |BD-16 681                          |*  |03 40 00.2287767432 -16 18 22.386742236|     ~   |11.05    |9.54     |     ~   |     ~   |M              |   1|   0
240 |BD-16 683                          |*  |03 40 34.1598236784 -16 01 16.215166632|     ~   |11.61    |9.95     |     ~   |     ~   |M              |   1|   0
241 |Cl* Melotte 22 BPL 122             |Er*|03 47 01.8400266336 +24 13 28.281607500|     ~   |     ~   |20.18    |     ~   |16.87    |M              |  20|   0
242 |Cl* Melotte 22 BPL 130             |*  |03 47 11.8075281312 +24 13 30.734361588|     ~   |     ~   |21.44    |     ~   |16.98    |M              |  12|   0
243 |BD-16 697                          |RB?|03 45 17.5429482408 -16 29 21.010297884|     ~   |11.06    |9.84     |     ~   |     ~   |M              |  12|   0
244 |HD 283240                          |*  |03 59 14.2610820456 +26 14 20.731364088|     ~   |12.26    |11.04    |     ~   |     ~   |M              |  14|   0
245 |HG 7-139                           |PM*|04 15 34.8429611112 +16 45 44.611721820|     ~   |16.70    |15.32    |15.16    |     ~   |M              |  26|   0
246 |BD-14 867                          |*  |04 18 40.8706706040 -14 32 49.321635324|     ~   |11.24    |9.84     |     ~   |     ~   |M              |   1|   0
247 |BD-16 804                          |RB?|04 10 48.5737910520 -15 55 01.576316676|     ~   |11.22    |9.86     |     ~   |     ~   |M              |  11|   0
248 |BD+37 919                          |*  |04 24 22.9226862504 +37 43 44.789582748|     ~   |12.798   |10.322   |9.784    |     ~   |M              |   1|   0
249 |HD 279760                          |*  |04 20 29.1914614560 +35 25 22.217142000|     ~   |12.09    |10.13    |     ~   |     ~   |M              |   2|   0
250 |HD 281986                          |*  |04 21 52.7345636568 +32 30 00.693990180|     ~   |13.20    |10.86    |     ~   |     ~   |M              |   2|   0
251 |IRAS 04248+2612                    |Y*O|04 27 57.3239527944 +26 19 18.033264696|     ~   |     ~   |     ~   |     ~   |     ~   |M              | 153|   0
252 |HD 284454                          |*  |04 26 11.5493242416 +21 07 49.359753372|     ~   |12.11    |10.79    |     ~   |     ~   |M              |   3|   0
253 |Cl* Melotte 25 LH 110              |Er*|04 27 33.665952 +16 52 21.82728        |     ~   |16.88    |15.32    |14.96    |12.93    |M              |   4|   0
254 |BD-17 864                          |*  |04 22 11.2685906184 -17 02 42.450460548|     ~   |11.23    |9.73     |     ~   |     ~   |M              |   8|   0
255 |IRAS 04370+2559                    |Y*O|04 40 08.0045430960 +26 05 25.434085020|     ~   |     ~   |     ~   |     ~   |     ~   |M              |  62|   0
256 |2MASS J04314202+1622325            |LM*|04 31 42.0127482768 +16 22 32.441472048|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   2|   0
257 |[SLG83] 043839.1-104948.2 G        |*  |04 41 00.9 -10 44 05                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
258 |Haro 6-39                          |Y*O|04 52 09.7010929560 +30 37 45.414159924|     ~   |     ~   |     ~   |     ~   |     ~   |M              |  31|   0
259 |HD 283867                          |*  |04 46 44.0945866920 +26 18 14.226002964|     ~   |12.20    |10.03    |     ~   |     ~   |M              |   2|   0
260 |HD 284750                          |*  |04 49 24.6134321568 +23 14 50.570476188|     ~   |12.61    |10.71    |     ~   |     ~   |M              |   2|   0
261 |2MASS J04463285+1901432            |EB*|04 46 32.8622247312 +19 01 43.246330320|     ~   |19.9     |19.0     |     ~   |     ~   |M              |  25|   0
262 |BD+00 833                          |*  |04 44 20.0999420592 +01 01 04.922290308|     ~   |12.15    |11.08    |     ~   |     ~   |M              |   2|   0
263 |BSD 96-370                         |*  |04 47 00.0 -00 23 00                   |     ~   |12.05    |10.78    |     ~   |     ~   |M              |   0|   0
264 |BD-17 930                          |*  |04 41 17.8804786296 -17 37 10.113156228|     ~   |11.76    |10.11    |     ~   |     ~   |M              |  10|   0
265 |BD-16 959                          |*  |04 49 03.5011557696 -16 30 47.725018344|     ~   |11.14    |9.63     |     ~   |     ~   |M              |   1|   0
266 |BD-17 955                          |*  |04 47 46.6874096664 -17 04 43.598309916|     ~   |10.97    |9.98     |     ~   |     ~   |M              |   1|   0
267 |AG+39 549                          |*  |04 53 39.5484447216 +39 34 20.330602716|     ~   |12.360   |10.362   |9.725    |     ~   |M              |   1|   0
268 |HD 282736                          |*  |04 58 45.9442369872 +30 37 43.031649756|     ~   |11.78    |10.26    |9.561    |     ~   |M              |   4|   0
269 |FIRST J150859.9+271431             |*  |05 09 00.0 +27 14 31                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
270 |HD 240769                          |*  |05 07 23.2138954056 +23 02 10.809356172|     ~   |11.44    |9.76     |     ~   |     ~   |M              |   5|   0
271 |BD-22 1050                         |PM*|05 13 59.1734396472 -21 58 24.798654804|13.001   |11.68    |10.48    |9.61     |8.923    |M              |  17|   0
272 |V* UY Lep                          |LP?|05 07 34.7836381680 -24 07 57.096093720|     ~   |11.34    |9.80     |     ~   |     ~   |M              |   9|   0
273 |1RXS J051451.8-372639              |Ro*|05 14 51.4754731272 -37 26 36.857870016|     ~   |14.875   |13.657   |13.484   |12.181   |M              |   3|   0
274 |IRAS 05184+4208                    |LP?|05 22 00.6835557000 +42 11 48.986357640|     ~   |     ~   |     ~   |11.04    |     ~   |M              |   7|   0
275 |TYC 2909-986-1                     |*  |05 26 00.8861430144 +37 54 34.412072328|     ~   |12.45    |9.90     |     ~   |     ~   |M              |   1|   0
276 |[D75b] Star 32                     |S* |05 25 29.9700135480 +32 53 08.192120892|     ~   |14.6     |     ~   |     ~   |     ~   |MS             |   4|   0
277 |CSS 129                            |S* |05 17 24.4833590688 +01 53 24.866774952|     ~   |     ~   |     ~   |12.49    |     ~   |MS4            |   3|   0
278 |V* V533 Ori                        |LP?|05 20 03.8485929936 -04 49 11.790140700|     ~   |13.08    |10.54    |     ~   |     ~   |M              |   2|   0
279 |[D75b] Star 36                     |S* |05 35 11.1938849784 +37 45 46.119825540|     ~   |17.1     |     ~   |     ~   |     ~   |MS             |   3|   0
280 |[D75b] Star 33                     |S* |05 28 37.3403796384 +34 02 28.030328196|     ~   |15.2     |     ~   |     ~   |     ~   |MS             |   7|   0
281 |HD 281129                          |*  |05 27 39.3830966856 +36 06 46.498605084|     ~   |11.28    |9.58     |     ~   |     ~   |M              |   3|   0
282 |[D75b] Star 35                     |S* |05 32 44.1769587432 +29 02 51.682230924|     ~   |16.8     |     ~   |     ~   |     ~   |MS             |   7|   0
283 |[D75b] Star 34                     |S* |05 29 33.6684677736 +27 49 34.268294136|     ~   |14.3     |     ~   |     ~   |     ~   |MS             |   2|   0
284 |BD+04 981                          |*  |05 35 45.3958267512 +04 44 42.347480244|     ~   |12.440   |10.905   |10.442   |     ~   |M              |   1|   0
285 |BD-02 1315                         |*  |05 37 18.4059218520 -01 59 40.686264348|     ~   |11.86    |10.61    |     ~   |     ~   |M              |   1|   0
286 |BD-05 1276                         |*  |05 30 27.3011287608 -05 01 18.728673600|     ~   |11.89    |10.63    |     ~   |     ~   |M              |   3|   0
287 |2MASS J05350557-0521407            |*  |05 35 05.571 -05 21 40.74              |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   6|   0
288 |MLLA 621                           |*  |05 35 17.5800 -05 22 27.800            |     ~   |     ~   |     ~   |     ~   |     ~   |M              |  10|   0
289 |V* V2142 Ori                       |Or*|05 35 04.6965327288 -05 24 35.931169188|     ~   |     ~   |     ~   |     ~   |16.575   |M              |  21|   0
290 |CD-40 1919                         |*  |05 29 39.0928897200 -40 26 26.426730552|     ~   |10.90    |9.98     |     ~   |     ~   |M              |   1|   0
291 |2MASS J05413789-0153112            |Y*O|05 41 37.9057871976 -01 53 11.393006748|     ~   |     ~   |     ~   |     ~   |     ~   |M              |  10|   0
292 |BD-15 1127                         |*  |05 41 58.5364997688 -15 33 30.149269776|     ~   |11.36    |9.85     |     ~   |     ~   |M              |   2|   0
293 |BD-15 1151                         |*  |05 45 31.0822811424 -15 14 13.637606532|     ~   |11.16    |9.70     |     ~   |     ~   |M              |   1|   0
294 |BD-15 1153                         |*  |05 45 40.1931352680 -15 05 08.032151904|     ~   |10.75    |9.13     |     ~   |     ~   |M              |   1|   0
295 |[SLG83] 053711.3-283419.4 E        |*  |05 39 08.8 -28 32 44                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
296 |S1* 122                            |S* |05 56 14.1846380808 +27 43 25.151280780|     ~   |     ~   |     ~   |13.27    |     ~   |MS             |   2|   0
297 |BD-14 1293                         |** |05 57 54.0134 -14 01 37.539            |     ~   |11.41    |10.41    |10.26    |     ~   |M              |   2|   0
298 |CD-31 2812                         |** |05 53 43.1974841376 -31 28 51.139542504|     ~   |11.659   |10.288   |9.986    |     ~   |M              |   1|   0
299 |G 98-37                            |PM*|06 02 53.0247624231 +31 29 40.828063929|     ~   |16.3     |     ~   |14.3     |     ~   |M              |  14|   0
300 |[D75b] Star 46                     |S* |06 09 32.9763686664 +31 31 46.729191540|     ~   |14.9     |     ~   |     ~   |     ~   |MS             |   7|   0
301 |[D75b] Star 42                     |S* |06 02 37.8025509936 +29 07 05.855890152|     ~   |15.1     |     ~   |     ~   |     ~   |MS             |   6|   0
302 |IRAS 05581+2232                    |LP*|06 01 12.0814490448 +22 32 55.984724916|     ~   |     ~   |     ~   |11.58    |     ~   |M              |   7|   0
303 |NGC 2168 139                       |SB*|06 09 04.0393893971 +24 23 48.323648974|     ~   |13.955   |13.275   |13.119   |     ~   |M              |  12|   0
304 |NGC 2168 376                       |SB*|06 09 20.3716365384 +24 12 17.719460403|     ~   |14.271   |13.577   |13.481   |12.867   |M              |  14|   0
305 |Cl* NGC 2168 SB 1027               |SB*|06 09 27.0848377248 +24 13 45.268410756|     ~   |13.837   |13.087   |13.557   |     ~   |M              |  15|   0
306 |Cl* NGC 2168 SB 301                |SB*|06 08 34.2587630280 +24 21 35.932529700|     ~   |17.15    |16.013   |15.503   |14.781   |M              |  10|   0
307 |Cl* NGC 2168 SB 706                |SB*|06 09 03.5253817440 +24 17 23.471347920|     ~   |17.01    |15.95    |15.5444  |     ~   |M              |  15|   0
308 |Cl* NGC 2168 SB 254                |SB*|06 08 30.8256721968 +24 17 54.697729920|     ~   |16.31    |15.475   |     ~   |14.419   |M              |   6|   0
309 |[D75b] Star 43                     |S* |06 05 27.8844300144 +22 20 42.339305472|     ~   |15.7     |     ~   |     ~   |     ~   |MS             |   8|   0
310 |BD-15 1243                         |*  |06 00 54.8923353384 -15 43 03.807437448|     ~   |10.58    |9.38     |     ~   |     ~   |M              |   1|   0
311 |BD+44 1402B                        |*  |06 15 07.1524860456 +44 09 50.246303220|     ~   |11.4     |9.5      |     ~   |     ~   |M              |   1|   0
312 |BD+44 1402A                        |*  |06 15 06.9967120248 +44 09 35.792494740|     ~   |11.3     |9.4      |     ~   |     ~   |M              |   1|   0
313 |V* V380 Aur                        |LP*|06 21 23.1109769232 +41 13 12.715079268|     ~   |13.6     |     ~   |     ~   |     ~   |M              |   7|   0
314 |CSS 209                            |S* |06 20 32.7827224296 +38 48 17.498036916|     ~   |     ~   |     ~   |11.92    |     ~   |MS3            |   1|   0
315 |BD+05 1158                         |*  |06 16 26.1923479320 +05 28 12.161901216|     ~   |11.88    |9.90     |     ~   |     ~   |M              |   1|   0
316 |HD 254597                          |*  |06 17 24.6955444176 +03 06 32.299349760|     ~   |12.26    |11.11    |10.71    |     ~   |M              |   2|   0
317 |HD 294978                          |*  |06 20 04.6228587792 -04 24 54.759771360|     ~   |11.14    |10.74    |     ~   |     ~   |M              |   3|   0
318 |BD-09 1364                         |RB?|06 11 57.7884588528 -09 51 56.180404080|     ~   |10.75    |9.66     |     ~   |     ~   |M              |   2|   0
319 |V* V798 Mon                        |Mi*|06 25 21.6547941888 -02 46 37.679981880|     ~   |     ~   |     ~   |12.65    |     ~   |M              |   6|   0
320 |BD-18 1443                         |*  |06 29 50.1306610368 -18 25 30.470249964|     ~   |10.99    |9.59     |     ~   |     ~   |M              |   1|   0
321 |BD-22 1432                         |*  |06 29 51.4147209984 -22 41 57.350722956|     ~   |11.29    |9.65     |     ~   |     ~   |M              |   1|   0
322 |G 105-48                           |PM*|06 37 00.0241085686 +15 15 15.585358123|     ~   |15.02    |     ~   |12.7     |     ~   |M              |  11|   0
323 |KHA 129                            |TT*|06 41 44.2257848472 +09 25 02.435240964|19.03    |18.35    |16.81    |15.74    |14.50    |M              |  36|   0
324 |[D75b] Star 52                     |S* |06 39 03.2283797160 +02 34 00.109793172|     ~   |15.2     |     ~   |     ~   |     ~   |MS             |   6|   0
325 |HD 291938                          |*  |06 35 06.8669179200 -02 07 07.815835128|     ~   |12.04    |10.65    |     ~   |     ~   |M              |   2|   0
326 |S1* 158                            |S* |06 35 35.1362352888 -14 58 31.518147864|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |   4|   0
327 |V* AM Col                          |LP*|06 37 53.5598783712 -34 17 44.755724940|     ~   |10.77    |9.33     |     ~   |     ~   |M              |  11|   0
328 |CD-40 2632                         |*  |06 41 58.6812556272 -40 34 43.687689456|     ~   |10.66    |9.11     |     ~   |     ~   |M              |   1|   0
329 |S1* 189                            |S* |06 54 32.7828356520 +08 36 04.253236128|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |   2|   0
330 |S1* 187                            |S* |06 52 38.6702973000 -12 34 45.958289268|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |   6|   0
331 |BD-18 1582                         |*  |06 52 04.5126138168 -18 38 16.468950876|     ~   |10.32    |8.73     |     ~   |     ~   |M              |   1|   0
332 |HD 52454                           |*  |07 01 49.0002824016 +15 22 42.737362320|     ~   |11.47    |9.55     |     ~   |     ~   |Ma             |   2|   0
333 |HD 296351                          |*  |07 04 02.9461490712 -04 59 57.475675248|     ~   |11.13    |9.91     |     ~   |     ~   |M              |   2|   0
334 |V* V338 Gem                        |LP?|07 11 15.3829255200 +24 39 49.529021256|11.320   |9.590    |7.980    |     ~   |     ~   |Ma             |  13|   0
335 |HD 289619                          |*  |07 08 23.3976451728 +01 43 08.638706748|     ~   |10       |     ~   |     ~   |     ~   |M              |   1|   0
336 |HD 289718                          |*  |07 09 52.9375149216 +01 16 30.130970952|     ~   |11.77    |10.07    |     ~   |     ~   |M              |   2|   0
337 |HD 289666                          |*  |07 10 21.5921750544 +02 31 02.124543324|     ~   |11.81    |11.77    |     ~   |     ~   |M              |   2|   0
338 |HD 293434                          |*  |07 09 34.6377189240 -01 33 31.902693912|     ~   |11.11    |9.84     |     ~   |     ~   |M              |   6|   0
339 |S1* 215                            |S* |07 14 00.5586234312 -08 40 00.318684252|     ~   |12.00    |10.74    |     ~   |     ~   |MS             |   8|   0
340 |BD-16 1781                         |*  |07 07 34.0021412424 -17 08 19.020229800|     ~   |11.13    |9.66     |     ~   |     ~   |M              |   1|   0
341 |BD-15 1713                         |*  |07 14 18.8415866784 -16 05 09.635793576|     ~   |11.00    |9.47     |     ~   |     ~   |M              |   1|   0
342 |BD-21 1784                         |*  |07 10 23.1290397696 -22 04 27.738357168|     ~   |11.13    |9.32     |     ~   |     ~   |M              |   1|   0
343 |BD-22 1762                         |*  |07 14 05.8452443208 -22 41 38.759192772|     ~   |10.34    |9.04     |     ~   |     ~   |M              |   1|   0
344 |BD-21 1778                         |*  |07 09 14.7767330832 -21 41 47.217438312|     ~   |11.22    |9.83     |     ~   |     ~   |M              |   1|   0
345 |V* V341 Gem                        |LP*|07 26 18.3071197992 +25 57 16.256234556|     ~   |9.87     |8.50     |     ~   |     ~   |Ma             |  16|   0
346 |IRAS 07239+0044                    |Mi*|07 26 33.4736806944 +00 38 13.017645636|     ~   |     ~   |     ~   |13.62    |9.14     |M              |   6|   0
347 |BD-01 1701                         |SB*|07 25 27.2540800848 -01 59 19.738399272|     ~   |11.37    |10.13    |     ~   |     ~   |M              |   3|   0
348 |HD 57056                           |S* |07 19 15.6774806400 -11 27 41.379471864|     ~   |10.25    |8.54     |     ~   |     ~   |MS             |  16|   0
349 |BD-13 2016                         |*  |07 26 46.4579330928 -13 38 03.428572524|     ~   |11.07    |9.49     |     ~   |     ~   |M              |   1|   0
350 |BD-20 1958                         |SB*|07 28 31.2231513456 -21 09 41.163960240|     ~   |11.02    |9.05     |     ~   |     ~   |M              |   1|   0
351 |LP 256-45                          |PM*|07 40 46.0486492476 +37 58 24.591299653|     ~   |17.4     |     ~   |15.2     |     ~   |M              |  11|   0
352 |S1* 246                            |S* |07 35 18.2277463992 -31 29 45.518074332|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |   2|   0
353 |FIRST J075127.6+272736             |*  |07 51 27.64 +27 27 36.4                |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
354 |V* V347 Gem                        |LP?|07 44 09.6541967640 +14 10 23.578431168|     ~   |8.90     |7.34     |     ~   |     ~   |Mb             |  15|   0
355 |IRAS 07497-0321                    |LP*|07 52 17.4919023552 -03 29 04.451019540|     ~   |     ~   |     ~   |10.83    |8.36     |M              |   4|   0
356 |HD 62183                           |*  |07 42 31.2568820928 -06 13 40.813887288|     ~   |11.56    |10.010   |9.81     |     ~   |Ma             |   3|   0
357 |S1* 262                            |S* |07 47 57.1552918608 -18 39 02.135353140|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |   3|   0
358 |S1* 268                            |S* |07 51 39.3489137952 -25 07 59.700620496|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |   6|   0
359 |BD+05 1832                         |*  |07 54 51.4720030488 +04 52 23.148344064|     ~   |12.40    |10.54    |10.134   |     ~   |M              |   0|   0
360 |S1* 272                            |S* |07 53 48.4528441416 -11 48 59.783274720|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |   6|   0
361 |S1* 271                            |S* |07 53 37.9196045688 -13 32 17.412237816|     ~   |14.477   |12.660   |     ~   |     ~   |MS             |   6|   0
