C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:36

sptype='M'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
42  |EM* CGHA 52                        |Em*|21 09 17.6797242456 +45 31 12.992422008|     ~   |14.8     |12.0     |     ~   |     ~   |M              |   3|   0
43  |EM* VES 374                        |Em*|21 11 48.3316418232 +45 21 58.829880024|     ~   |13.15    |11.37    |     ~   |     ~   |M              |   4|   0
44  |BD+49 3687                         |*  |21 56 54.9189539592 +50 28 08.174041212|     ~   |10.79    |9.04     |     ~   |     ~   |M              |   1|   0
45  |IRAS 21434+4936                    |LP?|21 45 16.2502468080 +49 50 31.300356732|     ~   |12.2     |     ~   |     ~   |     ~   |M              |   2|   1
46  |S1* 735                            |S* |23 35 46.7032603296 +54 41 36.396690252|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |   6|   0
47  |BD+48 682                          |*  |02 28 50.1510462720 +49 36 40.796630244|     ~   |10.69    |8.99     |     ~   |     ~   |M              |   1|   0
48  |V* V374 Per                        |LP?|03 17 22.4849951928 +42 19 26.691259224|     ~   |11.69    |10.16    |9.65     |     ~   |M              |   6|   0
49  |2MASS J20455122+4629151            |LP*|20 45 51.2281406112 +46 29 15.063349956|     ~   |15.5     |13.0     |     ~   |     ~   |M              |   3|   0
50  |PN K 4-54                          |LP*|20 42 53.2835158464 +45 56 31.121420892|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   9|   2
51  |EM* CGHA 58                        |Em*|21 10 10.1173948464 +48 34 47.815403664|     ~   |14.14    |11.46    |     ~   |     ~   |M              |   3|   0
52  |BD+49 3500                         |*  |21 18 52.2381456552 +49 43 16.640875488|     ~   |12.2     |9.8      |     ~   |     ~   |M              |   0|   0
53  |S1* 685                            |S* |21 29 52.4744722872 +51 16 21.086481432|     ~   |12.1     |10.4     |     ~   |     ~   |MS             |   9|   0
54  |S1* 692                            |S* |21 38 54.4665063888 +52 06 37.569963204|     ~   |12.48    |11.14    |     ~   |     ~   |MS             |   8|   0
55  |[FS2003] 1205                      |*  |23 57 17.498 +56 19 34.50              |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
56  |BD+54 436                          |*  |02 01 40.7302751472 +54 50 04.259729544|     ~   |11.30    |9.71     |     ~   |     ~   |M              |   1|   0
57  |HD 275714                          |SB*|03 44 12.9227100072 +40 38 55.963627728|     ~   |11.89    |10.16    |     ~   |     ~   |M              |   2|   0
58  |HD 227517                          |*  |20 04 47.0733060072 +41 31 02.295513084|     ~   |11.61    |9.85     |     ~   |     ~   |M              |   3|   0
59  |V* V2098 Cyg                       |LP*|19 58 10.5522747264 +42 31 39.168920640|     ~   |9.94     |8.46     |     ~   |     ~   |M              |  10|   0
60  |IRAS 20459+5015                    |Mi*|20 47 29.4804899112 +50 26 36.808438560|     ~   |19.6     |17.5     |     ~   |     ~   |M              |   7|   0
61  |[MK97] 18                          |*  |20 56 34.2936452352 +52 18 52.403290020|     ~   |17.05    |14.15    |13.62    |     ~   |M              |   1|   0
62  |[MK97] 27                          |V* |20 58 53.1398577840 +52 18 44.603633484|     ~   |15.60    |14.979   |14.419   |13.937   |M              |   2|   0
63  |[MK97] 30                          |*  |20 59 20.5020339816 +52 12 04.599330912|     ~   |     ~   |     ~   |12.87    |     ~   |M              |   1|   0
64  |IRAS 21060+5322                    |*  |21 07 33.4095531528 +53 35 01.577720328|     ~   |15.35    |12.70    |11.95    |     ~   |M              |   1|   0
65  |[MK97] 38                          |*  |21 07 33.6830939808 +53 15 08.537466960|     ~   |     ~   |     ~   |14.18    |     ~   |M              |   1|   0
66  |IRAS 21197+5415                    |LP?|21 21 20.8067718120 +54 28 02.966769768|     ~   |15.19    |12.88    |12.07    |     ~   |M              |   1|   0
67  |IRAS 21246+5409                    |*  |21 26 16.7157913320 +54 22 21.994675608|     ~   |14.82    |12.49    |11.94    |     ~   |M              |   1|   0
68  |IRAS 21257+5438                    |LP?|21 27 22.2303136776 +54 51 03.936991032|     ~   |15.87    |13.42    |12.57    |     ~   |M              |   1|   0
69  |IRAS 21196+5445                    |LP?|21 21 08.8357034016 +54 57 58.276923768|     ~   |12.41    |11.32    |10.64    |     ~   |M              |   1|   0
70  |[MK97] 58                          |*  |21 26 55.9155991680 +54 37 01.206224328|     ~   |15.05    |12.63    |11.94    |     ~   |M              |   1|   0
71  |[MK97] 64                          |*  |21 34 20.9221130712 +54 47 06.195700356|     ~   |14.05    |12.00    |11.38    |     ~   |M              |   1|   0
72  |V* V2205 Cyg                       |LP*|21 35 55.0507828440 +54 49 09.045151536|     ~   |15.60    |13.49    |12.28    |     ~   |M              |   5|   0
73  |[MK97] 54                          |V* |21 24 16.0905637680 +54 58 03.153291276|     ~   |15.86    |13.38    |12.63    |     ~   |M              |   3|   0
74  |V* V560 Cep                        |LP*|21 36 10.4404338096 +55 41 11.079135996|     ~   |14.26    |12.24    |11.89    |     ~   |M              |   3|   0
75  |[MK97] 62                          |*  |21 33 58.5456123168 +56 18 10.827112284|     ~   |15.34    |12.92    |12.34    |     ~   |M              |   1|   0
76  |[MK97] 71                          |LP?|21 36 29.6935443552 +55 19 49.257170184|     ~   |16.16    |13.79    |13.11    |     ~   |M              |   1|   0
77  |IRAS 21372+5517                    |*  |21 38 49.9789886928 +55 30 47.337987744|     ~   |13.79    |11.49    |10.91    |     ~   |M              |   1|   0
78  |[MK97] 79                          |*  |21 39 43.8474922728 +56 34 37.053620796|     ~   |15.74    |13.47    |12.85    |     ~   |M              |   1|   0
79  |[MK97] 84                          |*  |21 44 09.7697397816 +54 45 59.260259052|     ~   |14.53    |12.40    |11.58    |     ~   |M              |   1|   0
80  |V* V2254 Cyg                       |LP?|21 35 08.8936569312 +55 06 40.105920996|     ~   |15.75    |13.48    |12.64    |     ~   |M              |   2|   0
81  |[MK97] 67                          |*  |21 35 45.0925024368 +55 13 02.679945060|     ~   |15.74    |13.58    |12.50    |     ~   |M              |   1|   0
82  |HD 239839                          |*  |22 03 24.1452082200 +57 33 26.578096668|     ~   |11.3     |9.39     |     ~   |     ~   |M              |   4|   0
83  |IRAS 21477+5709                    |*  |21 49 23.3891404152 +57 23 10.349240568|     ~   |14.73    |12.34    |11.70    |     ~   |M              |   2|   0
84  |BD+57 2537                         |*  |22 27 52.0631716272 +58 24 56.315875464|     ~   |12.14    |10.06    |     ~   |     ~   |M              |   8|   0
85  |V* V659 Per                        |LP?|02 01 44.0942136504 +55 22 36.577326216|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   5|   0
86  |[D75b] Star 13                     |S* |02 24 44.7630953184 +55 35 45.598050312|     ~   |15.0     |     ~   |     ~   |     ~   |MS             |   4|   0
87  |V* DI Per                          |S* |02 22 36.3263303832 +54 09 21.499009308|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |  11|   0
