C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:20

sptype='K'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
42  |BD+47 3631                         |*  |21 58 05.8309088376 +48 02 48.323681700|     ~   |10.62    |9.69     |     ~   |     ~   |K              |   1|   0
43  |BD+47 3717                         |*  |22 10 20.9766869736 +47 58 17.272857540|     ~   |11.11    |9.69     |     ~   |     ~   |K              |   6|   0
44  |TYC 3633-1775-1                    |*  |22 42 44.3905433064 +51 27 35.884779768|     ~   |12.32    |11.07    |     ~   |     ~   |K              |   1|   0
45  |HD 235915                          |*  |22 39 41.3632990464 +51 16 59.085717204|     ~   |11.17    |10.19    |     ~   |     ~   |K              |   2|   0
46  |TYC 3631-1639-1                    |*  |23 12 18.1130043672 +50 17 50.139605472|     ~   |11.98    |11.32    |     ~   |     ~   |K              |   2|   1
47  |TYC 3998-1367-1                    |*  |23 17 00.3954083520 +52 47 24.157288932|     ~   |11.59    |10.63    |     ~   |     ~   |K              |   3|   0
48  |HD 236143                          |*  |23 30 20.5855308984 +52 39 27.838741824|     ~   |11.88    |10.37    |     ~   |     ~   |K              |   3|   0
49  |BD+50 31                           |*  |00 13 56.1042400632 +51 32 43.223346168|     ~   |11.81    |10.73    |     ~   |     ~   |K              |   1|   1
50  |HD 232307                          |*  |00 53 43.8171268776 +52 26 01.345322544|     ~   |12.20    |11.14    |     ~   |     ~   |K              |   2|   0
51  |BD+49 367                          |*  |01 24 09.1345231824 +50 37 50.678746176|     ~   |11.68    |10.47    |     ~   |     ~   |K              |   1|   0
52  |LSPM J0136+5043                    |PM*|01 36 19.5095831808 +50 43 35.407439868|     ~   |     ~   |     ~   |10.2     |     ~   |K              |   2|   0
53  |BD+48 464                          |*  |01 33 23.7573500112 +49 40 24.628356552|     ~   |11.31    |11.15    |     ~   |     ~   |K              |   1|   0
54  |TYC 3290-1500-1                    |*  |01 30 25.6397180712 +51 09 51.429845160|     ~   |11.67    |10.53    |     ~   |     ~   |K              |   1|   0
55  |BD+48 511                          |*  |01 42 41.5378327296 +48 52 04.884193812|     ~   |11.53    |10.19    |     ~   |     ~   |K              |   1|   0
56  |HD 10915                           |*  |01 48 19.9825261344 +49 13 24.574243692|     ~   |9.95     |8.83     |     ~   |     ~   |K              |   2|   0
57  |BD+47 489                          |*  |01 44 13.9274341752 +48 18 01.809401436|     ~   |10.49    |9.18     |     ~   |     ~   |K              |   1|   0
58  |TYC 2854-1846-1                    |*  |02 58 21.0665053656 +42 43 45.029566956|     ~   |11.56    |10.40    |     ~   |     ~   |K              |   1|   0
59  |HD 275224                          |*  |03 22 30.2388123168 +38 09 19.876200660|     ~   |12.44    |11.04    |     ~   |     ~   |K              |   2|   0
60  |HD 275285                          |*  |03 23 43.6349178864 +40 03 35.944929144|     ~   |12.12    |11.21    |     ~   |     ~   |K              |   2|   0
61  |HD 275302                          |*  |03 23 41.6723602776 +39 07 58.977667380|     ~   |11.75    |10.59    |     ~   |     ~   |K              |   2|   0
62  |HD 275320                          |PM*|03 23 59.9929881792 +38 20 45.923440632|     ~   |11.85    |11.09    |     ~   |     ~   |K              |   2|   0
63  |HD 275385                          |*  |03 27 29.9465245824 +39 07 42.127470876|     ~   |12.22    |10.97    |     ~   |     ~   |K              |   2|   0
64  |HD 229167                          |PM*|20 22 54.3029622336 +40 27 41.167716804|     ~   |11.00    |10.40    |     ~   |     ~   |K              |   7|   0
65  |BD+41 3823                         |*  |20 36 28.7279802504 +42 06 28.184089572|     ~   |10.66    |9.43     |     ~   |     ~   |K              |   2|   0
66  |BD+40 4228                         |*  |20 33 16.8464687304 +41 01 49.639918476|     ~   |10.25    |9.23     |     ~   |     ~   |K              |   6|   0
67  |BD+40 4230                         |*  |20 33 17.9843485008 +40 58 54.749660628|     ~   |9.52     |8.62     |     ~   |     ~   |K              |   5|   0
68  |TYC 3575-4026-1                    |*  |20 55 23.4661507224 +45 59 38.380128504|     ~   |11.52    |9.85     |     ~   |     ~   |K              |   2|   0
69  |EM* UHA 82                         |Em*|20 56 25.2090293736 +45 03 11.891626596|     ~   |15       |13       |     ~   |     ~   |K              |   4|   0
70  |EM* UHA 85                         |Em*|20 56 38.2661171736 +44 49 25.232934396|     ~   |15.0     |14.0     |     ~   |     ~   |K              |   4|   0
71  |EM* UHA 114                        |Em*|21 01 25.4901765312 +44 49 10.403650164|     ~   |15.0     |13.5     |     ~   |     ~   |K              |   4|   0
72  |BD+46 3180                         |*  |21 06 03.6432583680 +47 10 24.573474408|     ~   |10.98    |9.07     |     ~   |     ~   |K              |   1|   0
73  |HD 202861                          |*  |21 17 10.6194468024 +46 31 43.772524932|     ~   |9.96     |9.02     |     ~   |     ~   |K              |   2|   0
74  |TYC 3589-1059-1                    |*  |21 15 49.0720578576 +45 53 48.697847664|     ~   |11.55    |10.70    |     ~   |     ~   |K              |   1|   0
75  |HD 203610                          |*  |21 21 58.9881616440 +46 53 31.374668832|     ~   |9.42     |8.35     |     ~   |     ~   |K              |   4|   0
76  |BD+49 3577                         |*  |21 38 09.8975254080 +49 41 34.181895552|     ~   |11.20    |10.23    |     ~   |     ~   |K              |   1|   0
77  |BD+48 3403                         |*  |21 31 18.6324099000 +49 14 13.020755820|     ~   |11.2     |9.62     |     ~   |     ~   |K              |   4|   0
78  |BD+48 3456                         |*  |21 39 49.9131668208 +49 08 12.530746716|     ~   |10.87    |9.38     |     ~   |     ~   |K              |   2|   0
79  |AG+50 1705                         |LP?|21 52 41.0462060640 +50 24 06.457062780|     ~   |11.70    |9.65     |     ~   |     ~   |K              |   1|   0
80  |BD+50 3576                         |*  |22 08 00.6620 +51 30 05.660            |     ~   |10.97    |10.00    |     ~   |     ~   |K              |   1|   0
81  |HD 235897                          |*  |22 37 23.2378951416 +53 57 32.010166656|     ~   |10.64    |9.35     |     ~   |     ~   |K              |   4|   0
82  |TYC 3634-2580-1                    |*  |22 57 34.3044268368 +52 28 19.935477588|     ~   |12.41    |11.14    |     ~   |     ~   |K              |   2|   0
83  |BD+51 3511                         |*  |22 57 44.5962248208 +52 29 13.875853488|     ~   |12.41    |10.60    |     ~   |     ~   |K              |   2|   0
84  |HD 236156                          |*  |23 31 47.8793752488 +54 12 31.818981816|     ~   |10.67    |9.42     |     ~   |     ~   |K              |   3|   0
85  |BD+54 3086                         |*  |23 59 35.1825776544 +55 19 34.406740560|     ~   |10.58    |9.72     |     ~   |     ~   |K              |   1|   0
86  |[FS2003] 0022                      |*  |00 41 11.89 +55 23 54.2                |     ~   |     ~   |     ~   |     ~   |     ~   |K              |   2|   0
87  |BD+49 499                          |*  |01 55 57.3891395088 +50 29 01.653503928|     ~   |12.07    |10.50    |     ~   |     ~   |K              |   2|   1
88  |BD+48 694                          |*  |02 32 58.6299289296 +48 52 07.882635000|     ~   |12.15    |10.13    |     ~   |     ~   |K              |   1|   0
89  |BD+48 713                          |*  |02 38 33.2617784736 +48 44 48.295457736|     ~   |11.13    |9.64     |     ~   |     ~   |K              |   1|   0
90  |BD+43 637                          |*  |03 09 05.0277083928 +44 14 54.726251856|     ~   |11.13    |9.70     |     ~   |     ~   |K              |   3|   0
91  |HD 275635                          |*  |03 40 12.8398689792 +39 20 49.104304836|     ~   |11.57    |10.58    |     ~   |     ~   |K              |   2|   0
92  |HD 228241                          |*  |20 11 43.0940806176 +41 26 23.230474872|     ~   |10.24    |9.25     |     ~   |     ~   |K              |   3|   0
93  |BD+46 3031                         |SB*|20 44 28.6711814544 +47 19 26.049598500|     ~   |11.20    |9.98     |     ~   |     ~   |K              |   1|   0
94  |EM* UHA 13                         |Em*|20 44 22.5976881816 +46 31 17.582362896|     ~   |15       |13       |     ~   |     ~   |K              |   3|   0
95  |TYC 3575-3304-1                    |*  |20 53 41.6076301032 +46 02 41.405320356|     ~   |11.83    |9.98     |     ~   |     ~   |K              |   2|   0
96  |BD+49 3509                         |*  |21 22 35.6570221632 +49 58 29.124019632|     ~   |11.60    |9.86     |     ~   |     ~   |K              |   1|   0
97  |HD 235682                          |*  |21 58 51.5654863440 +54 49 01.400364084|     ~   |10.72    |9.63     |     ~   |     ~   |K              |   2|   0
98  |HD 240139                          |Ro*|22 58 34.9791139152 +57 09 19.203578100|     ~   |11.50    |10.74    |     ~   |     ~   |K              |   4|   0
99  |HD 240158                          |*  |23 01 28.9272971496 +57 00 53.345204964|     ~   |10.99    |9.77     |     ~   |     ~   |K              |   2|   0
100 |HD 219415                          |*  |23 14 53.8232935752 +56 43 49.170308520|     ~   |9.90     |8.91     |     ~   |     ~   |K              |  16|   1
101 |HD 219812                          |*  |23 18 13.6922472984 +56 15 11.868431724|     ~   |9.62     |8.55     |     ~   |     ~   |K              |   8|   0
