C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='O'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
40  |IRAS 14251-3246                    |OH*|14 28 09.2830727376 -33 00 03.444012792|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  13|   0
41  |IRAS 14402-3645                    |AB*|14 43 19.0012535112 -36 58 08.162605920|     ~   |     ~   |11.37    |     ~   |     ~   |O-rich         |   5|   0
42  |IRAS 15586-3838                    |OH*|16 01 57.2671494096 -38 46 47.576823348|     ~   |     ~   |     ~   |15.47    |     ~   |O-rich         |   8|   0
43  |IRAS 16001-3922                    |OH*|16 03 32.8204649736 -39 30 17.322639192|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
44  |IRAS 16280-4154                    |OH*|16 31 32.0935319328 -42 01 19.890273468|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   5|   0
45  |IRAS 16298-4012                    |AB*|16 33 20.1879842640 -40 18 41.016168936|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
46  |IRAS 16324-4233                    |OH*|16 36 01.0991618950 -42 39 52.004157295|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
47  |IRAS 16353-4217                    |OH*|16 38 53.04816 -42 22 55.4736          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
48  |IRAS 16446-4243                    |OH*|16 48 10.9093102776 -42 49 09.527326137|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  10|   0
49  |IRAS 16467-4255                    |OH*|16 50 18.93840 -43 00 50.9364          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   7|   0
50  |IRAS 16458-4231                    |OH*|16 49 25.3745338440 -42 36 17.651380608|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
51  |IRAS 16470-4310                    |OH*|16 50 37.78896 -43 15 54.4248          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
52  |OH 342.974+02.901                  |OH*|16 45 26.9929201224 -41 06 06.798057840|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
53  |HD 152249                          |s*b|16 54 11.6395658856 -41 50 57.295111524|5.91     |6.65     |6.45     |     ~   |     ~   |OC9Iab         | 232|   0
54  |IRAS 16498-4143                    |OH*|16 53 22.58472 -41 48 29.4696          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  14|   0
55  |HD 152424                          |s*b|16 55 03.3294878112 -42 05 26.990821824|6.11     |6.69     |6.27     |7.49     |     ~   |OC9.2Ia        | 195|   0
56  |IRAS 16491-4336                    |OH*|16 52 41.56608 -43 41 18.2004          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
57  |IRAS 16502-4216                    |OH*|16 53 44.09784 -42 21 25.9632          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   5|   0
