C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='O'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
160 |IRAS 17030-3920                    |AB*|17 06 34.1928693288 -39 24 37.359532332|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
161 |IRAS 17033-3912                    |AB*|17 06 46.3781296080 -39 16 08.221467252|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
162 |IRAS 17037-3836                    |AB*|17 07 07.3061299896 -38 40 40.119721284|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
163 |OH 345.437-00.074                  |AB*|17 05 56.5969587727 -41 02 55.686100738|     ~   |     ~   |     ~   |     ~   |11.702   |O-rich         |   1|   0
164 |IRAS 17085-3843                    |OH*|17 11 57.85584 -38 46 53.3532          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   5|   0
165 |OH 347.09+00.21                    |OH*|17 10 00.36792 -39 33 20.1564          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   6|   0
166 |OH 346.86-00.18                    |OH*|17 10 52.4221675944 -39 58 49.862899128|     ~   |     ~   |     ~   |     ~   |13.71    |O-rich         |  17|   0
167 |IRAS 17110-3905                    |AB*|17 14 28.6903727760 -39 08 45.712597380|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
168 |IRAS 17038-3840                    |OH*|17 07 15.2606710704 -38 43 59.289298824|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
169 |IRAS 17041-3927                    |AB*|17 07 33.5835703632 -39 31 07.903544988|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
170 |IRAS 17043-3907                    |AB*|17 07 50.380 -39 11 43.27              |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
171 |IRAS 17043-3915                    |AB*|17 07 50.5359074520 -39 19 45.895139436|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
172 |IRAS 17045-3856                    |AB*|17 07 59.4982385568 -39 00 29.823897528|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
173 |IRAS 17047-3850                    |AB*|17 08 12.6970922592 -38 53 54.311162244|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
174 |IRAS 17050-3927                    |AB*|17 08 32.7955177752 -39 31 29.011222704|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
175 |IRAS 17053-3915                    |AB*|17 08 48.2977566768 -39 19 19.544113920|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
176 |IRAS 17055-3922                    |AB*|17 09 03.164 -39 25 56.65              |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
177 |IRAS 17058-3911                    |AB*|17 09 17.5679051760 -39 15 09.516464532|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
178 |IRAS 17060-3921                    |AB*|17 09 29.319 -39 24 49.05              |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
179 |IRAS 17063-3839                    |AB*|17 09 46.8710636088 -38 43 38.221884912|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
180 |IRAS 17064-3850                    |AB*|17 09 51.8229214656 -38 54 36.869986548|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
181 |IRAS 17065-3901                    |AB*|17 09 59.1066326784 -39 05 17.843539848|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
182 |IRAS 17066-3921                    |AB*|17 10 05.75352 -39 25 20.9208          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
183 |IRAS 17067-3906                    |AB*|17 10 12.9569977584 -39 10 06.734253828|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
184 |IRAS 17079-3959                    |OH*|17 11 24.47880 -40 03 24.6888          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
185 |IRAS 17081-3921                    |AB*|17 11 35.71248 -39 25 10.0704          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
186 |IRAS 17083-3854                    |AB*|17 11 45.3628085496 -38 57 50.158520244|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
187 |IRAS 17092-4055                    |AB*|17 12 44.61456 -40 59 17.6208          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
188 |IRAS 17093-4035                    |AB*|17 12 48.6474110112 -40 39 20.263132548|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
189 |IRAS 17094-3911                    |AB*|17 12 51.7563213432 -39 14 40.616471184|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
190 |IRAS 17094-4114                    |AB*|17 12 55.5107244168 -41 18 16.576067304|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
191 |IRAS 17102-3917                    |AB*|17 13 42.8319837183 -39 20 39.383329542|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
192 |IRAS 17103-4036                    |AB*|17 13 49.8793941432 -40 40 21.923188788|     ~   |     ~   |     ~   |     ~   |12.12    |O-rich         |   4|   0
193 |IRAS 17103-3947                    |OH*|17 13 49.81272 -39 51 05.8176          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
194 |IRAS 17105-3912                    |AB*|17 14 01.65816 -39 16 00.5340          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
195 |IRAS 17107-4043                    |AB*|17 14 15.8819983560 -40 46 38.056119492|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
196 |IRAS 17109-3851                    |AB*|17 14 26.4780703512 -38 54 43.166949228|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
197 |IRAS 17110-3915                    |AB*|17 14 33.34416 -39 18 44.4924          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
198 |IRAS 17111-4049                    |AB*|17 14 37.50072 -40 52 36.1812          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
199 |V* V623 Sco                        |AB*|17 14 44.8707260304 -39 35 08.144871216|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
200 |IRAS 17055-3846                    |AB*|17 09 02.2097949408 -38 50 24.697175676|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
201 |IRAS 17097-4011                    |AB*|17 13 12.5228961480 -40 15 08.399538360|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   7|   0
202 |OH 346.01+00.04                    |OH*|17 07 17.87712 -40 30 44.7552          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  14|   0
203 |OH 346.18+00.02                    |OH*|17 07 47.42136 -40 23 02.1768          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   7|   0
204 |IRAS 17043-4009                    |OH*|17 07 48.59280 -40 13 51.6792          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   5|   0
205 |IRAS 17047-4052                    |OH*|17 08 18.3339930899 -40 56 00.475298204|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   5|   0
206 |OH 346.505-00.052                  |OH*|17 09 13.65048 -40 10 51.7080          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
207 |OH 347.40+00.40                    |OH*|17 10 06.94032 -39 11 59.6472          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  11|   0
208 |IRAS 17071-4122                    |OH*|17 10 35.76360 -41 25 56.8560          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
209 |OH 347.57+00.11                    |OH*|17 11 54.5412560736 -39 12 52.467751008|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  11|   0
210 |IRAS 17104-3925                    |AB*|17 13 54.0743139072 -39 28 22.848005208|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
211 |IRAS 17116-4052                    |AB*|17 15 09.4571898168 -40 55 51.329011656|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
212 |IRAS 17117-3854                    |AB*|17 15 07.6341602880 -38 57 24.161814792|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
213 |IRAS 17117-3931                    |AB*|17 15 17.9332549464 -39 35 27.505935168|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
214 |IRAS 17122-3905                    |AB*|17 15 34.64832 -39 08 27.0312          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
215 |IRAS 17127-3859                    |AB*|17 16 11.4506430912 -39 03 16.376634648|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
216 |IRAS 17130-4045                    |AB*|17 16 33.4894694064 -40 48 48.351019860|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
217 |IRAS 17131-4035                    |AB*|17 16 36.2461391880 -40 38 18.655608768|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
218 |IRAS 17133-3902                    |AB*|17 16 45.75 -39 06 04.9                |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
219 |IRAS 17134-3923                    |AB*|17 16 56.0656810728 -39 26 38.887938096|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
220 |IRAS 17135-3909                    |AB*|17 17 01.9268687616 -39 12 15.008466276|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
221 |IRAS 17139-4122                    |AB*|17 17 29.4426905784 -41 25 40.320871644|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
222 |IRAS 17140-3905                    |AB*|17 17 27.7391825280 -39 08 44.219065128|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
223 |IRAS 17141-3852                    |AB*|17 17 35.2843827192 -38 56 05.445876912|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
224 |IRAS 17141-3935                    |AB*|17 17 36.8955675336 -39 39 07.511344668|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
225 |IRAS 17144-3915                    |AB*|17 17 52.10592 -39 18 57.2220          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
226 |IRAS 17145-3927                    |AB*|17 17 58.3278488616 -39 30 41.276130156|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
227 |IRAS 17149-4129                    |AB*|17 18 28.87 -41 33 07.2                |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
228 |IRAS 17134-4026                    |OH*|17 16 56.81904 -40 29 46.1832          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
229 |IRAS 17141-4137                    |AB*|17 17 38.7522606480 -41 40 37.928721468|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
230 |IRAS 17210-3946                    |OH*|17 24 30.45648 -39 49 27.3936          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   7|   0
231 |IRAS 17150-4053                    |AB*|17 18 32.8946577624 -40 56 22.641821124|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
232 |IRAS 17160-3921                    |AB*|17 19 31.0271290800 -39 24 54.759154176|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
233 |IRAS 17169-4132                    |AB*|17 20 27.8749371792 -41 35 45.894782616|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
234 |IRAS 17172-3919                    |AB*|17 20 41.3658149864 -39 21 58.000121398|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
235 |IRAS 17174-3925                    |AB*|17 20 57.9917709984 -39 28 38.734834944|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
236 |IRAS 17175-4109                    |AB*|17 21 03.8819044920 -41 12 24.659243604|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
237 |IRAS 17177-3903                    |AB*|17 21 12.96648 -39 06 07.4088          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
238 |IRAS 17178-3910                    |AB*|17 21 19.9810888632 -39 13 47.559848916|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
239 |IRAS 17189-3927                    |AB*|17 22 22.3381445664 -39 30 03.585303648|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
240 |IRAS 17193-4019                    |OH*|17 22 52.7316773808 -40 21 51.284907023|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
241 |IRAS 17194-3911                    |AB*|17 22 52.6593243216 -39 13 58.492692228|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
242 |IRAS 17195-3928                    |OH*|17 22 59.92608 -39 30 57.0600          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
243 |IRAS 17201-3933                    |AB*|17 23 34.7881807416 -39 36 40.284320688|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
244 |IRAS 17208-4117                    |OH*|17 24 22.9511935800 -41 20 11.172012252|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
245 |IRAS 17232-3909                    |AB*|17 26 42.9583693608 -39 11 54.586961988|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
246 |IRAS 17254-3925                    |AB*|17 28 56.1398528520 -39 28 16.900374792|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
247 |IRAS 17259-4119                    |OH*|17 29 27.1816958947 -41 22 00.368772832|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
248 |IRAS 17267-3922                    |Mi*|17 30 14.8329779952 -39 25 08.885131536|     ~   |     ~   |19.662   |     ~   |13.652   |O-rich         |   3|   0
249 |IRAS 17270-3906                    |AB*|17 30 29.3437683912 -39 09 12.554094456|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
250 |V* NR Sco                          |AB*|17 39 24.5062845960 -39 27 22.564017180|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
251 |IRAS 17427-4022                    |OH*|17 46 15.2784409993 -40 23 32.636059851|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
252 |RAFGL 5552                         |Mi*|19 03 02.4112435488 -39 42 55.361778480|     ~   |     ~   |     ~   |13.01    |9.58     |O-rich         |   9|   1
253 |IRAS 16408-3734                    |AB*|16 44 12.0355966752 -37 39 57.607621920|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
254 |IRAS 16428-3735                    |AB*|16 46 16.7380806336 -37 40 32.912439960|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
255 |IRAS 16436-3618                    |AB*|16 46 57.5754220704 -36 23 38.761150920|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
256 |IRAS 16443-3602                    |AB*|16 47 40.6043065896 -36 07 37.812754884|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
257 |IRAS 16444-3725                    |AB*|16 47 48.7705302600 -37 30 33.291606492|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
258 |IRAS 16452-3604                    |AB*|16 48 34.0794664032 -36 09 35.300645280|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
259 |IRAS 16456-3723                    |AB*|16 49 02.7564817632 -37 28 35.965264116|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
260 |IRAS 16480-3750                    |AB*|16 51 28.5648255600 -37 55 18.928696008|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
261 |V* V570 Sco                        |AB*|16 51 30.6937249416 -37 17 26.050699572|     ~   |15.76    |14.47    |12.79    |     ~   |O-rich         |   4|   0
262 |IRAS 16484-3758                    |AB*|16 51 52.3395299496 -38 03 34.152040656|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
263 |IRAS 16494-3732                    |AB*|16 52 46.9589834400 -37 37 21.163523124|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
264 |IRAS 16495-3713                    |AB*|16 52 58.7674674624 -37 18 01.175518620|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
265 |IRAS 16502-3542                    |AB*|16 53 35.4498717408 -35 47 00.148376040|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
266 |IRAS 16503-3532                    |AB*|16 53 39.4553903880 -35 37 14.323982448|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
267 |IRAS 16515-3716                    |AB*|16 54 56.0202300096 -37 21 38.175263244|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
268 |IRAS 16517-3616                    |AB*|16 55 03.6141060096 -36 21 08.239886928|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
269 |V* V580 Sco                        |AB*|16 55 59.9167046688 -37 54 16.080010416|     ~   |     ~   |13.00    |     ~   |     ~   |O-rich         |   4|   0
270 |IRAS 16550-3725                    |AB*|16 58 25.7279319456 -37 30 21.279484224|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
271 |IRAS 16565-3754                    |AB*|16 59 56.4046362384 -37 58 48.097943292|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
272 |IRAS 16541-3739                    |AB*|16 57 32.17104 -37 44 24.1008          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
273 |IRAS 16545-3604                    |AB*|16 57 52.4973977784 -36 08 53.611961784|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
274 |IRAS 16546-3807                    |AB*|16 58 03.0717266040 -38 12 27.181226556|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
275 |IRAS 16558-3606                    |AB*|16 59 11.7548955792 -36 11 00.402702684|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
276 |IRAS 16571-3624                    |AB*|17 00 32.06280 -36 28 39.4716          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
277 |IRAS 16575-3651                    |AB*|17 00 57.1096286232 -36 56 06.921936240|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
278 |IRAS 16586-3606                    |AB*|17 01 58.3318845192 -36 10 28.700673672|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
279 |IRAS 16597-3553                    |AB*|17 03 03.9726266592 -35 57 43.342726140|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
280 |IRAS 16590-3608                    |AB*|17 02 21.9302696784 -36 13 08.906952468|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
281 |IRAS 17023-3659                    |AB*|17 05 46.3750715741 -37 03 50.164019502|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
282 |IRAS 17027-3626                    |AB*|17 06 06.6088338664 -36 30 47.019518491|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
283 |IRAS 17015-3711                    |AB*|17 04 55.6365114312 -37 15 41.477287284|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
284 |IRAS 17017-3708                    |AB*|17 05 09.40248 -37 12 58.7664          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
285 |IRAS 17025-3619                    |AB*|17 05 52.9457198592 -36 23 24.448242804|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
286 |IRAS 17033-3647                    |AB*|17 06 45.5149347792 -36 51 11.647520316|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
287 |IRAS 17014-3704                    |AB*|17 04 46.4103111336 -37 08 34.873587780|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
288 |V* V615 Sco                        |AB*|17 12 52.3000437696 -38 17 23.728506648|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   5|   0
289 |IRAS 17083-3748                    |AB*|17 11 48.7081331016 -37 51 41.897646324|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
290 |IRAS 17039-3641                    |AB*|17 07 22.3131474864 -36 45 18.316445112|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
291 |IRAS 17040-3722                    |AB*|17 07 22.5602373000 -37 26 28.183210044|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
292 |IRAS 17042-3600                    |AB*|17 07 33.2811834864 -36 04 38.028108576|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
293 |IRAS 17043-3551                    |AB*|17 07 43.5440116896 -35 55 51.088078056|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
294 |IRAS 17048-3733                    |AB*|17 08 16.67232 -37 37 30.3852          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
295 |IRAS 17049-3620                    |AB*|17 08 18.8572210560 -36 24 31.392784440|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
296 |IRAS 17053-3658                    |AB*|17 08 44.1599377632 -37 01 52.052246256|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
297 |IRAS 17054-3712                    |AB*|17 08 49.9878345504 -37 16 32.652435972|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
298 |IRAS 17056-3612                    |AB*|17 08 59.6889073056 -36 16 38.316849852|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
299 |IRAS 17058-3720                    |AB*|17 09 17.83680 -37 24 11.7072          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
300 |IRAS 17059-3550                    |AB*|17 09 19.6614631536 -35 54 29.551813416|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   5|   0
301 |IRAS 17061-3627                    |AB*|17 09 28.9193573976 -36 31 38.536234932|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
302 |IRAS 17065-3630                    |AB*|17 09 58.1205893064 -36 34 11.602700220|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
303 |IRAS 17066-3644                    |AB*|17 10 01.1792790576 -36 48 25.626792204|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
304 |IRAS 17067-3555                    |AB*|17 10 08.2539833088 -35 59 06.014138784|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
305 |IRAS 17068-3719                    |AB*|17 10 14.6849640984 -37 23 16.946733300|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
306 |IRAS 17068-3655                    |AB*|17 10 15.8506690296 -36 58 52.706624520|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
307 |IRAS 17069-3711                    |AB*|17 10 20.79720 -37 15 05.4396          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
308 |IRAS 17071-3635                    |AB*|17 10 33.2876382144 -36 39 42.898214664|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
309 |IRAS 17078-3650                    |AB*|17 11 16.1508564096 -36 54 02.277019260|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
310 |IRAS 17079-3621                    |AB*|17 11 19.11936 -36 25 16.6080          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
311 |IRAS 17080-3559                    |AB*|17 11 21.9067630440 -36 02 47.124863016|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
312 |IRAS 17083-3801                    |AB*|17 11 43.96008 -38 05 09.1140          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
313 |IRAS 17084-3642                    |AB*|17 11 47.7746953512 -36 46 04.718610192|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
314 |IRAS 17084-3706                    |AB*|17 11 49.3776693840 -37 09 46.212503796|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
315 |IRAS 17087-3707                    |AB*|17 12 10.68528 -37 11 13.2576          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
316 |IRAS 17089-3734                    |OH*|17 12 21.8956150992 -37 38 16.989969912|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
317 |IRAS 17092-3739                    |AB*|17 12 39.2569894632 -37 43 26.185854216|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
318 |IRAS 17095-3614                    |AB*|17 12 55.9113386880 -36 18 09.509396292|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
319 |IRAS 17099-3716                    |AB*|17 13 18.9667398240 -37 19 38.663018940|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
320 |IRAS 17099-3750                    |AB*|17 13 21.3433848264 -37 54 08.887280076|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
321 |IRAS 17099-3718                    |AB*|17 13 20.1160415136 -37 21 30.710972484|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   1
322 |IRAS 17100-3616                    |AB*|17 13 20.7798889752 -36 19 53.276668356|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
323 |IRAS 17100-3622                    |AB*|17 13 26.2792383864 -36 26 06.010289196|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
324 |IRAS 17104-3623                    |AB*|17 13 48.6012180960 -36 26 31.173244044|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
325 |IRAS 17104-3601                    |AB*|17 13 49.1665033032 -36 04 33.169124028|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
326 |IRAS 17104-3754                    |AB*|17 13 54.5327441064 -37 57 32.454594900|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
327 |IRAS 17105-3655                    |AB*|17 13 57.9218445600 -36 59 13.085879028|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
328 |IRAS 17105-3811                    |AB*|17 13 58.6573986720 -38 14 52.406786544|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   1
329 |IRAS 17106-3826                    |AB*|17 14 03.50448 -38 30 01.3032          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
330 |IRAS 17107-3654                    |AB*|17 14 09.1578302592 -36 57 58.989181068|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   1
331 |IRAS 17107-3611                    |AB*|17 14 09.1639212206 -36 15 09.935570425|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
332 |IRAS 17108-3714                    |AB*|17 14 12.6591662208 -37 17 57.208245252|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
333 |IRAS 17108-3729                    |AB*|17 14 14.8705901232 -37 32 58.598877912|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
334 |IRAS 17109-3753                    |AB*|17 14 20.2764199440 -37 57 07.648169220|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   1
