C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:19

sptype='F'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
43  |Cl* NGC 6910 SIC 4                 |*  |20 20 16.4394725448 +41 21 04.854437460|     ~   |12.03    |11.54    |     ~   |     ~   |F              |   2|   0
44  |BD+47 3293                         |*  |21 06 36.3850103592 +47 46 31.817364960|     ~   |11.03    |10.60    |     ~   |     ~   |F              |   2|   0
45  |HD 202382                          |*  |21 13 48.6723564864 +48 38 35.331312012|     ~   |9.11     |8.75     |     ~   |     ~   |F              |   8|   0
46  |TYC 3597-1538-1                    |*  |21 18 11.9639787384 +50 31 19.477427628|     ~   |11.55    |11.33    |     ~   |     ~   |F              |   1|   0
47  |BD+53 326B                         |*  |01 32 38.4434593992 +54 44 34.074604428|     ~   |10.16    |10.00    |     ~   |     ~   |F              |   1|   0
48  |BD+49 734                          |*  |02 39 39.6197437440 +50 31 46.395328332|     ~   |11.33    |10.74    |     ~   |     ~   |F              |   1|   0
49  |BD+42 3598                         |*  |20 08 00.6038500152 +42 27 14.643727632|     ~   |9.98     |9.47     |     ~   |     ~   |F              |   1|   0
50  |HD 192319                          |*  |20 12 23.8211878752 +45 12 53.686832760|     ~   |10.06    |9.78     |     ~   |     ~   |F              |   1|   0
51  |HD 195355                          |PM*|20 28 54.9656575152 +46 04 41.889622620|     ~   |8.97     |8.63     |     ~   |     ~   |F              |   2|   0
52  |HD 195392                          |*  |20 29 11.0783946576 +47 06 17.566758972|9.060    |8.980    |8.740    |     ~   |     ~   |F              |  10|   0
53  |BD+52 2876                         |*  |21 08 26.5833825960 +53 18 37.391102496|     ~   |11.36    |10.99    |     ~   |     ~   |F              |   2|   0
54  |Cl Trumpler 37 212                 |*  |21 44 14.7167822880 +56 59 20.845171824|     ~   |12.81    |11.80    |     ~   |     ~   |F              |   2|   0
55  |BD+57 2474                         |** |22 10 44.0057432325 +58 29 40.186308366|     ~   |11.13    |9.817    |9.29     |     ~   |F              |   2|   0
56  |HD 212897                          |*  |22 26 02.7115500768 +59 14 49.314448968|     ~   |8.84     |8.51     |     ~   |     ~   |F              |  16|   0
57  |V* PW Cas                          |cC*|23 25 58.4749328832 +61 16 00.616356552|     ~   |     ~   |13.061   |     ~   |     ~   |F              |  30|   0
58  |TYC 4281-1104-1                    |*  |23 50 35.5045876080 +61 35 01.623713532|     ~   |11.20    |10.89    |     ~   |     ~   |F              |   1|   0
59  |EM* GGA 10                         |Em*|01 02 38.0595511392 +60 31 47.099450964|     ~   |14.06    |12.76    |12.34    |     ~   |F              |   3|   0
60  |TYC 3309-1826-1                    |*  |02 53 48.5957295168 +51 54 33.258199428|     ~   |12.05    |10.51    |     ~   |     ~   |F              |   1|   0
