,Spectral Class,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(K)
1285,K,0,10.68,9.74,0,0,9.467071,7.925,7.333
1286,F,0,13.1,0,0,0,12.148935,10.78,10.394
1287,M,0,0,0,13.05,0,11.277539,7.13,5.518
1288,M,0,0,0,0,0,0,0,0
1289,B,0,11.13,10.82,0,0,10.588837,9.669,9.497
1290,G,0,11.83,11.18,0,0,11.072874,9.883,9.522
1291,B,0,11.0,10.49,0,0,10.268528,0,0
1292,G,0,9.41,8.84,0,0,8.686998,7.567,7.195
1293,B,0,10.72,10.43,0,0,10.250479,9.59,9.404
1294,G,0,0,11.9,0,0,0,0,0
1295,A,0,12.67,11.3,0,0,11.562391,10.255,9.765
1296,A,0,9.19,9.19,0,0,9.159623,9.14,9.16
1297,O,0,0,0,0,0,16.259472,7.913,4.805
1298,G,0,10.0,0,0,0,12.232361,11.12,10.867
1299,B,0,10.32,10.07,0,0,9.897759,9.225,9.153
1300,G,0,11.69,11.05,0,0,10.81724,9.667,9.191
1301,O,0,0,0,0,0,0,11.595,5.698
1302,F,0,9.27,8.91,0,0,8.801038,8.108,7.935
1303,B,0,12.4,0,0,0,11.688315,10.302,10.037
1304,M,0,10.69,9.06,0,0,8.03316,5.225,4.166
1305,B,0,11.99,11.57,0,0,11.953527,11.304,11.185
1306,A,0,12.33,11.79,0,0,11.872725,11.116,10.964
1307,F,9.23,9.15,8.86,0,0,8.784936,8.182,7.989
1308,F,0,11.01,10.54,0,0,10.440621,9.653,9.404
1309,B,0,0,15.9,0,0,16.536938,15.519,15.261
1310,F,0,18.4,0,18.1,0,18.02558,0,0
1311,O,0,0,0,0,0,17.049004,13.432,9.26
1312,O,0,0,0,0,0,11.897358,6.387,4.528
1313,F,0,0,15.13,0,0,0,0,0
1314,O,0,0,0,0,0,15.4744,8.07,5.235
1315,K,0,11.85,11.09,0,0,10.913269,9.611,9.136
1316,B,12.25,12.33,11.51,0,0,11.264864,9.725,9.386
1317,G,0,12.12,11.28,0,0,10.813363,9.266,8.669
1318,M,0,0,0,0,0,18.710108,12.406,8.869
1319,A,0,9.69,9.39,0,0,9.384022,8.841,8.709
1320,A,0,11.71,11.2,0,0,11.055948,9.832,9.576
1321,F,0,0,14.97,0,0,14.849809,13.987,13.704
1322,K,0,9.66,8.57,0,0,8.225622,6.562,5.882
1323,M,0,17.05,14.15,13.62,0,11.691057,7.408,5.666
1324,A,0,10.53,10.22,0,0,10.083114,9.374,9.154
1325,M,0,0,0,0,0,0,0,0
1326,G,0,11.71,11.42,0,0,11.343348,10.405,10.144
1327,B,0,12.22,12.02,0,0,11.511673,10.216,9.703
1328,F,0,0,12.87,0,0,12.784842,12.039,11.85
1329,M,0,16.54,15.31,0,0,0,10.774,9.845
1330,M,0,0,0,0,0,0,0,0
1331,O,0,0,0,0,0,18.833162,11.051,7.181
1332,F,0,11.696,11.208,0,0,11.099415,10.253,9.961
1333,M,0,15.0,0,11.75,0,11.028414,7.464,6.186
1334,K,0,11.64,10.02,0,0,9.290843,6.862,5.82
1335,O,0,0,0,0,0,8.936931,3.867,2.13
1336,O,0,0,0,0,0,0,11.842,7.289
1337,G,0,10.02,9.23,0,0,9.014277,7.635,7.092
1338,F,0,12.71,12.01,0,0,12.049386,10.831,10.532
1339,K,0,11.6,9.86,0,0,9.03507,6.452,5.398
1340,G,0,12.21,11.39,0,0,11.309776,10.166,9.844
1341,A,0,11.66,11.12,0,0,11.209756,10.193,9.959
1342,A,0,9.61,9.38,0,0,9.337108,8.747,8.65
1343,A,0,17.01,16.17,0,0,15.888873,14.49,13.94
1344,M,0,12.27,10.43,0,0,9.48457,6.788,5.669
1345,B,11.34,11.6,11.3,0,0,11.303278,10.577,10.487
1346,G,0,11.41,10.94,0,0,10.753086,9.775,9.452
1347,G,0,11.0,10.39,0,0,10.364984,9.499,9.169
1348,B,0,10.6,10.5,0,0,10.470861,9.909,9.796
1349,M,0,11.3,10.17,0,0,9.666105,7.721,6.871
1350,G,0,11.21,10.4,0,0,10.2851,9.187,8.789
1351,G,0,9.74,9.29,0,0,9.228209,8.401,8.175
1352,M,0,0,0,0,0,0,0,0
1353,F,0,17.0,0,0,0,16.549952,15.489,15.03
1354,A,0,9.01,8.91,0,0,8.858548,8.533,8.502
1355,B,0,11.07,10.48,0,0,10.282105,8.998,8.758
1356,F,0,10.06,9.78,0,0,9.781568,0,9.148
1357,G,0,12.27,11.41,0,0,11.356005,10.245,9.876
1358,M,0,11.13,9.32,0,0,8.597817,6.171,5.018
1359,G,0,9.88,9.38,0,0,9.262269,8.369,8.064
1360,G,0,9.74,9.43,0,0,9.397471,8.8,8.698
1361,A,0,9.0,8.97,0,0,8.972199,8.826,8.843
1362,A,0,9.1,8.85,0,0,8.832172,8.422,8.336
1363,M,0,14.875,13.657,13.484,12.181,13.211836,11.115,10.337
1364,K,0,11.77,9.95,0,0,9.270062,6.897,5.864
1365,K,0,11.88,10.51,0,0,9.923492,7.712,6.693
1366,O,0,0,0,0,0,0,0,10.635
1367,A,0,9.49,9.36,0,0,9.322486,8.976,8.924
1368,M,0,11.13,9.91,0,0,9.574994,7.837,7.044
1369,F,0,13.0,0,0,0,12.247034,11.06,10.743
1370,M,0,15.47,13.03,12.41,0,11.176305,7.552,6.057
1371,B,0,10.59,10.18,0,0,9.967979,8.874,8.65
1372,G,0,17.0,0,0,0,16.655874,15.435,15.039
1373,O,0,0,0,0,0,19.1531,10.655,6.509
1374,F,0,10.1,9.7,0,0,9.678734,9.042,8.856
1375,A,0,0,0,0,0,0,0,0
1376,B,0,12.28,12.32,0,0,11.926291,10.839,10.597
1377,F,0,9.96,9.45,9.4,0,9.6353,8.618,8.399
1378,M,0,0,0,0,0,12.205989,6.852,4.914
1379,G,0,17.0,0,0,0,15.889386,14.901,14.401
1380,K,0,11.94,10.45,0,0,9.94305,7.842,7.096
1381,K,0,10.15,9.0,0,0,8.720412,7.175,6.526
1382,B,11.92,12.0,11.8,0,0,11.158346,9.842,9.585
1383,G,0,10.24,9.65,0,0,9.472075,8.447,8.173
1384,O,0,7.611,7.764,0,0,7.729749,8.026,8.217
1385,F,0,11.83,11.55,0,0,11.485809,10.806,10.587
1386,O,0,0,0,0,0,0,12.403,8.191
1387,K,0,10.0,0,0,0,12.18844,11.406,11.198
1388,M,0,0,0,14.6,11.14,12.744073,8.645,7.032
1389,A,0,12.27,11.56,0,0,11.806299,10.902,10.647
1390,K,0,11.18,9.63,0,0,9.075003,6.833,5.895
1391,F,0,10.65,10.35,0,0,10.358737,9.793,9.6
1392,A,0,12.76,12.36,0,0,12.332024,11.371,10.955
1393,A,0,10.21,9.92,0,0,9.876413,9.168,8.952
1394,O,0,0,0,0,0,18.547615,10.017,6.166
1395,A,0,8.91,8.8,0,0,8.782595,8.402,8.371
1396,G,0,11.48,10.7,0,0,10.677641,0,0
1397,G,0,16.06,15.29,15.46,0,15.283785,14.292,13.88
1398,G,0,11.49,10.93,0,0,10.990208,10.238,10.027
1399,M,0,16.88,15.32,14.96,12.93,0,10.959,10.095
1400,A,0,9.21,9.13,0,0,9.10357,8.858,8.881
1401,A,0,10.33,10.3,0,0,10.197166,9.917,9.908
1402,A,0,9.15,8.91,0,0,8.893638,8.434,8.345
1403,B,0,10.74,9.9,0,0,9.556492,7.665,7.165
1404,O,0,0,0,0,0,13.413551,7.393,5.068
1405,M,0,0,0,10.93,9.32,10.399928,7.463,6.172
1406,A,0,11.24,10.55,0,0,10.174419,8.787,8.486
1407,B,0,11.86,11.44,0,0,11.156426,10.093,9.909
1408,B,0,0,12.3,0,0,12.078991,10.748,10.289
1409,F,0,0,14.12,0,0,14.00673,13.221,12.866
1410,M,0,0,0,0,0,0,0,0
1411,K,0,10.18,8.61,0,0,8.026352,5.89,4.882
1412,F,0,9.68,9.36,0,0,9.370338,8.846,8.69
1413,A,0,10.37,10.32,0,0,10.205393,9.999,9.931
1414,B,0,11.07,10.4,0,0,10.21028,9.081,8.836
1415,O,0,0,0,0,0,18.192993,9.31,5.343
1416,M,0,11.45,9.63,0,0,8.655972,0,0
1417,F,0,0,0,0,0,17.684578,16.7,0
1418,K,0,11.52,10.39,0,0,10.038358,8.024,7.33
1419,A,0,11.94,11.58,0,0,11.400985,10.381,10.112
1420,M,0,24.37,0,0,0,0,0,0
1421,F,0,12.29,11.91,0,0,11.898273,10.788,10.44
1422,K,0,9.73,8.52,0,0,8.159613,6.381,5.688
1423,G,0,9.96,9.03,0,0,8.833104,7.456,6.92
1424,O,0,0,0,0,0,19.87205,12.654,7.006
1425,G,0,11.77,11.26,0,0,11.203121,10.294,10.027
1426,O,0,0,0,0,0,14.416887,10.603,9.356
1427,F,0,9.98,9.62,0,0,9.506956,0,0
1428,K,0,11.88,10.69,0,0,10.442129,8.58,7.718
1429,A,11.126,10.85,10.835,10.634,10.389,10.696403,10.045,9.942
1430,B,0,11.45,10.59,0,0,10.288886,8.513,8.191
1431,G,0,11.94,10.91,0,0,10.710928,9.289,8.716
1432,M,0,9.87,8.48,0,0,6.775481,3.537,2.262
1433,K,0,11.5,10.8,0,0,10.925589,9.651,9.249
1434,O,0,0,0,0,0,16.819056,9.163,6.084
1435,B,0,10.2,9.96,0,0,9.965561,9.397,9.314
1436,B,0,10.07,9.81,0,0,9.70841,0,0
1437,M,0,0,0,0,0,13.202099,7.578,5.978
1438,B,9.74,10.16,9.85,0,0,9.797777,8.97,8.652
1439,O,0,0,0,0,0,20.718317,11.199,6.185
1440,M,0,11.66,10.47,0,0,10.358279,8.699,8.025
1441,A,0,9.49,9.21,0,0,9.186,8.383,8.304
1442,O,0,0,0,0,0,12.458704,6.154,4.496
1443,M,0,11.96,10.16,0,0,9.247353,6.478,5.326
1444,F,0,9.6,9.2,0,0,9.147362,8.461,8.279
1445,F,13.27,11.35,10.66,0,0,10.491108,9.364,8.981
1446,F,0,0,13.45,0,0,13.353976,12.612,12.333
1447,G,0,10.79,10.23,0,0,10.13079,9.282,9.034
1448,K,0,9.57,8.18,0,0,7.685369,5.641,4.743
1449,B,12.17,12.61,12.2,12.21,0,12.116582,11.321,11.195
1450,A,14.54,14.51,14.21,14.39,0,14.153641,13.615,13.529
1451,O,0,0,0,0,0,19.081331,13.841,8.453
1452,O,0,0,0,0,0,0,0,0
1453,G,0,11.84,11.24,0,0,11.283449,10.42,10.155
1454,K,0,10.06,9.01,0,0,8.729251,7.126,6.482
1455,K,0,10.81,9.21,0,0,8.664077,6.498,5.601
1456,G,0,9.68,9.12,0,0,9.024849,8.207,7.85
1457,K,0,12.09,10.89,0,0,10.382728,8.537,7.803
1458,B,0,13.25,12.63,12.49,0,12.396958,11.167,10.592
1459,F,0,9.23,8.79,0,0,8.69406,7.865,7.608
1460,F,0,11.19,10.81,0,0,10.794295,9.928,9.678
1461,M,0,11.5,9.85,0,0,8.955121,6.304,5.26
1462,K,0,10.87,9.81,0,0,9.519471,7.744,7.08
1463,K,0,9.88,8.52,0,0,8.126882,6.202,5.46
1464,K,0,13.89,12.77,12.35,0,12.469561,10.532,9.857
1465,G,0,12.57,11.67,0,0,11.693897,10.366,9.84
1466,G,0,12.3,11.4,0,0,11.248038,10.004,9.542
1467,O,0,0,0,0,0,0,0,8.032
1468,A,0,8.71,8.47,0,0,8.427736,7.989,7.913
1469,B,0,14.76,14.44,0,0,14.434106,13.705,13.567
1470,O,0,0,0,0,0,17.488907,9.581,6.727
1471,O,0,0,0,0,0,0,0,0
1472,K,0,11.97,10.56,0,0,10.185693,8.489,7.718
1473,F,0,10.71,10.19,0,0,10.12047,9.315,9.042
1474,M,0,11.2,9.66,9.26,0,8.482799,5.591,4.464
1475,A,0,9.87,9.62,0,0,9.607575,9.132,8.916
1476,B,0,11.38,10.86,0,0,10.536853,9.333,9.071
1477,K,0,10.5,9.21,0,0,8.837484,7.024,6.237
1478,A,0,10.64,10.2,0,0,10.284358,9.624,9.437
1479,A,9.684,9.52,9.17,0,0,9.079573,8.284,8.156
1480,A,0,10.9,10.65,0,0,10.475729,9.818,9.614
1481,M,0,10.82,9.18,0,0,8.343565,5.832,4.715
1482,O,0,0,0,0,0,17.385756,8.801,5.581
1483,F,0,10.11,9.75,0,0,9.660145,8.971,8.802
1484,O,0,0,0,0,0,12.117645,6.172,4.231
1485,G,0,11.64,11.11,0,0,11.079242,9.943,9.577
1486,O,0,0,0,0,0,0,16.131,11.648
1487,A,0,9.72,9.55,0,0,9.556942,9.237,9.17
1488,G,0,9.46,9.01,0,0,8.902813,8.145,7.884
1489,M,0,11.34,9.76,0,0,9.020531,6.504,5.526
1490,G,0,9.43,8.6,0,0,8.354374,7.08,6.628
1491,F,0,9.35,9.03,0,0,8.976312,8.386,8.245
1492,F,0,9.42,9.06,8.9,0,9.006072,8.346,8.147
1493,K,0,12.43,10.91,0,0,10.225101,7.862,6.975
1494,B,12.81,13.05,12.43,0,0,12.270165,11.168,10.935
1495,B,0,11.42,11.0,0,0,10.75072,9.742,9.579
1496,M,0,15.81,14.47,0,0,0,0,0
1497,M,0,16.56,0,14.41,0,0,12.232,11.116
1498,M,0,11.85,9.62,0,0,8.685637,5.8,4.66
1499,O,0,0,0,0,0,15.07955,7.658,4.944
1500,A,0,12.25,12.5,12.09,0,11.994464,10.937,10.656
1501,A,0,11.23,11.1,0,0,11.067482,10.387,10.279
1502,G,0,12.11,11.46,0,0,11.378995,10.111,9.71
1503,K,0,10.46,8.98,0,0,8.474791,6.424,5.546
1504,M,0,13.2,10.86,0,0,10.05873,7.601,6.549
1505,B,0,11.81,11.11,0,0,11.204799,10.058,9.876
1506,O,0,0,0,0,0,19.070696,9.593,6.461
1507,B,0,11.64,11.24,0,0,11.278452,10.619,10.318
1508,M,0,0,0,0,0,12.356192,8.667,7.309
1509,O,0,0,0,0,0,9.903381,5.181,3.676
1510,B,0,0,15.1,0,0,0,0,0
1511,A,0,12.37,11.72,0,0,11.773959,11.042,10.856
1512,F,0,10.05,9.69,0,0,9.524364,8.846,8.641
1513,B,0,12.66,12.44,0,0,12.462824,11.711,11.538
1514,G,0,11.72,11.15,0,0,11.163706,10.216,9.885
1515,M,0,11.41,10.14,0,0,9.733099,7.908,7.173
1516,F,0,11.51,10.98,0,0,11.000855,10.32,10.134
1517,M,0,11.58,10.08,0,0,8.644418,5.525,4.344
1518,M,0,0,0,0,0,13.255271,9.408,7.887
1519,F,0,0,13.37,0,0,13.21911,12.322,11.997
1520,K,0,10.45,9.35,0,0,9.017718,7.311,6.66
1521,K,0,11.86,10.97,0,0,10.615723,0,0
1522,O,0,0,0,0,0,0,0,10.267
1523,F,0,0,0,0,0,0,0,0
1524,O,0,0,0,0,0,0,0,9.84
1525,O,0,0,0,0,0,13.140649,7.094,4.922
1526,K,0,9.15,8.1,0,0,7.816826,6.29,5.632
1527,O,0,0,0,0,0,20.481949,12.654,7.891
1528,G,0,9.84,9.11,0,0,8.986359,7.918,7.572
1529,G,0,10.91,10.54,0,0,10.225203,9.246,8.902
1530,A,0,11.74,11.1,0,0,11.251839,10.116,9.822
1531,F,0,9.69,9.32,0,0,9.274371,8.665,8.513
1532,M,0,16.77,14.19,13.43,0,12.082843,8.2,6.519
1533,M,0,17.8,0,15.4,0,14.851063,11.564,10.665
1534,K,0,11.64,9.95,0,0,9.155891,6.548,5.4
1535,B,0,12.9,11.4,0,0,11.25308,9.981,9.652
1536,A,0,9.1,8.85,0,0,8.812221,8.337,8.279
1537,A,0,8.93,8.83,0,0,8.84112,8.635,8.623
1538,M,0,14.3,12.75,0,0,14.246979,10.32,8.07
1539,B,0,12.38,11.97,11.89,0,11.82257,10.986,10.861
1540,M,0,16.96,0,14.58,0,14.869663,12.146,10.988
1541,K,0,10.04,8.62,0,0,8.078691,6.007,5.009
1542,G,0,11.24,10.78,0,0,10.51494,9.597,9.267
1543,A,0,9.06,8.91,0,0,8.872034,8.553,8.506
1544,F,0,11.55,11.01,0,0,10.901698,9.737,9.285
1545,O,0,0,0,0,0,16.908129,8.038,4.018
1546,G,0,12.0,11.34,0,0,11.082083,9.78,9.372
1547,K,0,12.34,11.6,0,0,11.449406,10.206,9.698
1548,A,0,13.81,13.59,0,0,13.535664,13.129,12.996
1549,G,0,10.08,9.69,0,0,9.575765,8.843,8.617
1550,O,0,0,20.851,0,14.19,15.899758,10.202,7.202
1551,F,0,11.77,11.16,0,0,11.204407,10.334,10.102
1552,G,0,12.76,11.52,0,0,10.769558,8.752,7.924
1553,A,0,11.81,11.28,0,0,11.35098,10.526,10.341
1554,F,0,19.0,0,17.9,0,18.080614,0,0
1555,B,0,11.21,10.66,0,0,10.433926,9.293,9.1
1556,M,0,11.76,10.11,0,0,9.495887,7.349,6.412
1557,O,0,0,0,0,0,0,0,0
1558,G,0,13.03,12.04,0,0,11.256728,9.775,9.314
1559,G,0,9.81,9.25,0,0,9.172433,8.286,8.068
1560,B,0,11.65,11.22,0,0,10.944648,9.913,9.728
1561,A,0,9.1,8.87,0,0,8.854404,8.426,8.333
1562,A,0,10.24,8.87,0,0,8.367153,6.297,5.397
1563,G,0,12.56,11.76,0,0,11.646996,10.704,10.348
1564,B,0,12.92,12.55,0,0,12.488205,0,0
1565,O,0,0,0,0,0,13.274374,6.675,4.403
1566,A,0,12.14,11.59,0,0,11.500347,10.456,10.198
1567,K,0,11.71,10.64,0,0,10.373582,8.753,8.165
1568,F,0,10.59,10.24,0,0,10.089958,0,0
1569,G,0,11.84,11.44,0,0,11.083,9.837,9.444
1570,G,0,0,0,0,0,0,0,0
1571,K,0,0,20.66,0,16.096,18.1102,13.97,12.25
1572,G,0,11.97,11.42,0,0,11.213981,10.038,9.656
1573,B,0,11.63,11.2,0,0,10.935697,10.029,9.921
1574,B,12.21,12.12,11.95,0,0,11.363391,9.987,9.713
1575,O,0,0,0,0,0,0,13.842,8.463
1576,F,0,0,13.12,0,0,13.032058,12.145,11.878
1577,K,0,11.09,9.42,0,0,8.785442,6.29,5.395
1578,M,0,0,0,0,0,0,0,0
1579,F,0,9.45,9.18,0,0,9.164274,8.654,8.564
1580,B,0,12.56,11.46,0,0,11.608513,10.102,9.762
1581,M,0,0,0,0,0,0,0,0
1582,O,0,0,0,0,0,0,0,0
1583,M,0,11.25,9.54,0,0,8.49284,5.512,4.239
1584,A,0,12.17,11.76,0,0,11.76368,11.084,10.905
1585,G,0,18.1,0,17.5,0,17.687323,16.314,0
1586,B,0,11.39,10.78,0,0,10.550046,9.081,8.531
1587,F,0,12.43,12.12,0,0,12.664969,12.065,11.904
1588,A,0,9.83,9.7,0,0,9.666023,9.367,9.285
1589,O,0,0,0,0,0,13.712364,7.189,5.015
1590,M,0,11.2,9.69,0,0,8.996847,6.654,5.656
1591,M,0,18.16,0,15.31,0,14.863197,11.227,9.947
1592,A,0,11.22,11.28,0,0,11.090275,10.954,11.037
1593,G,0,11.2,10.64,0,0,10.639665,9.692,9.454
1594,F,0,12.7,0,0,0,11.910158,10.692,10.295
1595,M,0,15.1,0,0,0,10.569473,6.628,5.097
1596,B,0,9.98,9.89,0,0,9.795534,9.416,9.375
1597,F,0,0,0,0,0,13.419424,12.552,12.272
1598,G,0,9.58,9.17,0,0,9.069648,8.277,8.037
1599,B,0,11.89,11.28,0,0,11.428349,10.221,9.995
1600,K,0,11.3,10.27,0,0,9.970407,8.312,7.649
1601,F,0,0,0,0,0,0,0,0
1602,G,0,10.75,10.03,9.9,0,0,8.807,8.405
1603,M,0,17.85,0,15.13,0,15.223698,12.59,11.462
1604,B,13.32,13.73,13.02,0,0,12.784429,11.448,11.16
1605,K,0,13.25,0,0,0,12.297116,11.145,10.765
1606,A,0,9.64,9.4,0,0,9.341174,8.833,8.801
1607,G,0,11.32,10.97,0,0,10.710741,9.955,9.701
1608,A,0,8.85,8.72,0,0,8.694543,8.311,8.301
1609,O,0,15.76,14.47,12.79,0,9.496426,4.418,2.627
1610,G,0,10.16,9.66,0,0,9.599193,8.759,8.483
1611,O,0,0,0,0,0,18.095522,9.122,5.991
1612,B,0,14.5,14.0,0,0,12.865565,11.02,10.341
1613,A,9.37,9.11,8.79,0,8.403,8.738872,8.006,7.874
1614,K,0,9.35,7.81,0,0,7.21204,5.068,4.022
1615,K,0,16.9,0,0,0,0,0,0
1616,A,13.807,11.52,10.96,0,0,11.097911,10.277,10.142
1617,M,0,15.74,13.47,12.85,0,11.784717,8.237,6.77
1618,G,0,10.68,10.2,0,0,10.033477,9.084,8.849
1619,F,0,12.6,12.05,0,0,11.841686,10.65,10.23
1620,F,0,10.0,0,0,0,11.478759,10.773,10.571
1621,F,0,9.89,9.56,0,0,9.499383,8.954,8.788
1622,M,0,0,0,0,0,0,0,0
1623,B,0,12.82,12.45,0,0,12.319082,11.609,11.437
1624,G,0,13.0,0,0,0,11.590222,9.867,9.21
1625,O,0,0,0,0,0,0,0,11.071
1626,O,0,0,0,0,0,0,0,11.355
1627,O,0,0,0,0,0,11.039104,6.611,4.49
1628,M,0,0,0,22.3,0,0,0,0
1629,K,0,11.7,10.3,0,0,9.493784,7.064,6.021
1630,G,0,10.85,9.61,0,0,9.262352,7.456,6.754
1631,G,0,10.31,9.75,0,0,9.608185,8.666,8.4
1632,M,0,9.94,8.34,0,0,7.606315,5.207,4.193
1633,A,0,9.89,9.44,0,0,9.46197,8.49,8.288
1634,G,0,0,11.8,0,0,12.462067,10.916,10.354
1635,O,0,0,0,0,0,0,0,0
1636,O,0,0,0,0,0,13.844955,8.073,5.786
1637,B,0,0,0,0,0,19.132065,16.37,15.79
1638,O,0,0,0,0,0,0,0,9.636
1639,O,0,0,0,0,0,14.838544,7.05,4.59
1640,B,0,11.68,11.34,0,0,11.326507,10.46,10.277
1641,M,0,11.48,9.79,9.1,0,9.234332,6.993,6.044
1642,M,0,10.91,9.76,0,0,9.370174,7.681,6.998
1643,B,0,12.1,11.77,11.511,0,11.451285,10.164,9.853
1644,F,0,11.94,11.56,0,0,11.461162,10.329,10.068
1645,A,0,13.0,0,0,0,12.100237,10.719,10.35
1646,F,0,10.23,9.92,0,0,9.838435,8.997,8.759
1647,B,0,0,10.893,10.439,0,10.260779,9.212,8.744
1648,K,0,9.69,8.26,0,0,7.721533,5.642,4.697
1649,B,0,16.04,15.52,15.63,0,15.465718,14.61,14.32
1650,K,0,11.2,10.21,0,0,9.938454,8.461,7.906
1651,K,0,10.0,0,0,0,0,9.659,8.719
1652,F,9.06,8.98,8.74,0,0,8.679677,8.196,8.087
1653,M,0,15.5,14.78,15.38,14.53,13.397528,10.966,12.26
1654,B,0,12.1,11.4,0,0,11.254806,10.01,9.732
1655,K,0,11.5,10.34,0,0,9.938931,8.066,7.356
1656,F,0,11.33,10.74,0,0,10.765565,10.139,9.981
1657,A,0,8.91,8.85,0,0,8.835438,8.637,8.632
1658,A,0,10.79,10.67,0,0,10.635466,10.303,10.262
1659,F,0,10.14,9.8,0,0,9.717009,9.059,8.805
1660,M,0,0,0,9.068,0,0,5.101,3.885
1661,B,0,0,0,0,0,0,0,0
1662,F,0,9.68,9.3,0,0,9.219468,0,0
1663,K,0,11.55,10.34,0,0,9.754941,7.741,6.842
1664,B,0,12.1,0,11.65,0,11.633018,10.641,10.381
1665,G,0,12.5,0,0,0,11.663192,10.593,10.235
1666,G,0,11.6,10.33,0,0,9.870127,7.763,6.834
1667,M,0,25.19,0,0,0,0,0,0
1668,G,0,9.89,9.42,0,0,9.307344,8.453,8.189
1669,A,0,12.02,11.16,0,0,11.157542,10.132,9.896
1670,K,0,9.58,8.48,0,0,8.181755,6.61,5.997
1671,O,0,0,0,0,0,15.630559,8.865,6.462
1672,O,0,0,0,0,0,0,0,12.298
1673,O,0,0,0,0,0,17.185942,10.209,6.558
1674,G,0,9.89,9.44,0,0,9.363442,8.602,8.401
1675,G,0,12.86,11.36,0,0,10.930593,8.641,7.998
1676,F,0,10.23,9.89,0,0,9.744432,9.058,8.873
1677,G,0,10.1,9.54,0,0,9.435878,8.523,8.192
1678,O,0,0,0,0,0,17.524704,9.35,5.766
1679,A,0,9.54,9.46,0,0,9.439835,9.24,9.189
1680,A,0,9.62,9.42,0,0,9.431685,9.003,8.918
1681,K,0,12.57,10.66,0,0,9.893003,7.383,6.346
1682,A,0,9.82,9.39,0,0,9.287786,8.486,8.312
1683,O,0,0,0,0,0,14.300244,6.698,4.417
1684,B,0,16.5,0,0,0,15.930662,15.05,14.64
1685,K,0,11.53,10.19,0,0,9.774708,7.724,6.88
1686,M,0,12.14,10.14,0,0,9.345182,6.82,5.703
1687,K,0,0,15.5,0,0,0,0,0
1688,F,0,11.4,10.97,0,0,10.996749,10.256,10.013
1689,K,0,11.86,10.82,0,0,10.523881,8.567,7.82
1690,O,0,0,0,0,0,12.593455,6.839,4.948
1691,G,0,0,0,8.7,0,9.057588,7.83,7.394
1692,K,0,11.3,10.0,0,0,9.680794,7.991,7.297
1693,B,0,12.25,12.04,0,0,12.289129,11.722,11.663
1694,A,0,10.1,9.72,0,0,9.635415,8.921,8.772
1695,A,0,9.64,9.32,0,0,9.209502,8.479,8.31
1696,G,0,9.86,9.31,0,0,9.216964,8.338,8.063
1697,M,0,20.5,0,17.4,0,16.622091,13.441,12.664
1698,B,12.56,12.89,12.54,0,0,12.436165,11.694,11.588
1699,B,0,0,16.0,0,0,15.55008,14.425,13.992
1700,O,0,0,0,0,0,13.212098,6.306,3.79
1701,B,0,10.98,10.45,0,0,10.382558,9.429,9.203
1702,K,0,10.62,9.69,0,0,9.353066,7.769,7.206
1703,B,0,11.9,11.95,0,0,11.769588,11.163,11.057
1704,G,0,9.54,9.11,0,0,9.032432,8.225,7.981
1705,K,0,11.95,10.71,0,0,10.264393,8.395,7.643
1706,O,0,0,0,0,0,0,0,8.464
1707,A,0,10.0,0,0,0,11.6593,10.314,9.993
1708,B,0,10.51,10.48,0,0,10.56472,10.389,10.292
1709,A,0,10.0,0,0,0,11.906607,11.033,10.827
1710,O,0,0,0,0,0,20.9234,13.403,10.262
1711,M,0,10.38,8.81,0,0,7.078868,3.912,2.469
1712,M,0,11.67,10.55,0,0,10.266516,8.531,7.872
1713,F,0,9.71,9.44,0,0,9.306306,8.712,8.545
1714,B,0,0,12.8,0,0,12.616346,11.868,11.674
1715,O,0,0,0,0,0,0,0,0
1716,A,0,11.41,10.92,0,0,11.069153,10.418,10.293
1717,K,0,10.87,9.72,0,0,9.420148,7.699,6.971
1718,O,0,0,0,0,0,0,14.53,9.071
1719,O,0,0,0,0,0,0,11.455,6.694
1720,K,0,12.64,12.06,0,0,12.115663,11.247,10.843
1721,O,0,0,0,0,0,15.6969,9.389,5.884
1722,F,13.67,11.53,10.84,0,0,10.649424,9.531,9.144
1723,A,0,11.25,10.92,0,0,10.713223,9.973,9.86
1724,K,0,12.58,10.45,0,0,9.41901,6.489,5.295
1725,A,0,9.38,9.1,0,0,9.061152,8.578,8.362
1726,F,0,11.43,11.25,0,0,11.002212,0,0
1727,O,0,0,0,0,0,0,0,0
1728,O,0,0,0,0,0,0,14.708,9.352
1729,K,0,10.95,9.73,9.6,0,9.426614,7.719,7.014
1730,M,0,16.0,0,0,0,13.757289,10.939,10.104
1731,F,0,10.33,10.0,0,0,0,8.935,8.758
1732,K,0,0,0,0,0,0,0,0
1733,K,0,11.83,10.72,0,0,10.505088,8.93,8.314
1734,O,0,0,0,0,0,0,12.912,0
1735,K,0,10.7,9.58,0,0,9.31731,7.732,7.103
1736,O,0,0,0,0,0,0,0,9.988
1737,B,0,11.51,11.27,0,0,11.172589,10.469,10.339
1738,A,0,11.7,11.33,0,0,11.25776,10.555,10.366
1739,F,0,0,13.93,0,0,13.753277,12.855,12.567
1740,G,0,10.92,10.58,11.4,0,10.530579,9.945,9.773
1741,M,0,0,0,0,0,12.531565,8.86,7.681
1742,G,0,11.8,10.8,0,0,11.204951,10.139,9.82
